Kommunenummer,Kommune,År,Andel,SortKommune
07,Fylket,2015-01-01,0.138,1
07,Fylket,2016-01-01,0.154,1
07,Fylket,2017-01-01,0.161,1
07,Fylket,2018-01-01,0.163,1
07,Fylket,2019-01-01,0.171,1
38,Fylket,2020-01-01,0.17600000000000002,1
38,Fylket,2021-01-01,0.175,1
38,Fylket,2022-01-01,0.184,1
38,Fylket,2023-01-01,0.187,1
40,Fylket,2024-01-01,0.19,1
40,Fylket,2025-01-01,0.18899999999999997,1
00,Hele landet,2015-01-01,0.153,2
00,Hele landet,2016-01-01,0.16399999999999998,2
00,Hele landet,2017-01-01,0.17300000000000001,2
00,Hele landet,2018-01-01,0.183,2
00,Hele landet,2019-01-01,0.19,2
00,Hele landet,2020-01-01,0.193,2
00,Hele landet,2021-01-01,0.195,2
00,Hele landet,2022-01-01,0.2,2
00,Hele landet,2023-01-01,0.204,2
00,Hele landet,2024-01-01,0.205,2
00,Hele landet,2025-01-01,0.20199999999999999,2
0814,Bamble,2015-01-01,0.107,3
0814,Bamble,2016-01-01,0.135,3
0814,Bamble,2017-01-01,0.13699999999999998,3
0814,Bamble,2018-01-01,0.11699999999999999,3
0814,Bamble,2019-01-01,0.10800000000000001,3
3813,Bamble,2020-01-01,0.11800000000000001,3
3813,Bamble,2021-01-01,0.10800000000000001,3
3813,Bamble,2022-01-01,0.13699999999999998,3
3813,Bamble,2023-01-01,0.157,3
4012,Bamble,2024-01-01,0.161,3
4012,Bamble,2025-01-01,0.15,3
0817,Drangedal,2015-01-01,0.10300000000000001,4
0817,Drangedal,2016-01-01,0.124,4
0817,Drangedal,2017-01-01,0.13699999999999998,4
0817,Drangedal,2018-01-01,0.11,4
0817,Drangedal,2019-01-01,0.142,4
3815,Drangedal,2020-01-01,0.161,4
3815,Drangedal,2021-01-01,0.157,4
3815,Drangedal,2022-01-01,0.14800000000000002,4
3815,Drangedal,2023-01-01,0.163,4
4016,Drangedal,2024-01-01,0.157,4
4016,Drangedal,2025-01-01,0.142,4
0831,Fyresdal,2015-01-01,0.196,5
0831,Fyresdal,2016-01-01,0.29,5
0831,Fyresdal,2017-01-01,0.276,5
0831,Fyresdal,2018-01-01,0.3,5
0831,Fyresdal,2019-01-01,0.122,5
3823,Fyresdal,2023-01-01,0.133,5
4032,Fyresdal,2024-01-01,0.11900000000000001,5
4032,Fyresdal,2025-01-01,0.16699999999999998,5
0827,Hjartdal,2015-01-01,0.064,6
0827,Hjartdal,2016-01-01,0.127,6
0827,Hjartdal,2017-01-01,0.16899999999999998,6
0827,Hjartdal,2018-01-01,0.149,6
0827,Hjartdal,2019-01-01,0.188,6
3819,Hjartdal,2020-01-01,0.172,6
3819,Hjartdal,2021-01-01,0.175,6
3819,Hjartdal,2022-01-01,0.22399999999999998,6
3819,Hjartdal,2023-01-01,0.257,6
4024,Hjartdal,2024-01-01,0.21100000000000002,6
4024,Hjartdal,2025-01-01,0.183,6
0815,Kragerø,2015-01-01,0.157,7
