Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
00,Hele landet,2015-01-01,alle aldre,innvandrere,24.3105059734042
00,Hele landet,2015-01-01,alle aldre,totalt,10.3350755704193
00,Hele landet,2016-01-01,alle aldre,innvandrere,24.1713925459367
00,Hele landet,2016-01-01,alle aldre,totalt,10.310784623679
00,Hele landet,2017-01-01,alle aldre,innvandrere,24.0808658455407
00,Hele landet,2017-01-01,alle aldre,totalt,10.3404184223259
00,Hele landet,2018-01-01,alle aldre,innvandrere,24.0764186828254
00,Hele landet,2018-01-01,alle aldre,totalt,10.3504730030655
00,Hele landet,2019-01-01,alle aldre,innvandrere,23.8425461223291
00,Hele landet,2019-01-01,alle aldre,totalt,10.2831577617169
00,Hele landet,2020-01-01,alle aldre,innvandrere,23.3587208266524
00,Hele landet,2020-01-01,alle aldre,totalt,10.1787874663521
00,Hele landet,2021-01-01,alle aldre,innvandrere,22.3991819551376
00,Hele landet,2021-01-01,alle aldre,totalt,9.84612673822532
00,Hele landet,2022-01-01,alle aldre,innvandrere,21.908753055988
00,Hele landet,2022-01-01,alle aldre,totalt,9.72421540460922
00,Hele landet,2023-01-01,alle aldre,innvandrere,21.6769724218703
00,Hele landet,2023-01-01,alle aldre,totalt,9.70936422360377
00,Hele landet,2024-01-01,alle aldre,innvandrere,21.3418336369156
00,Hele landet,2024-01-01,alle aldre,totalt,9.66853619544995
40,Telemark,2015-01-01,alle aldre,innvandrere,22.1065302437556
40,Telemark,2015-01-01,alle aldre,totalt,7.43556945234035
40,Telemark,2016-01-01,alle aldre,innvandrere,21.875896906033
40,Telemark,2016-01-01,alle aldre,totalt,7.28418913250264
40,Telemark,2017-01-01,alle aldre,innvandrere,22.0445709905273
40,Telemark,2017-01-01,alle aldre,totalt,7.34608442058597
40,Telemark,2018-01-01,alle aldre,innvandrere,22.1935007385524
40,Telemark,2018-01-01,alle aldre,totalt,7.35474553684124
40,Telemark,2019-01-01,alle aldre,innvandrere,21.7454621105737
40,Telemark,2019-01-01,alle aldre,totalt,7.40640722324306
40,Telemark,2020-01-01,alle aldre,innvandrere,21.0443199184921
40,Telemark,2020-01-01,alle aldre,totalt,7.49727211929932
40,Telemark,2021-01-01,alle aldre,innvandrere,20.0149812734082
40,Telemark,2021-01-01,alle aldre,totalt,7.28244265873829
40,Telemark,2022-01-01,alle aldre,innvandrere,19.5490177102487
40,Telemark,2022-01-01,alle aldre,totalt,7.13402831222743
40,Telemark,2023-01-01,alle aldre,innvandrere,19.5061505880233
40,Telemark,2023-01-01,alle aldre,totalt,7.17500462791559
40,Telemark,2024-01-01,alle aldre,innvandrere,18.3300249186975
40,Telemark,2024-01-01,alle aldre,totalt,7.05475166883821
4001,Porsgrunn,2015-01-01,alle aldre,innvandrere,23.1554389034704
4001,Porsgrunn,2015-01-01,alle aldre,totalt,7.36213757816941
4001,Porsgrunn,2016-01-01,alle aldre,innvandrere,21.8432919954904
4001,Porsgrunn,2016-01-01,alle aldre,totalt,7.42175351296333
4001,Porsgrunn,2017-01-01,alle aldre,innvandrere,22.9289150187066
4001,Porsgrunn,2017-01-01,alle aldre,totalt,7.51453202662099
4001,Porsgrunn,2018-01-01,alle aldre,innvandrere,22.0646178092987
4001,Porsgrunn,2018-01-01,alle aldre,totalt,7.25021108922038
4001,Porsgrunn,2019-01-01,alle aldre,innvandrere,21.3992824192722
4001,Porsgrunn,2019-01-01,alle aldre,totalt,7.09986281810801
4001,Porsgrunn,2020-01-01,alle aldre,innvandrere,21.1932101847229
4001,Porsgrunn,2020-01-01,alle aldre,totalt,7.33622994652406
