Kommunenummer,Kommune,År,Periode,Periodetype,Statistikkvariabel,Antall
00,Hele landet,2000-01-01,2000,Enkeltår,Drepte,341
00,Hele landet,2001-01-01,2001,Enkeltår,Drepte,275
00,Hele landet,2002-01-01,2002,Enkeltår,Drepte,310
00,Hele landet,2003-01-01,2003,Enkeltår,Drepte,280
00,Hele landet,2004-01-01,2004,Enkeltår,Drepte,257
00,Hele landet,2005-01-01,2005,Enkeltår,Drepte,224
00,Hele landet,2005-01-01,2001-2005,5-årsperiode,Drepte,1346
00,Hele landet,2006-01-01,2006,Enkeltår,Drepte,242
00,Hele landet,2007-01-01,2007,Enkeltår,Drepte,233
00,Hele landet,2008-01-01,2008,Enkeltår,Drepte,255
00,Hele landet,2009-01-01,2009,Enkeltår,Drepte,212
00,Hele landet,2010-01-01,2010,Enkeltår,Drepte,208
00,Hele landet,2010-01-01,2006-2010,5-årsperiode,Drepte,1150
00,Hele landet,2011-01-01,2011,Enkeltår,Drepte,168
00,Hele landet,2012-01-01,2012,Enkeltår,Drepte,145
00,Hele landet,2013-01-01,2013,Enkeltår,Drepte,187
00,Hele landet,2014-01-01,2014,Enkeltår,Drepte,147
00,Hele landet,2015-01-01,2015,Enkeltår,Drepte,117
00,Hele landet,2015-01-01,2011-2015,5-årsperiode,Drepte,764
00,Hele landet,2016-01-01,2016,Enkeltår,Drepte,135
00,Hele landet,2017-01-01,2017,Enkeltår,Drepte,106
00,Hele landet,2018-01-01,2018,Enkeltår,Drepte,108
00,Hele landet,2019-01-01,2019,Enkeltår,Drepte,108
00,Hele landet,2020-01-01,2020,Enkeltår,Drepte,93
00,Hele landet,2020-01-01,2016-2020,5-årsperiode,Drepte,550
00,Hele landet,2021-01-01,2021,Enkeltår,Drepte,80
00,Hele landet,2022-01-01,2022,Enkeltår,Drepte,116
00,Hele landet,2023-01-01,2023,Enkeltår,Drepte,110
00,Hele landet,2024-01-01,2024,Enkeltår,Drepte,87
00,Hele landet,2025-01-01,2025,Enkeltår,Drepte,106
00,Hele landet,2025-01-01,2021-2025,5-årsperiode,Drepte,499
00,Hele landet,2000-01-01,2000,Enkeltår,Drepte eller hardt skadde,1606
00,Hele landet,2001-01-01,2001,Enkeltår,Drepte eller hardt skadde,1318
00,Hele landet,2002-01-01,2002,Enkeltår,Drepte eller hardt skadde,1461
00,Hele landet,2003-01-01,2003,Enkeltår,Drepte eller hardt skadde,1274
00,Hele landet,2004-01-01,2004,Enkeltår,Drepte eller hardt skadde,1237
00,Hele landet,2005-01-01,2005,Enkeltår,Drepte eller hardt skadde,1201
00,Hele landet,2005-01-01,2001-2005,5-årsperiode,Drepte eller hardt skadde,6491
00,Hele landet,2006-01-01,2006,Enkeltår,Drepte eller hardt skadde,1182
