Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2017,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",96.7332107635374
Hele landet,2017,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",98.568611009639
Hele landet,2017,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",110.163538914598
Hele landet,2017,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",111.049205570142
Hele landet,2017,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",109.127985265132
Hele landet,2017,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",86.7730152378636
Hele landet,2017,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",93.8761932900027
Hele landet,2017,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",93.7222406811725
Hele landet,2017,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",94.2533072903027
Hele landet,2017,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",107.858128607664
Hele landet,2017,menn,0-74 år,Skader,"per 1000, standardisert",104.652806222623
Hele landet,2017,menn,0-44 år,Skader,"per 1000, standardisert",111.004229234016
Hele landet,2017,menn,0-24 år,Skader,"per 1000, standardisert",122.158152245296
Hele landet,2017,menn,0-14 år,Skader,"per 1000, standardisert",122.223230634943
Hele landet,2017,menn,15-24 år,Skader,"per 1000, standardisert",122.223156155174
Hele landet,2017,menn,25-44 år,Skader,"per 1000, standardisert",99.7943968349098
Hele landet,2017,menn,45-74 år,Skader,"per 1000, standardisert",94.6987789263098
Hele landet,2017,menn,45-64 år,Skader,"per 1000, standardisert",95.547568722918
Hele landet,2017,menn,65-74 år,Skader,"per 1000, standardisert",92.4103326499672
Hele landet,2017,menn,75-79 år,Skader,"per 1000, standardisert",101.89396587448
Hele landet,2017,kvinner,0-74 år,Skader,"per 1000, standardisert",88.4868793955908
Hele landet,2017,kvinner,0-44 år,Skader,"per 1000, standardisert",85.4780311288257
Hele landet,2017,kvinner,0-24 år,Skader,"per 1000, standardisert",97.4734223222931
Hele landet,2017,kvinner,0-14 år,Skader,"per 1000, standardisert",99.2431390498733
Hele landet,2017,kvinner,15-24 år,Skader,"per 1000, standardisert",95.2422251275187
Hele landet,2017,kvinner,25-44 år,Skader,"per 1000, standardisert",73.1207678533617
Hele landet,2017,kvinner,45-74 år,Skader,"per 1000, standardisert",93.0260050353564
Hele landet,2017,kvinner,45-64 år,Skader,"per 1000, standardisert",91.8109550667982
Hele landet,2017,kvinner,65-74 år,Skader,"per 1000, standardisert",96.0572988768284
Hele landet,2017,kvinner,75-79 år,Skader,"per 1000, standardisert",113.323885954017
Hele landet,2018,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",96.7113442504546
Hele landet,2018,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",97.225003613917
Hele landet,2018,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",106.56910535267
Hele landet,2018,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",103.558104386168
Hele landet,2018,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",110.908201333294
Hele landet,2018,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",87.8774235198199
Hele landet,2018,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",95.961987706344
Hele landet,2018,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",95.6074872371035
Hele landet,2018,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",96.8659573736214
Hele landet,2018,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",112.947176927043
