År,Kommunenummer,Kommune,Enhet,Botid i Norge (2022),Verdensregion,Antall
2022-01-01,3806,Porsgrunn,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",63.9
2022-01-01,3820,Seljord,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",62.2
2022-01-01,3814,Kragerø,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",198
2022-01-01,3825,Vinje,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",77
2022-01-01,3815,Drangedal,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",52.4
2022-01-01,3816,Nome,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",11
2022-01-01,3823,Fyresdal,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",6
2022-01-01,3814,Kragerø,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",45.2
2022-01-01,3820,Seljord,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",64.9
2022-01-01,3812,Siljan,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",38
2022-01-01,3808,Notodden,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",50.0
2022-01-01,3825,Vinje,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",43.1
2022-01-01,3808,Notodden,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",72.3
2022-01-01,3821,Kviteseid,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",66
2022-01-01,3816,Nome,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",118
2022-01-01,3812,Siljan,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",68.3
2022-01-01,3812,Siljan,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",30.0
2022-01-01,3806,Porsgrunn,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",73.6
