Bosetting,År,Kommune,Verdi
Antall anmodninger om bosetting,2022,Bamble,75
Antall anmodninger om bosetting,2022,Drangedal,55
Antall anmodninger om bosetting,2022,Fyresdal,25
Antall anmodninger om bosetting,2022,Færder,105
Antall anmodninger om bosetting,2022,Hjartdal,40
Antall anmodninger om bosetting,2022,Holmestrand,55
Antall anmodninger om bosetting,2022,Horten,120
Antall anmodninger om bosetting,2022,Kragerø,85
Antall anmodninger om bosetting,2022,Kviteseid,25
Antall anmodninger om bosetting,2022,Larvik,175
Antall anmodninger om bosetting,2022,Midt-Telemark,30
Antall anmodninger om bosetting,2022,Nissedal,30
Antall anmodninger om bosetting,2022,Nome,55
Antall anmodninger om bosetting,2022,Notodden,100
Antall anmodninger om bosetting,2022,Porsgrunn,130
Antall anmodninger om bosetting,2022,Sandefjord,220
Antall anmodninger om bosetting,2022,Seljord,70
Antall anmodninger om bosetting,2022,Siljan,15
Antall anmodninger om bosetting,2022,Skien,180
Antall anmodninger om bosetting,2022,Tinn,55
Antall anmodninger om bosetting,2022,Tokke,55
Antall anmodninger om bosetting,2022,Tønsberg,210
Antall anmodninger om bosetting,2022,Vinje,65
