Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0101;;Anmodning om bosetting;20
Personer;1995;0101;;Faktisk bosetting;.
Personer;1995;0101;;Vedtak om bosetting;20
Personer;1995;0102;;Anmodning om bosetting;20
Personer;1995;0102;;Faktisk bosetting;.
Personer;1995;0102;;Vedtak om bosetting;.
Personer;1995;0103;;Anmodning om bosetting;50
Personer;1995;0103;;Faktisk bosetting;.
Personer;1995;0103;;Vedtak om bosetting;.
Personer;1995;0104;Moss (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;0104;Moss (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0104;Moss (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;0105;;Anmodning om bosetting;20
Personer;1995;0105;;Faktisk bosetting;.
Personer;1995;0105;;Vedtak om bosetting;15
Personer;1995;0106;;Anmodning om bosetting;50
Personer;1995;0106;;Faktisk bosetting;.
Personer;1995;0106;;Vedtak om bosetting;60
Personer;1995;0111;;Anmodning om bosetting;0
Personer;1995;0111;;Faktisk bosetting;.
Personer;1995;0111;;Vedtak om bosetting;.
Personer;1995;0118;;Anmodning om bosetting;0
Personer;1995;0118;;Faktisk bosetting;.
Personer;1995;0118;;Vedtak om bosetting;.
Personer;1995;0119;;Anmodning om bosetting;0
Personer;1995;0119;;Faktisk bosetting;.
Personer;1995;0119;;Vedtak om bosetting;.
Personer;1995;0121;Rømskog (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0121;Rømskog (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0121;Rømskog (t.o.m. 2019);Vedtak om bosetting;5
Personer;1995;0122;Trøgstad (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;0122;Trøgstad (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0122;Trøgstad (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0123;Spydeberg (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;0123;Spydeberg (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0123;Spydeberg (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0124;Askim (t.o.m. 2019);Anmodning om bosetting;15
Personer;1995;0124;Askim (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0124;Askim (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0125;Eidsberg (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;0125;Eidsberg (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0125;Eidsberg (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0127;;Anmodning om bosetting;10
Personer;1995;0127;;Faktisk bosetting;.
Personer;1995;0127;;Vedtak om bosetting;5
Personer;1995;0128;;Anmodning om bosetting;10
Personer;1995;0128;;Faktisk bosetting;.
Personer;1995;0128;;Vedtak om bosetting;6
Personer;1995;0135;;Anmodning om bosetting;10
Personer;1995;0135;;Faktisk bosetting;.
