Kommune,År,Kategori,Antall
Bamble,1995-01-01,Anmodning om bosetting,20.0
Bamble,1995-01-01,Faktisk bosetting,0.0
Bamble,1995-01-01,Vedtak om bosetting,7.0
Bamble,1996-01-01,Anmodning om bosetting,0.0
Bamble,1996-01-01,Faktisk bosetting,0.0
Bamble,1996-01-01,Vedtak om bosetting,0.0
Bamble,1997-01-01,Anmodning om bosetting,0.0
Bamble,1997-01-01,Faktisk bosetting,0.0
Bamble,1997-01-01,Vedtak om bosetting,0.0
Bamble,1998-01-01,Anmodning om bosetting,15.0
Bamble,1998-01-01,Faktisk bosetting,0.0
Bamble,1998-01-01,Vedtak om bosetting,0.0
Bamble,1999-01-01,Anmodning om bosetting,35.0
Bamble,1999-01-01,Faktisk bosetting,0.0
Bamble,1999-01-01,Vedtak om bosetting,8.0
Bamble,2000-01-01,Anmodning om bosetting,20.0
Bamble,2000-01-01,Faktisk bosetting,0.0
Bamble,2000-01-01,Vedtak om bosetting,15.0
Bamble,2001-01-01,Anmodning om bosetting,45.0
Bamble,2001-01-01,Faktisk bosetting,0.0
Bamble,2001-01-01,Vedtak om bosetting,45.0
Bamble,2002-01-01,Anmodning om bosetting,35.0
Bamble,2002-01-01,Faktisk bosetting,0.0
Bamble,2002-01-01,Vedtak om bosetting,35.0
Bamble,2003-01-01,Anmodning om bosetting,40.0
Bamble,2003-01-01,Faktisk bosetting,0.0
Bamble,2003-01-01,Vedtak om bosetting,40.0
Bamble,2004-01-01,Anmodning om bosetting,25.0
Bamble,2004-01-01,Faktisk bosetting,0.0
Bamble,2004-01-01,Vedtak om bosetting,25.0
Bamble,2005-01-01,Anmodning om bosetting,25.0
Bamble,2005-01-01,Faktisk bosetting,0.0
Bamble,2005-01-01,Vedtak om bosetting,25.0
Bamble,2006-01-01,Anmodning om bosetting,25.0
Bamble,2006-01-01,Faktisk bosetting,0.0
Bamble,2006-01-01,Vedtak om bosetting,25.0
Bamble,2007-01-01,Anmodning om bosetting,30.0
Bamble,2007-01-01,Faktisk bosetting,0.0
Bamble,2007-01-01,Vedtak om bosetting,30.0
Bamble,2008-01-01,Anmodning om bosetting,35.0
Bamble,2008-01-01,Faktisk bosetting,0.0
Bamble,2008-01-01,Vedtak om bosetting,35.0
Bamble,2009-01-01,Anmodning om bosetting,40.0
Bamble,2009-01-01,Faktisk bosetting,0.0
Bamble,2009-01-01,Vedtak om bosetting,35.0
Bamble,2010-01-01,Anmodning om bosetting,45.0
Bamble,2010-01-01,Faktisk bosetting,0.0
Bamble,2010-01-01,Vedtak om bosetting,35.0
Bamble,2011-01-01,Anmodning om bosetting,35.0
Bamble,2011-01-01,Faktisk bosetting,0.0
Bamble,2011-01-01,Vedtak om bosetting,35.0
Bamble,2012-01-01,Anmodning om bosetting,40.0
Bamble,2012-01-01,Faktisk bosetting,42.0
Bamble,2012-01-01,Vedtak om bosetting,41.0
Bamble,2013-01-01,Anmodning om bosetting,45.0
Bamble,2013-01-01,Faktisk bosetting,41.0
Bamble,2013-01-01,Vedtak om bosetting,38.0
Bamble,2014-01-01,Anmodning om bosetting,45.0
