Sekundærflytting,Botid i Norge,Kommunenummer,Kommune,Antall
Bosatt her,5+ år,3824,Tokke,40.0
Uoppgitt,5+ år,3815,Drangedal,0.0
Flyttet hit,0-4 år,3824,Tokke,4.0
Uoppgitt,0-4 år,3824,Tokke,0.0
Flyttet hit,0-4 år,3822,Nissedal,0.0
Uoppgitt,5+ år,3818,Tinn,0.0
Uoppgitt,0-4 år,3822,Nissedal,3.0
Flyttet hit,5+ år,3808,Notodden,163.0
Bosatt her,0-4 år,3823,Fyresdal,20.0
Flyttet hit,5+ år,3825,Vinje,28.0
Bosatt her,5+ år,3813,Bamble,356.0
Uoppgitt,0-4 år,3817,Midt-Telemark,15.0
Bosatt her,0-4 år,3822,Nissedal,35.0
Uoppgitt,5+ år,3814,Kragerø,0.0
Bosatt her,0-4 år,3813,Bamble,164.0
Bosatt her,0-4 år,3817,Midt-Telemark,158.0
Flyttet hit,5+ år,3819,Hjartdal,7.0
Bosatt her,5+ år,3823,Fyresdal,16.0
Flyttet hit,5+ år,3821,Kviteseid,10.0
Flyttet hit,5+ år,3814,Kragerø,100.0
Uoppgitt,5+ år,3824,Tokke,0.0
Uoppgitt,5+ år,3821,Kviteseid,0.0
Uoppgitt,0-4 år,3813,Bamble,10.0
Bosatt her,5+ år,3825,Vinje,55.0
Uoppgitt,5+ år,3819,Hjartdal,0.0
Bosatt her,0-4 år,3812,Siljan,13.0
Flyttet hit,5+ år,3822,Nissedal,3.0
Bosatt her,0-4 år,3825,Vinje,108.0
Flyttet hit,5+ år,3818,Tinn,30.0
Bosatt her,5+ år,3812,Siljan,32.0
Uoppgitt,0-4 år,3816,Nome,17.0
Bosatt her,5+ år,3806,Porsgrunn,828.0
Bosatt her,0-4 år,3820,Seljord,90.0
Uoppgitt,5+ år,3812,Siljan,0.0
Uoppgitt,0-4 år,3821,Kviteseid,0.0
Uoppgitt,5+ år,3825,Vinje,0.0
Flyttet hit,0-4 år,3813,Bamble,4.0
Flyttet hit,5+ år,3806,Porsgrunn,800.0
Bosatt her,0-4 år,3824,Tokke,45.0
Uoppgitt,5+ år,3816,Nome,0.0
Uoppgitt,5+ år,3822,Nissedal,0.0
Bosatt her,5+ år,3807,Skien,1913.0
Flyttet hit,5+ år,3824,Tokke,3.0
Flyttet hit,0-4 år,3817,Midt-Telemark,4.0
Uoppgitt,5+ år,3806,Porsgrunn,0.0
Bosatt her,0-4 år,3808,Notodden,151.0
Flyttet hit,0-4 år,3823,Fyresdal,0.0
Uoppgitt,0-4 år,3823,Fyresdal,3.0
Uoppgitt,0-4 år,3815,Drangedal,8.0
Uoppgitt,0-4 år,3820,Seljord,0.0
Bosatt her,5+ år,3820,Seljord,58.0
Flyttet hit,5+ år,3816,Nome,68.0
Uoppgitt,5+ år,3817,Midt-Telemark,0.0
Uoppgitt,5+ år,3820,Seljord,0.0
Flyttet hit,5+ år,3815,Drangedal,16.0
Flyttet hit,0-4 år,3821,Kviteseid,0.0
Flyttet hit,5+ år,3813,Bamble,92.0
Flyttet hit,0-4 år,3806,Porsgrunn,97.0
Bosatt her,5+ år,3817,Midt-Telemark,269.0
Bosatt her,5+ år,3822,Nissedal,12.0
Uoppgitt,5+ år,3823,Fyresdal,0.0
Flyttet hit,0-4 år,3818,Tinn,0.0
Uoppgitt,0-4 år,3812,Siljan,3.0
Uoppgitt,0-4 år,3806,Porsgrunn,285.0
Bosatt her,5+ år,3816,Nome,160.0
Flyttet hit,5+ år,3823,Fyresdal,0.0
Bosatt her,0-4 år,3815,Drangedal,79.0
Bosatt her,5+ år,3819,Hjartdal,32.0
Bosatt her,0-4 år,3816,Nome,79.0
Flyttet hit,5+ år,3812,Siljan,4.0
Flyttet hit,0-4 år,3819,Hjartdal,0.0
Uoppgitt,0-4 år,3807,Skien,83.0
Bosatt her,5+ år,3815,Drangedal,70.0
Flyttet hit,5+ år,3807,Skien,1722.0
Uoppgitt,0-4 år,3825,Vinje,7.0
Bosatt her,0-4 år,3807,Skien,332.0
Flyttet hit,0-4 år,3814,Kragerø,3.0
Flyttet hit,5+ år,3820,Seljord,11.0
Uoppgitt,5+ år,3807,Skien,0.0
Bosatt her,0-4 år,3814,Kragerø,129.0
Flyttet hit,0-4 år,3807,Skien,28.0
Bosatt her,5+ år,3808,Notodden,247.0
Bosatt her,0-4 år,3818,Tinn,95.0
Flyttet hit,0-4 år,3820,Seljord,3.0
Bosatt her,0-4 år,3819,Hjartdal,49.0
Uoppgitt,0-4 år,3808,Notodden,17.0
Bosatt her,5+ år,3818,Tinn,109.0
Flyttet hit,5+ år,3817,Midt-Telemark,143.0
Uoppgitt,0-4 år,3818,Tinn,3.0
Flyttet hit,0-4 år,3816,Nome,16.0
Uoppgitt,5+ år,3808,Notodden,0.0
Bosatt her,0-4 år,3806,Porsgrunn,234.0
Flyttet hit,0-4 år,3815,Drangedal,0.0
Uoppgitt,0-4 år,3819,Hjartdal,0.0
Bosatt her,5+ år,3814,Kragerø,258.0
Flyttet hit,0-4 år,3812,Siljan,0.0
Bosatt her,0-4 år,3821,Kviteseid,24.0
Flyttet hit,0-4 år,3825,Vinje,0.0
Bosatt her,5+ år,3821,Kviteseid,18.0
Flyttet hit,0-4 år,3808,Notodden,0.0
Uoppgitt,5+ år,3813,Bamble,0.0
Uoppgitt,0-4 år,3814,Kragerø,9.0
