År,Kommune,"Anmodning, vedtak og faktisk bosetting",Antall
2021-01-01,Porsgrunn,Vedtak om bosetting,24
2021-01-01,Skien,Vedtak om bosetting,28
2021-01-01,Notodden,Vedtak om bosetting,15
2021-01-01,Siljan,Vedtak om bosetting,0
2021-01-01,Bamble,Vedtak om bosetting,14
2021-01-01,Kragerø,Vedtak om bosetting,13
2021-01-01,Drangedal,Vedtak om bosetting,10
2021-01-01,Nome,Vedtak om bosetting,10
2021-01-01,Midt-Telemark,Vedtak om bosetting,16
2021-01-01,Tinn,Vedtak om bosetting,10
2021-01-01,Hjartdal,Vedtak om bosetting,0
2021-01-01,Seljord,Vedtak om bosetting,10
2021-01-01,Kviteseid,Vedtak om bosetting,0
2021-01-01,Nissedal,Vedtak om bosetting,0
2021-01-01,Fyresdal,Vedtak om bosetting,0
2021-01-01,Tokke,Vedtak om bosetting,0
2021-01-01,Vinje,Vedtak om bosetting,13
2021-01-01,Porsgrunn,Faktisk bosetting,26
2021-01-01,Skien,Faktisk bosetting,29
2021-01-01,Notodden,Faktisk bosetting,15
2021-01-01,Siljan,Faktisk bosetting,0
2021-01-01,Bamble,Faktisk bosetting,15
2021-01-01,Kragerø,Faktisk bosetting,16
2021-01-01,Drangedal,Faktisk bosetting,10
2021-01-01,Nome,Faktisk bosetting,10
2021-01-01,Midt-Telemark,Faktisk bosetting,16
2021-01-01,Tinn,Faktisk bosetting,13
2021-01-01,Hjartdal,Faktisk bosetting,0
2021-01-01,Seljord,Faktisk bosetting,9
2021-01-01,Kviteseid,Faktisk bosetting,0
2021-01-01,Nissedal,Faktisk bosetting,0
2021-01-01,Fyresdal,Faktisk bosetting,0
2021-01-01,Tokke,Faktisk bosetting,0
2021-01-01,Vinje,Faktisk bosetting,13
2020-01-01,Porsgrunn,Anmodning om bosetting,20
2020-01-01,Skien,Anmodning om bosetting,26
2020-01-01,Notodden,Anmodning om bosetting,13
2020-01-01,Siljan,Anmodning om bosetting,:
2020-01-01,Bamble,Anmodning om bosetting,12
2020-01-01,Kragerø,Anmodning om bosetting,11
2020-01-01,Drangedal,Anmodning om bosetting,10
2020-01-01,Nome,Anmodning om bosetting,10
2020-01-01,Midt-Telemark,Anmodning om bosetting,13
2020-01-01,Tinn,Anmodning om bosetting,10
2020-01-01,Hjartdal,Anmodning om bosetting,:
2020-01-01,Seljord,Anmodning om bosetting,10
2020-01-01,Kviteseid,Anmodning om bosetting,:
2020-01-01,Nissedal,Anmodning om bosetting,:
2020-01-01,Fyresdal,Anmodning om bosetting,:
2020-01-01,Tokke,Anmodning om bosetting,:
2020-01-01,Vinje,Anmodning om bosetting,10
2021-01-01,Porsgrunn,Anmodning om bosetting,24
2021-01-01,Skien,Anmodning om bosetting,28
2021-01-01,Notodden,Anmodning om bosetting,15
2021-01-01,Siljan,Anmodning om bosetting,0
2021-01-01,Bamble,Anmodning om bosetting,14
2021-01-01,Kragerø,Anmodning om bosetting,13
2021-01-01,Drangedal,Anmodning om bosetting,10
2021-01-01,Nome,Anmodning om bosetting,10
2021-01-01,Midt-Telemark,Anmodning om bosetting,16
2021-01-01,Tinn,Anmodning om bosetting,10
2021-01-01,Hjartdal,Anmodning om bosetting,0
2021-01-01,Seljord,Anmodning om bosetting,10
2021-01-01,Kviteseid,Anmodning om bosetting,0
2021-01-01,Nissedal,Anmodning om bosetting,0
2021-01-01,Fyresdal,Anmodning om bosetting,0
2021-01-01,Tokke,Anmodning om bosetting,0
2021-01-01,Vinje,Anmodning om bosetting,13
2024-01-01,Siljan,Vedtak om bosetting,10
2024-01-01,Nome,Vedtak om bosetting,30
2024-01-01,Hjartdal,Vedtak om bosetting,30
2024-01-01,Tinn,Vedtak om bosetting,35
2024-01-01,Skien,Vedtak om bosetting,141
2024-01-01,Midt-Telemark,Vedtak om bosetting,75
2024-01-01,Fyresdal,Vedtak om bosetting,30
2024-01-01,Bamble,Vedtak om bosetting,50
2023-01-01,Bamble,Anmodning om bosetting,110
2023-01-01,Drangedal,Anmodning om bosetting,50
2023-01-01,Fyresdal,Anmodning om bosetting,40
2023-01-01,Notodden,Anmodning om bosetting,120
2023-01-01,Porsgrunn,Anmodning om bosetting,120
2023-01-01,Kragerø,Anmodning om bosetting,100
2023-01-01,Siljan,Anmodning om bosetting,30
2023-01-01,Vinje,Anmodning om bosetting,60
2023-01-01,Kviteseid,Anmodning om bosetting,35
2023-01-01,Hjartdal,Anmodning om bosetting,50
2023-01-01,Seljord,Anmodning om bosetting,45
2023-01-01,Tinn,Anmodning om bosetting,30
2023-01-01,Nome,Anmodning om bosetting,65
2023-01-01,Skien,Anmodning om bosetting,195
2023-01-01,Tokke,Anmodning om bosetting,35
2023-01-01,Midt-Telemark,Anmodning om bosetting,120
2023-01-01,Nissedal,Anmodning om bosetting,35
2020-01-01,Porsgrunn,Opprinnelig anmodning,30
2020-01-01,Skien,Opprinnelig anmodning,40
2020-01-01,Notodden,Opprinnelig anmodning,16
2020-01-01,Siljan,Opprinnelig anmodning,:
2020-01-01,Bamble,Opprinnelig anmodning,18
2020-01-01,Kragerø,Opprinnelig anmodning,17
2020-01-01,Drangedal,Opprinnelig anmodning,10
2020-01-01,Nome,Opprinnelig anmodning,10
2020-01-01,Midt-Telemark,Opprinnelig anmodning,20
2020-01-01,Tinn,Opprinnelig anmodning,12
2020-01-01,Hjartdal,Opprinnelig anmodning,:
2020-01-01,Seljord,Opprinnelig anmodning,12
2020-01-01,Kviteseid,Opprinnelig anmodning,:
2020-01-01,Nissedal,Opprinnelig anmodning,:
2020-01-01,Fyresdal,Opprinnelig anmodning,:
2020-01-01,Tokke,Opprinnelig anmodning,:
2020-01-01,Vinje,Opprinnelig anmodning,12
2020-01-01,Porsgrunn,Faktisk bosetting,26
2020-01-01,Skien,Faktisk bosetting,27
2020-01-01,Notodden,Faktisk bosetting,13
2020-01-01,Siljan,Faktisk bosetting,:
2020-01-01,Bamble,Faktisk bosetting,12
2020-01-01,Kragerø,Faktisk bosetting,10
2020-01-01,Drangedal,Faktisk bosetting,7
2020-01-01,Nome,Faktisk bosetting,7
2020-01-01,Midt-Telemark,Faktisk bosetting,14
2020-01-01,Tinn,Faktisk bosetting,8
2020-01-01,Hjartdal,Faktisk bosetting,:
2020-01-01,Seljord,Faktisk bosetting,11
2020-01-01,Kviteseid,Faktisk bosetting,:
2020-01-01,Nissedal,Faktisk bosetting,:
2020-01-01,Fyresdal,Faktisk bosetting,:
2020-01-01,Tokke,Faktisk bosetting,:
2020-01-01,Vinje,Faktisk bosetting,10
2020-01-01,Porsgrunn,Vedtak om bosetting,30
2020-01-01,Skien,Vedtak om bosetting,40
2020-01-01,Notodden,Vedtak om bosetting,16
2020-01-01,Siljan,Vedtak om bosetting,:
2020-01-01,Bamble,Vedtak om bosetting,18
2020-01-01,Kragerø,Vedtak om bosetting,17
2020-01-01,Drangedal,Vedtak om bosetting,10
2020-01-01,Nome,Vedtak om bosetting,10
2020-01-01,Midt-Telemark,Vedtak om bosetting,20
2020-01-01,Tinn,Vedtak om bosetting,:
2020-01-01,Hjartdal,Vedtak om bosetting,:
2020-01-01,Seljord,Vedtak om bosetting,12
2020-01-01,Kviteseid,Vedtak om bosetting,:
2020-01-01,Nissedal,Vedtak om bosetting,:
2020-01-01,Fyresdal,Vedtak om bosetting,:
2020-01-01,Tokke,Vedtak om bosetting,:
2020-01-01,Vinje,Vedtak om bosetting,12
2024-01-01,Porsgrunn,Anmodning om bosetting,110
2024-01-01,Fyresdal,Anmodning om bosetting,30
2024-01-01,Midt-Telemark,Anmodning om bosetting,75
2024-01-01,Bamble,Anmodning om bosetting,100
2024-01-01,Drangedal,Anmodning om bosetting,55
2024-01-01,Tinn,Anmodning om bosetting,35
2024-01-01,Nome,Anmodning om bosetting,60
2022-01-01,Porsgrunn,Anmodning om bosetting,130
2022-01-01,Skien,Anmodning om bosetting,180
2022-01-01,Notodden,Anmodning om bosetting,100
2022-01-01,Siljan,Anmodning om bosetting,15
2022-01-01,Bamble,Anmodning om bosetting,75
