Kommunenummer,Kommune,Botid i Norge,År,Verdensregion,Antall
4012,Bamble,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",297.0
4020,Midt-Telemark,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",388.0
4030,Nissedal,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",70.0
4036,Vinje,5-9 år,2025-01-01,Alle,71.0
4022,Seljord,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",102.0
4032,Fyresdal,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",58.0
4026,Tinn,5-9 år,2025-01-01,Alle,136.0
4022,Seljord,5-9 år,2025-01-01,Alle,74.0
4032,Fyresdal,5-9 år,2025-01-01,Alle,22.0
4018,Nome,10+ år,2025-01-01,Alle,508.0
4022,Seljord,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",134.0
4032,Fyresdal,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",49.0
4028,Kviteseid,0-4 år,2025-01-01,Alle,125.0
4014,Kragerø,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",74.0
4016,Drangedal,5-9 år,2025-01-01,Alle,100.0
4026,Tinn,10+ år,2025-01-01,Alle,404.0
4036,Vinje,10+ år,2025-01-01,Alle,192.0
4024,Hjartdal,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",16.0
4034,Tokke,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",29.0
4016,Drangedal,10+ år,2025-01-01,Alle,222.0
4018,Nome,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",195.0
4003,Skien,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",499.0
4016,Drangedal,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",152.0
4030,Nissedal,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",14.0
4012,Bamble,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",344.0
4020,Midt-Telemark,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",138.0
4001,Porsgrunn,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",1901.0
4016,Drangedal,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",157.0
4036,Vinje,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",79.0
4026,Tinn,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",192.0
4005,Notodden,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",112.0
4001,Porsgrunn,0-4 år,2025-01-01,Alle,1251.0
4010,Siljan,5-9 år,2025-01-01,Alle,30.0
4010,Siljan,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",8.0
4018,Nome,0-4 år,2025-01-01,Alle,301.0
4001,Porsgrunn,5-9 år,2025-01-01,Alle,978.0
4012,Bamble,0-4 år,2025-01-01,Alle,404.0
4022,Seljord,0-4 år,2025-01-01,Alle,164.0
4032,Fyresdal,0-4 år,2025-01-01,Alle,77.0
4012,Bamble,5-9 år,2025-01-01,Alle,267.0
4028,Kviteseid,10+ år,2025-01-01,Alle,154.0
4018,Nome,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",416.0
4028,Kviteseid,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",79.0
4018,Nome,Alle,2025-01-01,Alle,929.0
4016,Drangedal,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",70.0
4030,Nissedal,5-9 år,2025-01-01,Alle,22.0
4010,Siljan,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",58.0
4026,Tinn,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",212.0
4028,Kviteseid,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",177.0
4036,Vinje,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",113.0
4005,Notodden,Alle,2025-01-01,Alle,1849.0
4020,Midt-Telemark,5-9 år,2025-01-01,Alle,363.0
