Kommunenummer,Kommune,Kjønn,År,Innvandringsgrunn,Enhet,Antall
4003,Skien,Menn,2025,Alle,Personer,4471.0
4005,Notodden,Menn,2025,Utdanning (inkl. au pair) eller andre grunner,Prosent,0.9
4036,Vinje,Kvinner,2025,Utdanning (inkl. au pair) eller andre grunner,Prosent,3.8
4014,Kragerø,Menn,2025,Arbeidsinnvandrere,Personer,151.0
4026,Tinn,Kvinner,2025,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.2
4026,Tinn,Kvinner,2025,Familieinnvandrede,Prosent,14.5
4014,Kragerø,Kvinner,2025,Alle,Prosent,50.4
4036,Vinje,Kvinner,2025,Familieinnvandrede,Prosent,9.5
4018,Nome,Kvinner,2025,Familieinnvandrede,Personer,157.0
4028,Kviteseid,Alle,2025,Uoppgitt,Prosent,13.1
4016,Drangedal,Alle,2025,Alle,Prosent,100.0
4022,Seljord,Kvinner,2025,Flyktninger og deres familieinnvandrede,Prosent,28.0
4032,Fyresdal,Kvinner,2025,Flyktninger og deres familieinnvandrede,Prosent,19.6
4005,Notodden,Alle,2025,Familieinnvandrede,Personer,420.0
4014,Kragerø,Kvinner,2025,Uoppgitt,Personer,99.0
4026,Tinn,Alle,2025,Alle,Prosent,100.0
4036,Vinje,Alle,2025,Alle,Prosent,100.0
4003,Skien,Menn,2025,Utdanning (inkl. au pair) eller andre grunner,Prosent,1.5
4016,Drangedal,Kvinner,2025,Familieinnvandrede,Prosent,18.6
4024,Hjartdal,Menn,2025,Arbeidsinnvandrere,Personer,15.0
4001,Porsgrunn,Menn,2025,Familieinnvandrede,Prosent,7.6
4034,Tokke,Menn,2025,Arbeidsinnvandrere,Personer,33.0
4032,Fyresdal,Kvinner,2025,Familieinnvandrede,Personer,25.0
4022,Seljord,Kvinner,2025,Familieinnvandrede,Personer,35.0
4020,Midt-Telemark,Menn,2025,Alle,Prosent,49.6
4032,Fyresdal,Alle,2025,Alle,Prosent,100.0
4030,Nissedal,Menn,2025,Alle,Prosent,49.2
4028,Kviteseid,Kvinner,2025,Familieinnvandrede,Personer,56.0
4034,Tokke,Alle,2025,Flyktninger og deres familieinnvandrede,Prosent,45.9
4024,Hjartdal,Alle,2025,Flyktninger og deres familieinnvandrede,Prosent,68.2
4034,Tokke,Kvinner,2025,Utdanning (inkl. au pair) eller andre grunner,Personer,11.0
4024,Hjartdal,Kvinner,2025,Utdanning (inkl. au pair) eller andre grunner,Personer,3.0
4034,Tokke,Kvinner,2025,Arbeidsinnvandrere,Prosent,5.6
4028,Kviteseid,Alle,2025,Utdanning (inkl. au pair) eller andre grunner,Personer,18.0
4024,Hjartdal,Kvinner,2025,Arbeidsinnvandrere,Prosent,1.9
4028,Kviteseid,Alle,2025,Familieinnvandrede,Prosent,27.2
4022,Seljord,Alle,2025,Alle,Prosent,100.0
4014,Kragerø,Alle,2025,Flyktninger og deres familieinnvandrede,Prosent,45.6
4028,Kviteseid,Kvinner,2025,Alle,Personer,160.0
4034,Tokke,Alle,2025,Uoppgitt,Personer,32.0
4018,Nome,Alle,2025,Utdanning (inkl. au pair) eller andre grunner,Personer,31.0
