År,Språk,Andel
2013-01-01,Ikke-minoritetsspråklige,98.1
2014-01-01,Ikke-minoritetsspråklige,99.7
2015-01-01,Ikke-minoritetsspråklige,97.3
2016-01-01,Ikke-minoritetsspråklige,97.9
2017-01-01,Ikke-minoritetsspråklige,98.9
2018-01-01,Ikke-minoritetsspråklige,98.8
2019-01-01,Ikke-minoritetsspråklige,100.7
2020-01-01,Ikke-minoritetsspråklige,100.0
2021-01-01,Ikke-minoritetsspråklige,100.0
2022-01-01,Ikke-minoritetsspråklige,100.0
2023-01-01,Ikke-minoritetsspråklige,100.0
2013-01-01,Minoritetsspråklige,101.7
2014-01-01,Minoritetsspråklige,93.5
2015-01-01,Minoritetsspråklige,93.2
2016-01-01,Minoritetsspråklige,98.3
2017-01-01,Minoritetsspråklige,98.3
2018-01-01,Minoritetsspråklige,96.2
2019-01-01,Minoritetsspråklige,93.8
2020-01-01,Minoritetsspråklige,91.9
2021-01-01,Minoritetsspråklige,94.0
2022-01-01,Minoritetsspråklige,93.2
2023-01-01,Minoritetsspråklige,92.9
