Region;Navn;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: 5+ år;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle
;;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Alle;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Bosatt her;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Flyttet hit;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt;Sekundærflytting: Uoppgitt
;;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent
;;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021
K3801;Horten;168;181;231;324;314;310;302;246;16.7;17.7;21.4;27.2;26.2;25.3;23.9;18.8;117;135;223;279;236;233;207;159;11.6;13.2;20.7;23.5;19.7;19;16.4;12.2;11;8;8;45;66;77;81;73;1.1;0.8;0.7;3.8;5.5;6.3;6.4;5.6;;38;0;0;12;0;14;14;;3.7;0.0;0.0;1;0;1.1;1.1;840;841;846;865;885;917;964;1060;83.3;82.3;78.6;72.8;73.8;74.7;76.1;81.2;261;268;388;397;411;431;465;510;25.9;26.2;36.0;33.4;34.3;35.1;36.7;39.1;462;452;455;468;474;486;499;550;45.8;44.2;42.2;39.4;39.5;39.6;39.4;42.1;;121;3;0;0;0;0;0;;11.8;0.3;0.0;0;0;0.0;0.0;1008;1022;1077;1189;1199;1227;1266;1306;100;100;100.0;100.0;100;100;100.0;100.0;;403;611;676;647;664;672;669;;39.4;56.7;56.9;54;54.1;53.1;51.2;;460;463;513;540;563;580;623;;45;43.0;43.1;45;45.9;45.8;47.7;;159;3;0;12;0;14;14;;15.5;0.3;0.0;1;0;1.1;1.1
K3806;Porsgrunn;310;295;365;477;411;392;363;336;25.5;22.5;26.2;30.4;26;23.9;21.8;19.4;224;207;312;416;272;276;239;196;18.4;15.8;22.4;26.5;17.2;16.8;14.4;11.3;22;37;53;61;107;116;119;127;1.8;2.8;3.8;3.9;6.8;7.1;7.1;7.3;;51;0;0;32;0;5;13;;3.9;0.0;0.0;2;0;0.3;0.7;905;1015;1028;1092;1170;1250;1302;1400;74.5;77.5;73.8;69.6;74;76.1;78.2;80.6;442;496;638;671;720;740;759;793;36.4;37.9;45.8;42.8;45.5;45.1;45.6;45.7;326;371;390;421;450;510;543;607;26.8;28.3;28.0;26.8;28.5;31.1;32.6;35.0;;148;0;0;0;0;0;0;;11.3;0.0;0.0;0;0;0.0;0.0;1215;1310;1393;1569;1581;1642;1665;1736;100;100;100.0;100.0;100;100;100.0;100.0;;703;950;1087;992;1016;998;989;;53.7;68.2;69.3;62.7;61.9;59.9;57.0;;408;443;482;557;626;662;734;;31.1;31.8;30.7;35.2;38.1;39.8;42.3;;199;0;0;32;0;5;13;;15.2;0.0;0.0;2;0;0.3;0.7
K3807;Skien;707;649;615;646;655;601;587;530;23.4;21.0;19.3;19.4;19.1;17.1;16.1;14.2;515;491;536;544;451;436;383;308;17;15.9;16.8;16.3;13.2;12.4;10.5;8.2;56;65;79;102;169;165;191;190;1.9;2.1;2.5;3.1;4.9;4.7;5.2;5.1;;93;0;0;35;0;13;32;;3.0;0.0;0.0;1;0;0.4;0.9;2315;2440;2569;2688;2770;2920;3056;3214;76.6;79.0;80.7;80.6;80.9;82.9;83.9;85.8;1085;1159;1596;1661;1692;1742;1799;1849;35.9;37.5;50.1;49.8;49.4;49.5;49.4;49.4;875;912;973;1027;1078;1178;1257;1365;29;29.5;30.6;30.8;31.5;33.5;34.5;36.5;;369;0;0;0;0;0;0;;11.9;0.0;0.0;0;0;0.0;0.0;3022;3089;3184;3334;3425;3521;3643;3744;100;100;100.0;100.0;100;100;100.0;100.0;;1650;2132;2205;2143;2178;2182;2157;;53.4;67.0;66.1;62.6;61.9;59.9;57.6;;977;1052;1129;1247;1343;1448;1555;;31.6;33.0;33.9;36.4;38.1;39.7;41.5;;462;0;0;35;0;13;32;;14.9;0.0;0.0;1;0;0.4;0.9
K3808;Notodden;168;208;251;281;276;236;213;163;47.9;50.1;52.0;52.6;50.3;43.6;39.7;30.4;142;171;241;260;208;175;154;108;40.5;41.2;49.9;48.7;37.9;32.3;28.7;20.1;10;16;10;21;60;61;59;55;2.8;3.9;2.1;3.9;10.9;11.3;11.0;10.3;;21;0;0;8;0;0;0;;5.1;0.0;0.0;1.5;0;0.0;0.0;183;207;232;253;273;305;324;373;52.1;49.9;48.0;47.4;49.7;56.4;60.3;69.6;101;109;150;174;192;216;223;251;28.8;26.3;31.1;32.6;35;39.9;41.5;46.8;51;65;82;79;81;89;101;122;14.5;15.7;17.0;14.8;14.8;16.5;18.8;22.8;;33;0;0;0;0;0;0;;8.0;0.0;0.0;0;0;0.0;0.0;351;415;483;534;549;541;537;536;100;100;100.0;100.0;100;100;100.0;100.0;;280;391;434;400;391;377;359;;67.5;81.0;81.3;72.9;72.3;70.2;67.0;;81;92;100;141;150;160;177;;19.6;19.0;18.7;25.7;27.7;29.8;33.0;;54;0;0;8;0;0;0;;13.1;0.0;0.0;1.5;0;0.0;0.0
K3812;Siljan;43;48;55;55;52;52;41;28;66.2;67.6;68.8;59.1;52;57.8;47.7;40.0;43;48;55;48;38;44;33;21;66.2;67.6;68.8;51.6;38;48.9;38.4;30.0;0;0;0;7;8;8;8;7;0;0.0;0.0;7.5;8;8.9;9.3;10.0;;0;0;0;6;0;0;0;;0.0;0.0;0.0;6;0;0.0;0.0;22;23;25;38;48;38;45;42;33.8;32.4;31.3;40.9;48;42.2;52.3;60.0;19;20;25;35;43;33;40;38;29.2;28.2;31.3;37.6;43;36.7;46.5;54.3;3;0;0;3;5;5;5;4;4.6;0.0;0.0;3.2;5;5.6;5.8;5.7;;3;0;0;0;0;0;0;;4.2;0.0;0.0;0;0;0.0;0.0;65;71;80;93;100;90;86;70;100;100;100.0;100.0;100;100;100.0;100.0;;68;80;83;81;77;73;59;;95.8;100.0;89.2;81;85.6;84.9;84.3;;0;0;10;13;13;13;11;;0;0.0;10.8;13;14.4;15.1;15.7;;3;0;0;6;0;0;0;;4.2;0.0;0.0;6;0;0.0;0.0
K3813;Bamble;194;204;198;235;241;218;200;156;49;47.9;43.8;47.6;43.2;38.7;35.7;28.0;181;181;195;223;181;174;157;123;45.7;42.5;43.1;45.1;32.4;30.9;28.0;22.0;3;3;3;12;40;44;39;33;0.8;0.7;0.7;2.4;7.2;7.8;7.0;5.9;;20;0;0;20;0;4;0;;4.7;0.0;0.0;3.6;0;0.7;0.0;202;222;254;259;317;346;361;402;51;52.1;56.2;52.4;56.8;61.3;64.3;72.0;160;184;237;241;288;313;320;349;40.4;43.2;52.4;48.8;51.6;55.5;57.0;62.5;16;14;17;18;29;33;41;53;4;3.3;3.8;3.6;5.2;5.9;7.3;9.5;;24;0;0;0;0;0;0;;5.6;0.0;0.0;0;0;0.0;0.0;396;426;452;494;558;564;561;558;100;100;100.0;100.0;100;100;100.0;100.0;;365;432;464;469;487;477;472;;85.7;95.6;93.9;84.1;86.3;85.0;84.6;;17;20;30;69;77;80;86;;4;4.4;6.1;12.4;13.7;14.3;15.4;;44;0;0;20;0;4;0;;10.3;0.0;0.0;3.6;0;0.7;0.0
K3814;Kragerø;181;180;202;212;220;209;190;154;50.7;50.0;54.0;52.1;49.9;45.7;41.3;35.2;168;166;202;184;135;131;104;78;47.1;46.1;54.0;45.2;30.6;28.7;22.6;17.8;0;0;0;28;76;78;86;76;0;0.0;0.0;6.9;17.2;17.1;18.7;17.4;;14;0;0;9;0;0;0;;3.9;0.0;0.0;2;0;0.0;0.0;176;180;172;195;221;248;270;283;49.3;50.0;46.0;47.9;50.1;54.3;58.7;64.8;148;155;156;175;199;223;240;251;41.5;43.1;41.7;43.0;45.1;48.8;52.2;57.4;14;11;16;20;22;25;30;32;3.9;3.1;4.3;4.9;5;5.5;6.5;7.3;;14;0;0;0;0;0;0;;3.9;0.0;0.0;0;0;0.0;0.0;357;360;374;407;441;457;460;437;100;100;100.0;100.0;100;100;100.0;100.0;;321;358;359;334;354;344;329;;89.2;95.7;88.2;75.7;77.5;74.8;75.3;;11;16;48;98;103;116;108;;3.1;4.3;11.8;22.2;22.5;25.2;24.7;;28;0;0;9;0;0;0;;7.8;0.0;0.0;2;0;0.0;0.0
