År,Innvandringsgrunn,Antall
2020-01-01,Alle,0.0
2020-01-01,Arbeidsinnvandrere,3436.0
2020-01-01,Familieinnvandrede,4369.0
2020-01-01,Flyktninger og deres familieinnvandrede,8678.0
2020-01-01,Uoppgitt,2772.0
2020-01-01,Utdanning (inkl. au pair) eller andre grunner,665.0
2021-01-01,Alle,0.0
2021-01-01,Arbeidsinnvandrere,3519.0
2021-01-01,Familieinnvandrede,4509.0
2021-01-01,Flyktninger og deres familieinnvandrede,8787.0
2021-01-01,Uoppgitt,2766.0
2021-01-01,Utdanning (inkl. au pair) eller andre grunner,699.0
2022-01-01,Alle,0.0
2022-01-01,Arbeidsinnvandrere,3679.0
2022-01-01,Familieinnvandrede,4642.0
2022-01-01,Flyktninger og deres familieinnvandrede,8889.0
2022-01-01,Uoppgitt,2756.0
2022-01-01,Utdanning (inkl. au pair) eller andre grunner,877.0
2023-01-01,Alle,0.0
2023-01-01,Arbeidsinnvandrere,3730.0
2023-01-01,Familieinnvandrede,4933.0
2023-01-01,Flyktninger og deres familieinnvandrede,10156.0
2023-01-01,Uoppgitt,2733.0
2023-01-01,Utdanning (inkl. au pair) eller andre grunner,1070.0
