Kommunenummer_19;Kommunenavn_19;NummerOgNavn_19;Kommunenummer_23;K-NummerOgNavn_23;Kommunenavn_23;NummerOgNavn_23;Kommunenummer_24;Kommunenavn_24;NummerOgNavn_24
701;Horten;0701 Horten;3801;K-3801 Horten;Horten;3801 Horten;3901;Horten;3901 Horten
704;Tønsberg;0704 Tønsberg;3803;K-3803 Tønsberg;Tønsberg;3803 Tønsberg;3905;Tønsberg;3905 Tønsberg
710;Sandefjord;0710 Sandefjord;3804;K-3804 Sandefjord;Sandefjord;3804 Sandefjord;3907;Sandefjord;3907 Sandefjord
712;Larvik;0712 Larvik;3805;K-3805 Larvik;Larvik;3805 Larvik;3909;Larvik;3909 Larvik
713;Sande;0713 Sande (Vestfold);3802;K-3802 Holmestrand;Holmestrand;3802 Holmestrand;3903;Holmestrand;3903 Holmestrand
715;Holmestrand;0715 Holmestrand;3802;K-3802 Holmestrand;Holmestrand;3802 Holmestrand;3903;Holmestrand;3903 Holmestrand
716;Re;0716 Re;3803;K-3803 Tønsberg;Tønsberg;3803 Tønsberg;3905;Tønsberg;3905 Tønsberg
729;Færder;0729 Færder;3811;K-3811 Færder;Færder;3811 Færder;3911;Færder;3911 Færder
805;Porsgrunn;0805 Porsgrunn;3806;K-3806 Porsgrunn;Porsgrunn;3806 Porsgrunn;4001;Porsgrunn;4001 Porsgrunn
806;Skien;0806 Skien;3807;K-3807 Skien;Skien;3807 Skien;4003;Skien;4003 Skien
807;Notodden;0807 Notodden;3808;K-3808 Notodden;Notodden;3808 Notodden;4005;Notodden;4005 Notodden
811;Siljan;0811 Siljan;3812;K-3812 Siljan;Siljan;3812 Siljan;4010;Siljan;4010 Siljan
814;Bamble;0814 Bamble;3813;K-3813 Bamble;Bamble;3813 Bamble;4012;Bamble;4012 Bamble
815;Kragerø;0815 Kragerø;3814;K-3814 Kragerø;Kragerø;3814 Kragerø;4014;Kragerø;4014 Kragerø
817;Drangedal;0817 Drangedal;3815;K-3815 Drangedal;Drangedal;3815 Drangedal;4016;Drangedal;4016 Drangedal
819;Nome;0819 Nome;3816;K-3816 Nome;Nome;3816 Nome;4018;Nome;4018 Nome
821;Bø;0821 Bø (Telemark);3817;K-3817 Midt-Telemark;Midt-Telemark;3817 Midt-Telemark;4020;Midt-Telemark;4020 Midt-Telemark
822;Sauherad;0822 Sauherad;3817;K-3817 Midt-Telemark;Midt-Telemark;3817 Midt-Telemark;4020;Midt-Telemark;4020 Midt-Telemark
826;Tinn;0826 Tinn;3818;K-3818 Tinn;Tinn;3818 Tinn;4026;Tinn;4026 Tinn
827;Hjartdal;0827 Hjartdal;3819;K-3819 Hjartdal;Hjartdal;3819 Hjartdal;4024;Hjartdal;4024 Hjartdal
828;Seljord;0828 Seljord;3820;K-3820 Seljord;Seljord;3820 Seljord;4022;Seljord;4022 Seljord
829;Kviteseid;0829 Kviteseid;3821;K-3821 Kviteseid;Kviteseid;3821 Kviteseid;4028;Kviteseid;4028 Kviteseid
830;Nissedal;0830 Nissedal;3822;K-3822 Nissedal;Nissedal;3822 Nissedal;4030;Nissedal;4030 Nissedal
831;Fyresdal;0831 Fyresdal;3823;K-3823 Fyresdal;Fyresdal;3823 Fyresdal;4032;Fyresdal;4032 Fyresdal
833;Tokke;0833 Tokke;3824;K-3824 Tokke;Tokke;3824 Tokke;4034;Tokke;4034 Tokke
834;Vinje;0834 Vinje;3825;K-3825 Vinje;Vinje;3825 Vinje;4036;Vinje;4036 Vinje
