Kommunenummer,Kommune,Alder,SortAlder,År,Bygningstype,SortBygningstype,Antall,Andel
4001,Porsgrunn,0-19 år,1,01.01.2024,Annen boligbygning,6,113.0,0.04145267791636097
4001,Porsgrunn,0-19 år,1,01.01.2024,Boligblokk,3,475.0,0.04649569303054033
4001,Porsgrunn,0-19 år,1,01.01.2024,Boliger i alt,1,7844.0,0.10709702083504001
4001,Porsgrunn,0-19 år,1,01.01.2024,Enebolig,2,5608.0,0.12698125169821575
4001,Porsgrunn,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1032.0,0.09858616736721437
4001,Porsgrunn,0-19 år,1,01.01.2024,Tomannsbolig,5,616.0,0.1086803105151729
4001,Porsgrunn,20-39 år,2,01.01.2024,Annen boligbygning,6,605.0,0.22193690388848128
4001,Porsgrunn,20-39 år,2,01.01.2024,Boligblokk,3,1284.0,0.12568519968676586
4001,Porsgrunn,20-39 år,2,01.01.2024,Boliger i alt,1,8666.0,0.11832008956609595
4001,Porsgrunn,20-39 år,2,01.01.2024,Enebolig,2,4636.0,0.10497237569060773
4001,Porsgrunn,20-39 år,2,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1381.0,0.1319258693160107
4001,Porsgrunn,20-39 år,2,01.01.2024,Tomannsbolig,5,760.0,0.1340860973888497
4001,Porsgrunn,40-66 år,3,01.01.2024,Annen boligbygning,6,347.0,0.1272927366104182
4001,Porsgrunn,40-66 år,3,01.01.2024,Boligblokk,3,1624.0,0.15896632732967894
4001,Porsgrunn,40-66 år,3,01.01.2024,Boliger i alt,1,13253.0,0.18094808989377678
4001,Porsgrunn,40-66 år,3,01.01.2024,Enebolig,2,8417.0,0.1905850919300788
4001,Porsgrunn,40-66 år,3,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1808.0,0.1727168513565151
4001,Porsgrunn,40-66 år,3,01.01.2024,Tomannsbolig,5,1057.0,0.18648553281580804
4001,Porsgrunn,67-79 år,4,01.01.2024,Annen boligbygning,6,163.0,0.05979457079970653
4001,Porsgrunn,67-79 år,4,01.01.2024,Boligblokk,3,1093.0,0.10698903680501175
4001,Porsgrunn,67-79 år,4,01.01.2024,Boliger i alt,1,4972.0,0.06788454711777396
4001,Porsgrunn,67-79 år,4,01.01.2024,Enebolig,2,2637.0,0.059709265465084684
4001,Porsgrunn,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,752.0,0.07183798242262132
4001,Porsgrunn,67-79 år,4,01.01.2024,Tomannsbolig,5,327.0,0.057692307692307696
4001,Porsgrunn,80+,5,01.01.2024,Annen boligbygning,6,135.0,0.04952311078503301
4001,Porsgrunn,80+,5,01.01.2024,Boligblokk,3,632.0,0.06186374314800313
4001,Porsgrunn,80+,5,01.01.2024,Boliger i alt,1,1886.0,0.02575025258731329
4001,Porsgrunn,80+,5,01.01.2024,Enebolig,2,784.0,0.017752015216013044
4001,Porsgrunn,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,261.0,0.02493312953763852
4001,Porsgrunn,80+,5,01.01.2024,Tomannsbolig,5,74.0,0.01305575158786168
4001,Porsgrunn,Alle aldre,6,01.01.2024,Annen boligbygning,6,1363.0,0.5
4001,Porsgrunn,Alle aldre,6,01.01.2024,Boligblokk,3,5108.0,0.5
4001,Porsgrunn,Alle aldre,6,01.01.2024,Boliger i alt,1,36621.0,0.5
4001,Porsgrunn,Alle aldre,6,01.01.2024,Enebolig,2,22082.0,0.5
4001,Porsgrunn,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,5234.0,0.5
4001,Porsgrunn,Alle aldre,6,01.01.2024,Tomannsbolig,5,2834.0,0.5
4003,Skien,0-19 år,1,01.01.2024,Annen boligbygning,6,191.0,0.07245827010622155
4003,Skien,0-19 år,1,01.01.2024,Boligblokk,3,1078.0,0.0628864776572162
4003,Skien,0-19 år,1,01.01.2024,Boliger i alt,1,12383.0,0.1118204804045512
4003,Skien,0-19 år,1,01.01.2024,Enebolig,2,8521.0,0.12616601024608368
4003,Skien,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1185.0,0.09932942162615256
4003,Skien,0-19 år,1,01.01.2024,Tomannsbolig,5,1408.0,0.12249869497128937
4003,Skien,20-39 år,2,01.01.2024,Annen boligbygning,6,464.0,0.17602427921092564
4003,Skien,20-39 år,2,01.01.2024,Boligblokk,3,2205.0,0.12863143157157858
4003,Skien,20-39 år,2,01.01.2024,Boliger i alt,1,12844.0,0.11598338450424417
