Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4001,Porsgrunn,01.01.2013,Enebolig,1,Enebolig,1,8947
4001,Porsgrunn,01.01.2013,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1199
4001,Porsgrunn,01.01.2013,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2555
4001,Porsgrunn,01.01.2013,Boligblokk,2,Leilighet,2,2902
4001,Porsgrunn,01.01.2013,Bygning for bofellesskap,6,Annen boligbygging,4,598
4001,Porsgrunn,01.01.2013,Andre bygningstyper,5,Annen boligbygging,4,477
4001,Porsgrunn,01.01.2014,Enebolig,1,Enebolig,1,8963
4001,Porsgrunn,01.01.2014,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1226
4001,Porsgrunn,01.01.2014,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2574
4001,Porsgrunn,01.01.2014,Boligblokk,2,Leilighet,2,2996
4001,Porsgrunn,01.01.2014,Bygning for bofellesskap,6,Annen boligbygging,4,595
4001,Porsgrunn,01.01.2014,Andre bygningstyper,5,Annen boligbygging,4,480
4001,Porsgrunn,01.01.2015,Enebolig,1,Enebolig,1,8983
4001,Porsgrunn,01.01.2015,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1238
4001,Porsgrunn,01.01.2015,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2579
4001,Porsgrunn,01.01.2015,Boligblokk,2,Leilighet,2,2998
4001,Porsgrunn,01.01.2015,Bygning for bofellesskap,6,Annen boligbygging,4,595
4001,Porsgrunn,01.01.2015,Andre bygningstyper,5,Annen boligbygging,4,478
4001,Porsgrunn,01.01.2016,Enebolig,1,Enebolig,1,9004
4001,Porsgrunn,01.01.2016,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1249
4001,Porsgrunn,01.01.2016,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2600
4001,Porsgrunn,01.01.2016,Boligblokk,2,Leilighet,2,3040
4001,Porsgrunn,01.01.2016,Bygning for bofellesskap,6,Annen boligbygging,4,674
4001,Porsgrunn,01.01.2016,Andre bygningstyper,5,Annen boligbygging,4,477
4001,Porsgrunn,01.01.2017,Enebolig,1,Enebolig,1,9029
4001,Porsgrunn,01.01.2017,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1271
4001,Porsgrunn,01.01.2017,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2627
4001,Porsgrunn,01.01.2017,Boligblokk,2,Leilighet,2,3051
4001,Porsgrunn,01.01.2017,Bygning for bofellesskap,6,Annen boligbygging,4,682
4001,Porsgrunn,01.01.2017,Andre bygningstyper,5,Annen boligbygging,4,493
4001,Porsgrunn,01.01.2018,Enebolig,1,Enebolig,1,9075
4001,Porsgrunn,01.01.2018,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1274
4001,Porsgrunn,01.01.2018,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2664
4001,Porsgrunn,01.01.2018,Boligblokk,2,Leilighet,2,3091
4001,Porsgrunn,01.01.2018,Bygning for bofellesskap,6,Annen boligbygging,4,678
4001,Porsgrunn,01.01.2018,Andre bygningstyper,5,Annen boligbygging,4,497
4001,Porsgrunn,01.01.2019,Enebolig,1,Enebolig,1,9095
4001,Porsgrunn,01.01.2019,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1287
4001,Porsgrunn,01.01.2019,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2684
4001,Porsgrunn,01.01.2019,Boligblokk,2,Leilighet,2,3228
4001,Porsgrunn,01.01.2019,Bygning for bofellesskap,6,Annen boligbygging,4,674
4001,Porsgrunn,01.01.2019,Andre bygningstyper,5,Annen boligbygging,4,492
4001,Porsgrunn,01.01.2020,Enebolig,1,Enebolig,1,9100
4001,Porsgrunn,01.01.2020,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1316
4001,Porsgrunn,01.01.2020,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2711
4001,Porsgrunn,01.01.2020,Boligblokk,2,Leilighet,2,3293
4001,Porsgrunn,01.01.2020,Bygning for bofellesskap,6,Annen boligbygging,4,670
4001,Porsgrunn,01.01.2020,Andre bygningstyper,5,Annen boligbygging,4,512
4001,Porsgrunn,01.01.2021,Enebolig,1,Enebolig,1,9116
4001,Porsgrunn,01.01.2021,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1332
4001,Porsgrunn,01.01.2021,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2764
4001,Porsgrunn,01.01.2021,Boligblokk,2,Leilighet,2,3360
4001,Porsgrunn,01.01.2021,Bygning for bofellesskap,6,Annen boligbygging,4,690
4001,Porsgrunn,01.01.2021,Andre bygningstyper,5,Annen boligbygging,4,483
4001,Porsgrunn,01.01.2022,Enebolig,1,Enebolig,1,9135
4001,Porsgrunn,01.01.2022,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1338
4001,Porsgrunn,01.01.2022,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2771
4001,Porsgrunn,01.01.2022,Boligblokk,2,Leilighet,2,3380
4001,Porsgrunn,01.01.2022,Bygning for bofellesskap,6,Annen boligbygging,4,693
