Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2000,Enebolig,1,Enebolig,1,18
4001,Porsgrunn,01.01.2000,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,9
4001,Porsgrunn,01.01.2000,Våningshus,8,Våningshus,8,0
4001,Porsgrunn,01.01.2000,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,6
4001,Porsgrunn,01.01.2000,"Tomannsbolig, horisontaldelt",13,Andre,10,0
4001,Porsgrunn,01.01.2000,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2000,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2000,Rekkehus,7,Rekkehus,7,8
4001,Porsgrunn,01.01.2000,Kjedehus inkl.atriumhus,14,Andre,10,0
4001,Porsgrunn,01.01.2000,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2000,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,17
4001,Porsgrunn,01.01.2000,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2000,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,12
4001,Porsgrunn,01.01.2000,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2000,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2000,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2000,Annen bygning for bofellesskap,19,Andre,10,8
4001,Porsgrunn,01.01.2000,Andre bygg enn boligbygg,11,Andre,10,0
4001,Porsgrunn,01.01.2001,Enebolig,1,Enebolig,1,149
4001,Porsgrunn,01.01.2001,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,45
4001,Porsgrunn,01.01.2001,Våningshus,8,Våningshus,8,1
4001,Porsgrunn,01.01.2001,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,19
4001,Porsgrunn,01.01.2001,"Tomannsbolig, horisontaldelt",13,Andre,10,1
4001,Porsgrunn,01.01.2001,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2001,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2001,Rekkehus,7,Rekkehus,7,14
4001,Porsgrunn,01.01.2001,Kjedehus inkl.atriumhus,14,Andre,10,1
4001,Porsgrunn,01.01.2001,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2001,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,31
4001,Porsgrunn,01.01.2001,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,8
4001,Porsgrunn,01.01.2001,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,21
4001,Porsgrunn,01.01.2001,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,36
4001,Porsgrunn,01.01.2001,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2001,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2001,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2001,Bo- og servicesenter,16,Andre,10,7
4001,Porsgrunn,01.01.2001,Studenthjem/studentboliger,15,Andre,10,20
4001,Porsgrunn,01.01.2001,Annen bygning for bofellesskap,19,Andre,10,0
