Kommunenummer,Kommune,År,Husholdningstype,SortHusholdningstype,Antall
4012,Bamble,01.01.2014,Aleneboende,1,1917
4012,Bamble,01.01.2014,Aleneforsørger med barn under 18 år,4,324
4012,Bamble,01.01.2014,Andre husholdninger,0,0
4012,Bamble,01.01.2014,Flerfamiliehusholdninger,6,272
4012,Bamble,01.01.2014,Par eller aleneforsørger med voksne barn (18+),3,523
4012,Bamble,01.01.2014,Par med barn under 18 år,5,1241
4012,Bamble,01.01.2014,Par uten hjemmeboende barn,2,1771
4012,Bamble,01.01.2015,Aleneboende,1,1917
4012,Bamble,01.01.2015,Aleneforsørger med barn under 18 år,4,303
4012,Bamble,01.01.2015,Andre husholdninger,0,0
4012,Bamble,01.01.2015,Flerfamiliehusholdninger,6,282
4012,Bamble,01.01.2015,Par eller aleneforsørger med voksne barn (18+),3,522
4012,Bamble,01.01.2015,Par med barn under 18 år,5,1233
4012,Bamble,01.01.2015,Par uten hjemmeboende barn,2,1805
4012,Bamble,01.01.2016,Aleneboende,1,1958
4012,Bamble,01.01.2016,Aleneforsørger med barn under 18 år,4,296
4012,Bamble,01.01.2016,Andre husholdninger,0,0
4012,Bamble,01.01.2016,Flerfamiliehusholdninger,6,275
4012,Bamble,01.01.2016,Par eller aleneforsørger med voksne barn (18+),3,538
4012,Bamble,01.01.2016,Par med barn under 18 år,5,1208
4012,Bamble,01.01.2016,Par uten hjemmeboende barn,2,1802
4012,Bamble,01.01.2017,Aleneboende,1,2012
4012,Bamble,01.01.2017,Aleneforsørger med barn under 18 år,4,302
4012,Bamble,01.01.2017,Andre husholdninger,0,0
4012,Bamble,01.01.2017,Flerfamiliehusholdninger,6,265
4012,Bamble,01.01.2017,Par eller aleneforsørger med voksne barn (18+),3,544
4012,Bamble,01.01.2017,Par med barn under 18 år,5,1203
4012,Bamble,01.01.2017,Par uten hjemmeboende barn,2,1816
4012,Bamble,01.01.2018,Aleneboende,1,2033
4012,Bamble,01.01.2018,Aleneforsørger med barn under 18 år,4,298
4012,Bamble,01.01.2018,Andre husholdninger,0,0
4012,Bamble,01.01.2018,Flerfamiliehusholdninger,6,275
4012,Bamble,01.01.2018,Par eller aleneforsørger med voksne barn (18+),3,549
4012,Bamble,01.01.2018,Par med barn under 18 år,5,1220
4012,Bamble,01.01.2018,Par uten hjemmeboende barn,2,1791
4012,Bamble,01.01.2019,Aleneboende,1,2038
