Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_6_gr,Sort_Bygningstype_6_gr,Bygningstype_5_gr,Sort_Bygningstype_5_gr,Antall
4001,Porsgrunn,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,29
4001,Porsgrunn,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,34
4001,Porsgrunn,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,40
4001,Porsgrunn,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,24
4001,Porsgrunn,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,34
4001,Porsgrunn,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,41
4001,Porsgrunn,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,36
4001,Porsgrunn,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,27
4001,Porsgrunn,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,17
4001,Porsgrunn,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,51
4001,Porsgrunn,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,21
4001,Porsgrunn,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,43
4001,Porsgrunn,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,40
4001,Porsgrunn,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,25
4001,Porsgrunn,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,40
4001,Porsgrunn,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,25
4001,Porsgrunn,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,33
4001,Porsgrunn,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,16
4001,Porsgrunn,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,25
4001,Porsgrunn,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,23
4001,Porsgrunn,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,15
4001,Porsgrunn,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,24
4001,Porsgrunn,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,25
4001,Porsgrunn,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,18
4001,Porsgrunn,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,13
4001,Porsgrunn,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,16
4003,Skien,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,53
