3800_Arealregnskap[Kommune],3800_Arealregnskap[Arealformålsgruppe],3800_Arealregnskap[Arealtype],[SumDekar_sum]
Bamble,01 Bolig eller sentrumsformål,Bebygd,3765.7545053589643
Bamble,01 Bolig eller sentrumsformål,Ferskvann,7.203686300550048
Bamble,01 Bolig eller sentrumsformål,Fulldyrka jord,65.90188192911017
Bamble,01 Bolig eller sentrumsformål,Hav,5.942414219716614
Bamble,01 Bolig eller sentrumsformål,Innmarksbeite,8.01616830686681
Bamble,01 Bolig eller sentrumsformål,Myr,1.5686408100894136
Bamble,01 Bolig eller sentrumsformål,Samferdsel,432.51238849965137
Bamble,01 Bolig eller sentrumsformål,Skog,2129.3696066400466
Bamble,01 Bolig eller sentrumsformål,Åpen fastmark,113.42494631550724
Bamble,02 Fritidsbebyggelse,Bebygd,847.6468253340655
Bamble,02 Fritidsbebyggelse,Ferskvann,2.052388863697763
Bamble,02 Fritidsbebyggelse,Fulldyrka jord,12.682923129108527
Bamble,02 Fritidsbebyggelse,Hav,7.422056974795039
Bamble,02 Fritidsbebyggelse,Myr,0.47533969647452795
Bamble,02 Fritidsbebyggelse,Samferdsel,38.99551515483805
Bamble,02 Fritidsbebyggelse,Skog,782.9059247570452
Bamble,02 Fritidsbebyggelse,Åpen fastmark,112.57546404227223
Bamble,03 Tjenesteyting,Bebygd,454.2664951032544
Bamble,03 Tjenesteyting,Ferskvann,0.6464806801904919
Bamble,03 Tjenesteyting,Fulldyrka jord,14.73108000436791
Bamble,03 Tjenesteyting,Hav,1.561868817256079
Bamble,03 Tjenesteyting,Samferdsel,34.51893075602076
Bamble,03 Tjenesteyting,Skog,140.23415499683003
Bamble,03 Tjenesteyting,Åpen fastmark,38.62439559333202
Bamble,04 Handel,Bebygd,66.86412743601579
Bamble,04 Handel,Ferskvann,0.4638165527382114
Bamble,04 Handel,Fulldyrka jord,5.835388708680372
Bamble,04 Handel,Hav,0.28798627742872285
Bamble,04 Handel,Samferdsel,14.47545718644509
Bamble,04 Handel,Skog,49.596033512236495
Bamble,04 Handel,Åpen fastmark,1.3623155951747201
Bamble,05 Turistformål,Bebygd,63.179298599081555
Bamble,05 Turistformål,Ferskvann,5.119366083792629
Bamble,05 Turistformål,Fulldyrka jord,11.8985824283337
Bamble,05 Turistformål,Hav,0.5676005709237189
Bamble,05 Turistformål,Myr,5.102856782546997
Bamble,05 Turistformål,Samferdsel,24.976999472944406
Bamble,05 Turistformål,Skog,487.6029327111785
Bamble,05 Turistformål,Åpen fastmark,13.079277049495953
Bamble,06 Næringsvirksomhet,Bebygd,1758.6171361572015
Bamble,06 Næringsvirksomhet,Ferskvann,9.647317162472365
Bamble,06 Næringsvirksomhet,Fulldyrka jord,27.35753171001133
Bamble,06 Næringsvirksomhet,Hav,286.1269021993735
Bamble,06 Næringsvirksomhet,Myr,9.124783226432958
