Område;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Asker/Bærum;8,9;3,2;3,0;2,9;3,0;1,6;1,8;2,8;3,6;3,2
Bergen;38,2;28,1;31,2;35,7;34,4;27,5;26,1;32,3;28,8;21,7
Bodø m/Fauske;50,5;32,0;33,0;31,2;31,7;18,1;18,0;28,2;34,8;34,9
Drammen m/omegn;40,8;25,9;25,9;27,2;27,7;19,4;16,3;22,7;27,7;30,4
Follo;12,1;5,3;5,6;5,8;6,3;3,8;4,4;6,8;8,3;7,0
Fredrikstad/Sarpsborg;63,2;47,7;45,2;42,8;42,7;32,8;31,3;41,7;43,1;45,0
Hamar m/Stange;59,4;44,7;43,8;43,5;43,2;38,3;38,0;46,9;47,5;47,6
Kristiansand m/omegn;58,8;52,6;52,7;56,3;54,7;47,9;46,7;47,1;44,6;44,1
Oslo;8,8;3,1;3,7;3,7;3,6;1,8;1,7;2,3;2,4;2,9
Porsgrunn/Skien;74,4;66,8;65,8;66,1;64,3;58,3;54,5;62,6;63,6;63,4
Romerike;27,6;13,2;16,0;18,7;17,8;12,6;13,2;18,1;21,5;21,4
Stavanger m/omegn;31,2;23,6;26,5;31,2;34,2;29,6;29,5;27,4;24,3;15,9
Tromsø;24,2;15,7;17,7;16,9;18,3;14,0;16,0;20,2;22,4;17,6
Trondheim;30,5;22,5;24,9;29,8;31,7;24,4;24,1;30,5;32,2;35,7
Tønsberg m/Færder;43,6;36,7;35,6;36,3;34,7;28,0;25,1;28,4;31,1;32,0
Ålesund m/omegn;53,5;47,8;50,0;54,7;50,5;49,1;44,8;47,4;50,4;47,4
Norge;39,0;30,5;31,1;32,6;33,1;28,4;27,7;31,5;31,9;30,1
