Periode,Område,Andel
2024_2,Oslo,2.4
2024_2,Asker/Bærum,3.6
2024_2,Follo,8.2
2024_2,Romerike,21.4
2024_2,Tromsø,24.0
2024_2,Stavanger m/omegn,26.5
2024_2,Drammen m/omegn,27.1
2024_2,Tønsberg m/Færder,27.7
2024_2,Bergen,30.1
2024_2,Norge,31.4
2024_2,Trondheim,32.2
2024_2,Bodø m/Fauske,32.8
2024_2,Fredrikstad/Sarpsborg,42.5
2024_2,Kristiansand,47.6
2024_2,Hamar m/Stange,49.6
2024_2,Ålesund m/Sula,50.3
2024_2,Porsgrunn/Skien,62.4
2025_1,Oslo,2.3
2025_1,Asker/Bærum,3.6
2025_1,Follo,8.1
2025_1,Romerike,21.2
2025_1,Tromsø,22.1
2025_1,Stavanger m/omegn,23.9
2025_1,Drammen m/omegn,27.3
2025_1,Bergen,28.4
2025_1,Tønsberg m/Færder,30.8
2025_1,Norge,31.6
2025_1,Trondheim,31.9
2025_1,Bodø m/Fauske,34.6
2025_1,Fredrikstad/Sarpsborg,42.5
2025_1,Kristiansand,44.3
2025_1,Hamar m/Stange,47.0
2025_1,Ålesund m/Sula,50.1
2025_1,Porsgrunn/Skien,63.4
2025_2,Asker/Bærum,2.3
2025_2,Oslo,2.5
2025_2,Follo,5.9
2025_2,Stavanger m/omegn,16.7
2025_2,Tromsø,17.8
2025_2,Romerike,21.3
2025_2,Bergen,21.6
2025_2,Norge,30.5
2025_2,Drammen m/omegn,31.1
2025_2,Tønsberg m/Færder,31.6
2025_2,Trondheim,35.0
2025_2,Bodø m/Fauske,35.4
2025_2,Kristiansand m/omegn,43.2
2025_2,Fredrikstad/Sarpsborg,46.1
2025_2,Hamar m/Stange,47.8
2025_2,Ålesund m/omegn,49.3
2025_2,Porsgrunn/Skien,64.8
2026_1,Oslo,2.9
2026_1,Asker/Bærum,3.2
2026_1,Follo,7.0
2026_1,Stavanger m/omegn,15.9
2026_1,Tromsø,17.6
2026_1,Romerike,21.4
2026_1,Bergen,21.7
2026_1,Norge,30.1
2026_1,Drammen m/omegn,30.4
2026_1,Tønsberg m/Færder,32.0
2026_1,Bodø m/Fauske,34.9
2026_1,Trondheim,35.7
2026_1,Kristiansand,44.1
2026_1,Fredrikstad/Sarpsborg,45.0
2026_1,Ålesund m/Sula,47.4
2026_1,Hamar m/Stange,47.6
2026_1,Porsgrunn/Skien,63.4
2026_2,Oslo,3.3
2026_2,Asker/Bærum,4.1
2026_2,Follo,8.3
2026_2,Stavanger m/omegn,9.8
2026_2,Tromsø,9.8
2026_2,Bergen,12.9
2026_2,Romerike,23.6
2026_2,Norge,29.3
2026_2,Tønsberg m/Færder,30.7
2026_2,Drammen m/omegn,34.2
2026_2,Bodø m/Fauske,36.9
2026_2,Trondheim,37.6
2026_2,Kristiansand,41.1
2026_2,Ålesund m/Sula,45.6
2026_2,Hamar m/Stange,45.8
2026_2,Fredrikstad/Sarpsborg,48.3
2026_2,Porsgrunn/Skien,62.2
