Område,År,Andel
Asker/Bærum,2017-01-01,0.032
Asker/Bærum,2018-01-01,0.03
Asker/Bærum,2019-01-01,0.028999999999999998
Asker/Bærum,2020-01-01,0.03
Asker/Bærum,2021-01-01,0.016
Asker/Bærum,2022-01-01,0.018000000000000002
Asker/Bærum,2023-01-01,0.027999999999999997
Asker/Bærum,2024-01-01,0.036000000000000004
Asker/Bærum,2025-01-01,0.034
Asker/Bærum,2026-01-01,0.040999999999999995
Bergen,2017-01-01,0.281
Bergen,2018-01-01,0.312
Bergen,2019-01-01,0.35700000000000004
Bergen,2020-01-01,0.344
Bergen,2021-01-01,0.275
Bergen,2022-01-01,0.261
Bergen,2023-01-01,0.32299999999999995
Bergen,2024-01-01,0.28800000000000003
Bergen,2025-01-01,0.233
Bergen,2026-01-01,0.129
Bodø m/Fauske,2017-01-01,0.32
Bodø m/Fauske,2018-01-01,0.33
Bodø m/Fauske,2019-01-01,0.312
Bodø m/Fauske,2020-01-01,0.316
Bodø m/Fauske,2021-01-01,0.18100000000000002
Bodø m/Fauske,2022-01-01,0.18
Bodø m/Fauske,2023-01-01,0.282
Bodø m/Fauske,2024-01-01,0.348
Bodø m/Fauske,2025-01-01,0.377
Bodø m/Fauske,2026-01-01,0.369
Drammen m/omegn,2017-01-01,0.259
Drammen m/omegn,2018-01-01,0.259
Drammen m/omegn,2019-01-01,0.273
Drammen m/omegn,2020-01-01,0.27699999999999997
Drammen m/omegn,2021-01-01,0.193
Drammen m/omegn,2022-01-01,0.163
Drammen m/omegn,2023-01-01,0.22699999999999998
Drammen m/omegn,2024-01-01,0.276
Drammen m/omegn,2025-01-01,0.327
Drammen m/omegn,2026-01-01,0.342
Follo,2017-01-01,0.053
Follo,2018-01-01,0.055999999999999994
Follo,2019-01-01,0.057999999999999996
Follo,2020-01-01,0.063
Follo,2021-01-01,0.038
Follo,2022-01-01,0.044000000000000004
Follo,2023-01-01,0.067
Follo,2024-01-01,0.083
Follo,2025-01-01,0.078
Follo,2026-01-01,0.083
Fredrikstad/Sarpsborg,2017-01-01,0.478
Fredrikstad/Sarpsborg,2018-01-01,0.45299999999999996
Fredrikstad/Sarpsborg,2019-01-01,0.428
Fredrikstad/Sarpsborg,2020-01-01,0.42700000000000005
Fredrikstad/Sarpsborg,2021-01-01,0.32799999999999996
Fredrikstad/Sarpsborg,2022-01-01,0.313
Fredrikstad/Sarpsborg,2023-01-01,0.41700000000000004
Fredrikstad/Sarpsborg,2024-01-01,0.431
Fredrikstad/Sarpsborg,2025-01-01,0.47200000000000003
Fredrikstad/Sarpsborg,2026-01-01,0.483
Hamar m/Stange,2017-01-01,0.44799999999999995
Hamar m/Stange,2018-01-01,0.43799999999999994
Hamar m/Stange,2019-01-01,0.436
Hamar m/Stange,2020-01-01,0.43200000000000005
Hamar m/Stange,2021-01-01,0.38299999999999995
Hamar m/Stange,2022-01-01,0.38
Hamar m/Stange,2023-01-01,0.47
Hamar m/Stange,2024-01-01,0.474
Hamar m/Stange,2025-01-01,0.5
Hamar m/Stange,2026-01-01,0.45799999999999996
Kristiansand m/omegn,2017-01-01,0.526
Kristiansand m/omegn,2018-01-01,0.526
Kristiansand m/omegn,2019-01-01,0.562
Kristiansand m/omegn,2020-01-01,0.547
Kristiansand m/omegn,2021-01-01,0.479
Kristiansand m/omegn,2022-01-01,0.467
Kristiansand m/omegn,2023-01-01,0.47200000000000003
Kristiansand m/omegn,2024-01-01,0.446
Kristiansand m/omegn,2025-01-01,0.45899999999999996
Kristiansand m/omegn,2026-01-01,0.41100000000000003
Norge,2017-01-01,0.306
Norge,2018-01-01,0.311
Norge,2019-01-01,0.326
Norge,2020-01-01,0.331
Norge,2021-01-01,0.284
Norge,2022-01-01,0.278
Norge,2023-01-01,0.315
Norge,2024-01-01,0.319
Norge,2025-01-01,0.322
Norge,2026-01-01,0.293
Oslo,2017-01-01,0.031
Oslo,2018-01-01,0.037000000000000005
Oslo,2019-01-01,0.037000000000000005
Oslo,2020-01-01,0.036000000000000004
Oslo,2021-01-01,0.018000000000000002
Oslo,2022-01-01,0.017
Oslo,2023-01-01,0.023
Oslo,2024-01-01,0.024
Oslo,2025-01-01,0.032
Oslo,2026-01-01,0.033
Porsgrunn/Skien,2017-01-01,0.6679999999999999
Porsgrunn/Skien,2018-01-01,0.6579999999999999
Porsgrunn/Skien,2019-01-01,0.6609999999999999
Porsgrunn/Skien,2020-01-01,0.643
Porsgrunn/Skien,2021-01-01,0.583
Porsgrunn/Skien,2022-01-01,0.545
Porsgrunn/Skien,2023-01-01,0.627
Porsgrunn/Skien,2024-01-01,0.636
Porsgrunn/Skien,2025-01-01,0.647
Porsgrunn/Skien,2026-01-01,0.622
Romerike,2017-01-01,0.132
Romerike,2018-01-01,0.16
Romerike,2019-01-01,0.187
Romerike,2020-01-01,0.17800000000000002
Romerike,2021-01-01,0.126
Romerike,2022-01-01,0.132
Romerike,2023-01-01,0.18100000000000002
Romerike,2024-01-01,0.215
Romerike,2025-01-01,0.231
Romerike,2026-01-01,0.23600000000000002
Stavanger m/omegn,2017-01-01,0.23600000000000002
Stavanger m/omegn,2018-01-01,0.265
Stavanger m/omegn,2019-01-01,0.312
Stavanger m/omegn,2020-01-01,0.342
Stavanger m/omegn,2021-01-01,0.29600000000000004
Stavanger m/omegn,2022-01-01,0.29600000000000004
Stavanger m/omegn,2023-01-01,0.27399999999999997
Stavanger m/omegn,2024-01-01,0.243
Stavanger m/omegn,2025-01-01,0.17
Stavanger m/omegn,2026-01-01,0.098
Tromsø,2017-01-01,0.157
Tromsø,2018-01-01,0.175
Tromsø,2019-01-01,0.16899999999999998
Tromsø,2020-01-01,0.185
Tromsø,2021-01-01,0.14
Tromsø,2022-01-01,0.16
Tromsø,2023-01-01,0.203
Tromsø,2024-01-01,0.225
Tromsø,2025-01-01,0.18899999999999997
Tromsø,2026-01-01,0.098
Trondheim,2017-01-01,0.225
Trondheim,2018-01-01,0.249
Trondheim,2019-01-01,0.298
Trondheim,2020-01-01,0.317
Trondheim,2021-01-01,0.244
Trondheim,2022-01-01,0.24100000000000002
Trondheim,2023-01-01,0.305
Trondheim,2024-01-01,0.322
Trondheim,2025-01-01,0.373
Trondheim,2026-01-01,0.376
Tønsberg m/Færder,2017-01-01,0.36700000000000005
Tønsberg m/Færder,2018-01-01,0.35600000000000004
Tønsberg m/Færder,2019-01-01,0.363
Tønsberg m/Færder,2020-01-01,0.34700000000000003
Tønsberg m/Færder,2021-01-01,0.28
Tønsberg m/Færder,2022-01-01,0.251
Tønsberg m/Færder,2023-01-01,0.284
Tønsberg m/Færder,2024-01-01,0.311
Tønsberg m/Færder,2025-01-01,0.33399999999999996
Tønsberg m/Færder,2026-01-01,0.307
Ålesund m/omegn,2017-01-01,0.478
Ålesund m/omegn,2018-01-01,0.5
Ålesund m/omegn,2019-01-01,0.546
Ålesund m/omegn,2020-01-01,0.505
Ålesund m/omegn,2021-01-01,0.49
Ålesund m/omegn,2022-01-01,0.44799999999999995
Ålesund m/omegn,2023-01-01,0.473
Ålesund m/omegn,2024-01-01,0.503
Ålesund m/omegn,2025-01-01,0.49700000000000005
Ålesund m/omegn,2026-01-01,0.456
