region,alder,statistikkvariabel,år,bygningstype,value
Porsgrunn,Alder i alt,Antall personer,2024,Boliger i alt,36621.0
Porsgrunn,Alder i alt,Antall personer,2024,Enebolig,22082.0
Porsgrunn,Alder i alt,Antall personer,2024,Tomannsbolig,2834.0
Porsgrunn,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",5234.0
Porsgrunn,Alder i alt,Antall personer,2024,Boligblokk,5108.0
Porsgrunn,Alder i alt,Antall personer,2024,Annen boligbygning,1363.0
Porsgrunn,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Porsgrunn,Alder i alt,Personer (prosent),2024,Enebolig,60.3
Porsgrunn,Alder i alt,Personer (prosent),2024,Tomannsbolig,7.7
Porsgrunn,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",14.3
Porsgrunn,Alder i alt,Personer (prosent),2024,Boligblokk,13.9
Porsgrunn,Alder i alt,Personer (prosent),2024,Annen boligbygning,3.7
Porsgrunn,0-19 år,Antall personer,2024,Boliger i alt,7844.0
Porsgrunn,0-19 år,Antall personer,2024,Enebolig,5608.0
Porsgrunn,0-19 år,Antall personer,2024,Tomannsbolig,616.0
Porsgrunn,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",1032.0
Porsgrunn,0-19 år,Antall personer,2024,Boligblokk,475.0
Porsgrunn,0-19 år,Antall personer,2024,Annen boligbygning,113.0
Porsgrunn,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Porsgrunn,0-19 år,Personer (prosent),2024,Enebolig,71.5
Porsgrunn,0-19 år,Personer (prosent),2024,Tomannsbolig,7.9
Porsgrunn,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",13.2
Porsgrunn,0-19 år,Personer (prosent),2024,Boligblokk,6.1
Porsgrunn,0-19 år,Personer (prosent),2024,Annen boligbygning,1.4
Porsgrunn,20-29 år,Antall personer,2024,Boliger i alt,4075.0
Porsgrunn,20-29 år,Antall personer,2024,Enebolig,1933.0
Porsgrunn,20-29 år,Antall personer,2024,Tomannsbolig,332.0
Porsgrunn,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",714.0
Porsgrunn,20-29 år,Antall personer,2024,Boligblokk,651.0
Porsgrunn,20-29 år,Antall personer,2024,Annen boligbygning,445.0
Porsgrunn,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Porsgrunn,20-29 år,Personer (prosent),2024,Enebolig,47.4
Porsgrunn,20-29 år,Personer (prosent),2024,Tomannsbolig,8.1
Porsgrunn,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",17.5
Porsgrunn,20-29 år,Personer (prosent),2024,Boligblokk,16.0
Porsgrunn,20-29 år,Personer (prosent),2024,Annen boligbygning,10.9
Porsgrunn,30-39 år,Antall personer,2024,Boliger i alt,4591.0
Porsgrunn,30-39 år,Antall personer,2024,Enebolig,2703.0
Porsgrunn,30-39 år,Antall personer,2024,Tomannsbolig,428.0
