region,statistikkvariabel,år,bygningstype,value
Porsgrunn,Boliger (bebodde og ubebodde),2006,Enebolig,8759
Porsgrunn,Boliger (bebodde og ubebodde),2006,Tomannsbolig,1023
Porsgrunn,Boliger (bebodde og ubebodde),2006,"Rekkehus, kjedehus og andre småhus",2322
Porsgrunn,Boliger (bebodde og ubebodde),2006,Boligblokk,2469
Porsgrunn,Boliger (bebodde og ubebodde),2006,Bygning for bofellesskap,550
Porsgrunn,Boliger (bebodde og ubebodde),2006,Andre bygningstyper,378
Porsgrunn,Boliger (bebodde og ubebodde),2007,Enebolig,8784
Porsgrunn,Boliger (bebodde og ubebodde),2007,Tomannsbolig,1059
Porsgrunn,Boliger (bebodde og ubebodde),2007,"Rekkehus, kjedehus og andre småhus",2407
Porsgrunn,Boliger (bebodde og ubebodde),2007,Boligblokk,2583
Porsgrunn,Boliger (bebodde og ubebodde),2007,Bygning for bofellesskap,553
Porsgrunn,Boliger (bebodde og ubebodde),2007,Andre bygningstyper,377
Porsgrunn,Boliger (bebodde og ubebodde),2008,Enebolig,8810
Porsgrunn,Boliger (bebodde og ubebodde),2008,Tomannsbolig,1079
Porsgrunn,Boliger (bebodde og ubebodde),2008,"Rekkehus, kjedehus og andre småhus",2462
Porsgrunn,Boliger (bebodde og ubebodde),2008,Boligblokk,2669
Porsgrunn,Boliger (bebodde og ubebodde),2008,Bygning for bofellesskap,553
Porsgrunn,Boliger (bebodde og ubebodde),2008,Andre bygningstyper,377
Porsgrunn,Boliger (bebodde og ubebodde),2009,Enebolig,8916
Porsgrunn,Boliger (bebodde og ubebodde),2009,Tomannsbolig,1126
Porsgrunn,Boliger (bebodde og ubebodde),2009,"Rekkehus, kjedehus og andre småhus",2515
Porsgrunn,Boliger (bebodde og ubebodde),2009,Boligblokk,2762
Porsgrunn,Boliger (bebodde og ubebodde),2009,Bygning for bofellesskap,553
Porsgrunn,Boliger (bebodde og ubebodde),2009,Andre bygningstyper,375
Porsgrunn,Boliger (bebodde og ubebodde),2010,Enebolig,9028
Porsgrunn,Boliger (bebodde og ubebodde),2010,Tomannsbolig,1149
Porsgrunn,Boliger (bebodde og ubebodde),2010,"Rekkehus, kjedehus og andre småhus",2519
Porsgrunn,Boliger (bebodde og ubebodde),2010,Boligblokk,2799
Porsgrunn,Boliger (bebodde og ubebodde),2010,Bygning for bofellesskap,553
Porsgrunn,Boliger (bebodde og ubebodde),2010,Andre bygningstyper,381
Porsgrunn,Boliger (bebodde og ubebodde),2011,Enebolig,9087
Porsgrunn,Boliger (bebodde og ubebodde),2011,Tomannsbolig,1190
Porsgrunn,Boliger (bebodde og ubebodde),2011,"Rekkehus, kjedehus og andre småhus",2530
Porsgrunn,Boliger (bebodde og ubebodde),2011,Boligblokk,2823
Porsgrunn,Boliger (bebodde og ubebodde),2011,Bygning for bofellesskap,587
Porsgrunn,Boliger (bebodde og ubebodde),2011,Andre bygningstyper,426
Porsgrunn,Boliger (bebodde og ubebodde),2012,Enebolig,8907
Porsgrunn,Boliger (bebodde og ubebodde),2012,Tomannsbolig,1197
Porsgrunn,Boliger (bebodde og ubebodde),2012,"Rekkehus, kjedehus og andre småhus",2676
Porsgrunn,Boliger (bebodde og ubebodde),2012,Boligblokk,2866
Porsgrunn,Boliger (bebodde og ubebodde),2012,Bygning for bofellesskap,598
Porsgrunn,Boliger (bebodde og ubebodde),2012,Andre bygningstyper,476
Porsgrunn,Boliger (bebodde og ubebodde),2013,Enebolig,8947
Porsgrunn,Boliger (bebodde og ubebodde),2013,Tomannsbolig,1199
Porsgrunn,Boliger (bebodde og ubebodde),2013,"Rekkehus, kjedehus og andre småhus",2555
Porsgrunn,Boliger (bebodde og ubebodde),2013,Boligblokk,2902
Porsgrunn,Boliger (bebodde og ubebodde),2013,Bygning for bofellesskap,598
Porsgrunn,Boliger (bebodde og ubebodde),2013,Andre bygningstyper,477
Porsgrunn,Boliger (bebodde og ubebodde),2014,Enebolig,8963
Porsgrunn,Boliger (bebodde og ubebodde),2014,Tomannsbolig,1226
Porsgrunn,Boliger (bebodde og ubebodde),2014,"Rekkehus, kjedehus og andre småhus",2574
Porsgrunn,Boliger (bebodde og ubebodde),2014,Boligblokk,2996
