Kommunenummer,Kommune,År,Husholdningstype,Antall
4012,Bamble,01.01.2014,Aleneboende,1917
4012,Bamble,01.01.2014,Aleneforsørger med små barn,85
4012,Bamble,01.01.2014,Aleneforsørger med store barn,239
4012,Bamble,01.01.2014,Andre husholdninger,0
4012,Bamble,01.01.2014,Flerfamiliehusholdninger,272
4012,Bamble,01.01.2014,Par eller aleneforsørger med voksne barn,523
4012,Bamble,01.01.2014,Par med små barn,521
4012,Bamble,01.01.2014,Par med store barn,720
4012,Bamble,01.01.2014,Par uten hjemmeboende barn,1771
4012,Bamble,01.01.2015,Aleneboende,1917
4012,Bamble,01.01.2015,Aleneforsørger med små barn,74
4012,Bamble,01.01.2015,Aleneforsørger med store barn,229
4012,Bamble,01.01.2015,Andre husholdninger,0
4012,Bamble,01.01.2015,Flerfamiliehusholdninger,282
4012,Bamble,01.01.2015,Par eller aleneforsørger med voksne barn,522
4012,Bamble,01.01.2015,Par med små barn,522
4012,Bamble,01.01.2015,Par med store barn,711
4012,Bamble,01.01.2015,Par uten hjemmeboende barn,1805
4012,Bamble,01.01.2016,Aleneboende,1958
4012,Bamble,01.01.2016,Aleneforsørger med små barn,71
4012,Bamble,01.01.2016,Aleneforsørger med store barn,225
4012,Bamble,01.01.2016,Andre husholdninger,0
4012,Bamble,01.01.2016,Flerfamiliehusholdninger,275
4012,Bamble,01.01.2016,Par eller aleneforsørger med voksne barn,538
4012,Bamble,01.01.2016,Par med små barn,501
4012,Bamble,01.01.2016,Par med store barn,707
4012,Bamble,01.01.2016,Par uten hjemmeboende barn,1802
4012,Bamble,01.01.2017,Aleneboende,2012
4012,Bamble,01.01.2017,Aleneforsørger med små barn,74
4012,Bamble,01.01.2017,Aleneforsørger med store barn,228
4012,Bamble,01.01.2017,Andre husholdninger,0
4012,Bamble,01.01.2017,Flerfamiliehusholdninger,265
4012,Bamble,01.01.2017,Par eller aleneforsørger med voksne barn,544
4012,Bamble,01.01.2017,Par med små barn,498
4012,Bamble,01.01.2017,Par med store barn,705
4012,Bamble,01.01.2017,Par uten hjemmeboende barn,1816
4012,Bamble,01.01.2018,Aleneboende,2033
4012,Bamble,01.01.2018,Aleneforsørger med små barn,68
4012,Bamble,01.01.2018,Aleneforsørger med store barn,230
4012,Bamble,01.01.2018,Andre husholdninger,0
4012,Bamble,01.01.2018,Flerfamiliehusholdninger,275
4012,Bamble,01.01.2018,Par eller aleneforsørger med voksne barn,549
4012,Bamble,01.01.2018,Par med små barn,516
4012,Bamble,01.01.2018,Par med store barn,704
4012,Bamble,01.01.2018,Par uten hjemmeboende barn,1791
4012,Bamble,01.01.2019,Aleneboende,2038
4012,Bamble,01.01.2019,Aleneforsørger med små barn,64
4012,Bamble,01.01.2019,Aleneforsørger med store barn,213
4012,Bamble,01.01.2019,Andre husholdninger,0
4012,Bamble,01.01.2019,Flerfamiliehusholdninger,272
