Kommune,Årstall,Bygningstype,Antall
Porsgrunn,01.01.2000,Enebolig,29
Porsgrunn,01.01.2000,"Enebolig med hybelleilighet, sokkelleilighet o.l.",9
Porsgrunn,01.01.2000,Våningshus,1
Porsgrunn,01.01.2000,"Del av tomannsbolig, vertikaldelt",2
Porsgrunn,01.01.2000,"Tomannsbolig, horisontaldelt",0
Porsgrunn,01.01.2000,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2000,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2000,Rekkehus,8
Porsgrunn,01.01.2000,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2000,Terrassehus,0
Porsgrunn,01.01.2000,Andre småhus med 3 boliger eller flere,16
Porsgrunn,01.01.2000,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2000,Store frittliggende boligbygg på 3 og 4 etasjer,12
Porsgrunn,01.01.2000,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2000,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2000,Bo- og servicesenter,0
Porsgrunn,01.01.2000,Studenthjem/studentboliger,0
Porsgrunn,01.01.2000,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2000,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2001,Enebolig,34
Porsgrunn,01.01.2001,"Enebolig med hybelleilighet, sokkelleilighet o.l.",18
Porsgrunn,01.01.2001,Våningshus,0
Porsgrunn,01.01.2001,"Del av tomannsbolig, vertikaldelt",24
Porsgrunn,01.01.2001,"Tomannsbolig, horisontaldelt",1
Porsgrunn,01.01.2001,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2001,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2001,Rekkehus,28
Porsgrunn,01.01.2001,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2001,Terrassehus,0
