municipality_code,municipality_name,year,age_interval,housing_demand
4001,Porsgrunn,2026,INTERVAL_0_14,0
4001,Porsgrunn,2026,INTERVAL_15_19,70
4001,Porsgrunn,2026,INTERVAL_20_24,696
4001,Porsgrunn,2026,INTERVAL_25_29,1085
4001,Porsgrunn,2026,INTERVAL_30_39,2686
4001,Porsgrunn,2026,INTERVAL_40_49,2793
4001,Porsgrunn,2026,INTERVAL_50_59,3385
4001,Porsgrunn,2026,INTERVAL_60_69,3052
4001,Porsgrunn,2026,INTERVAL_70_79,2620
4001,Porsgrunn,2026,INTERVAL_80_INF,1786
4001,Porsgrunn,2027,INTERVAL_0_14,0
4001,Porsgrunn,2027,INTERVAL_15_19,70
4001,Porsgrunn,2027,INTERVAL_20_24,692
4001,Porsgrunn,2027,INTERVAL_25_29,1058
4001,Porsgrunn,2027,INTERVAL_30_39,2727
4001,Porsgrunn,2027,INTERVAL_40_49,2795
4001,Porsgrunn,2027,INTERVAL_50_59,3361
4001,Porsgrunn,2027,INTERVAL_60_69,3085
4001,Porsgrunn,2027,INTERVAL_70_79,2650
4001,Porsgrunn,2027,INTERVAL_80_INF,1879
4001,Porsgrunn,2028,INTERVAL_0_14,0
4001,Porsgrunn,2028,INTERVAL_15_19,70
4001,Porsgrunn,2028,INTERVAL_20_24,701
4001,Porsgrunn,2028,INTERVAL_25_29,1027
4001,Porsgrunn,2028,INTERVAL_30_39,2752
4001,Porsgrunn,2028,INTERVAL_40_49,2811
4001,Porsgrunn,2028,INTERVAL_50_59,3314
4001,Porsgrunn,2028,INTERVAL_60_69,3131
4001,Porsgrunn,2028,INTERVAL_70_79,2664
4001,Porsgrunn,2028,INTERVAL_80_INF,1979
4001,Porsgrunn,2029,INTERVAL_0_14,0
4001,Porsgrunn,2029,INTERVAL_15_19,70
4001,Porsgrunn,2029,INTERVAL_20_24,710
4001,Porsgrunn,2029,INTERVAL_25_29,1011
4001,Porsgrunn,2029,INTERVAL_30_39,2740
4001,Porsgrunn,2029,INTERVAL_40_49,2846
4001,Porsgrunn,2029,INTERVAL_50_59,3280
4001,Porsgrunn,2029,INTERVAL_60_69,3179
4001,Porsgrunn,2029,INTERVAL_70_79,2687
4001,Porsgrunn,2029,INTERVAL_80_INF,2060
4001,Porsgrunn,2030,INTERVAL_0_14,0
4001,Porsgrunn,2030,INTERVAL_15_19,70
4001,Porsgrunn,2030,INTERVAL_20_24,717
4001,Porsgrunn,2030,INTERVAL_25_29,1004
4001,Porsgrunn,2030,INTERVAL_30_39,2712
4001,Porsgrunn,2030,INTERVAL_40_49,2895
4001,Porsgrunn,2030,INTERVAL_50_59,3222
4001,Porsgrunn,2030,INTERVAL_60_69,3251
4001,Porsgrunn,2030,INTERVAL_70_79,2717
4001,Porsgrunn,2030,INTERVAL_80_INF,2123
4001,Porsgrunn,2031,INTERVAL_0_14,0
4001,Porsgrunn,2031,INTERVAL_15_19,68
4001,Porsgrunn,2031,INTERVAL_20_24,734
4001,Porsgrunn,2031,INTERVAL_25_29,995
4001,Porsgrunn,2031,INTERVAL_30_39,2688
4001,Porsgrunn,2031,INTERVAL_40_49,2957
4001,Porsgrunn,2031,INTERVAL_50_59,3169
4001,Porsgrunn,2031,INTERVAL_60_69,3294
4001,Porsgrunn,2031,INTERVAL_70_79,2747
4001,Porsgrunn,2031,INTERVAL_80_INF,2197
4001,Porsgrunn,2032,INTERVAL_0_14,0
4001,Porsgrunn,2032,INTERVAL_15_19,68
4001,Porsgrunn,2032,INTERVAL_20_24,734
4001,Porsgrunn,2032,INTERVAL_25_29,994
4001,Porsgrunn,2032,INTERVAL_30_39,2666
4001,Porsgrunn,2032,INTERVAL_40_49,2982
4001,Porsgrunn,2032,INTERVAL_50_59,3138
4001,Porsgrunn,2032,INTERVAL_60_69,3359
4001,Porsgrunn,2032,INTERVAL_70_79,2757
4001,Porsgrunn,2032,INTERVAL_80_INF,2269
4001,Porsgrunn,2033,INTERVAL_0_14,0
4001,Porsgrunn,2033,INTERVAL_15_19,67
4001,Porsgrunn,2033,INTERVAL_20_24,737
4001,Porsgrunn,2033,INTERVAL_25_29,1003
4001,Porsgrunn,2033,INTERVAL_30_39,2621
4001,Porsgrunn,2033,INTERVAL_40_49,3021
4001,Porsgrunn,2033,INTERVAL_50_59,3107
4001,Porsgrunn,2033,INTERVAL_60_69,3423
4001,Porsgrunn,2033,INTERVAL_70_79,2770
4001,Porsgrunn,2033,INTERVAL_80_INF,2329
4001,Porsgrunn,2034,INTERVAL_0_14,0
4001,Porsgrunn,2034,INTERVAL_15_19,66
4001,Porsgrunn,2034,INTERVAL_20_24,730
4001,Porsgrunn,2034,INTERVAL_25_29,1014
4001,Porsgrunn,2034,INTERVAL_30_39,2613
4001,Porsgrunn,2034,INTERVAL_40_49,3045
4001,Porsgrunn,2034,INTERVAL_50_59,3079
4001,Porsgrunn,2034,INTERVAL_60_69,3432
4001,Porsgrunn,2034,INTERVAL_70_79,2793
4001,Porsgrunn,2034,INTERVAL_80_INF,2411
4001,Porsgrunn,2035,INTERVAL_0_14,0
4001,Porsgrunn,2035,INTERVAL_15_19,66
4001,Porsgrunn,2035,INTERVAL_20_24,724
4001,Porsgrunn,2035,INTERVAL_25_29,1023
4001,Porsgrunn,2035,INTERVAL_30_39,2577
4001,Porsgrunn,2035,INTERVAL_40_49,3095
4001,Porsgrunn,2035,INTERVAL_50_59,3049
4001,Porsgrunn,2035,INTERVAL_60_69,3438
4001,Porsgrunn,2035,INTERVAL_70_79,2842
4001,Porsgrunn,2035,INTERVAL_80_INF,2483
4001,Porsgrunn,2036,INTERVAL_0_14,0
4001,Porsgrunn,2036,INTERVAL_15_19,64
4001,Porsgrunn,2036,INTERVAL_20_24,711
4001,Porsgrunn,2036,INTERVAL_25_29,1035
4001,Porsgrunn,2036,INTERVAL_30_39,2562
4001,Porsgrunn,2036,INTERVAL_40_49,3122
4001,Porsgrunn,2036,INTERVAL_50_59,3046
4001,Porsgrunn,2036,INTERVAL_60_69,3420
4001,Porsgrunn,2036,INTERVAL_70_79,2889
4001,Porsgrunn,2036,INTERVAL_80_INF,2545
4001,Porsgrunn,2037,INTERVAL_0_14,0
4001,Porsgrunn,2037,INTERVAL_15_19,63
4001,Porsgrunn,2037,INTERVAL_20_24,711
4001,Porsgrunn,2037,INTERVAL_25_29,1034
4001,Porsgrunn,2037,INTERVAL_30_39,2536
4001,Porsgrunn,2037,INTERVAL_40_49,3150
4001,Porsgrunn,2037,INTERVAL_50_59,3053
4001,Porsgrunn,2037,INTERVAL_60_69,3398
