Kommunenummer,Kommune,År,Aldersgruppe,Indeks
4001,Porsgrunn,2026-01-01,0-69,100.0
4001,Porsgrunn,2026-01-01,70+,100.0
4001,Porsgrunn,2027-01-01,0-69,100.2
4001,Porsgrunn,2027-01-01,70+,102.8
4001,Porsgrunn,2028-01-01,0-69,100.3
4001,Porsgrunn,2028-01-01,70+,105.4
4001,Porsgrunn,2029-01-01,0-69,100.5
4001,Porsgrunn,2029-01-01,70+,107.7
4001,Porsgrunn,2030-01-01,0-69,100.8
4001,Porsgrunn,2030-01-01,70+,109.9
4001,Porsgrunn,2031-01-01,0-69,101.0
4001,Porsgrunn,2031-01-01,70+,112.2
4001,Porsgrunn,2032-01-01,0-69,101.3
4001,Porsgrunn,2032-01-01,70+,114.1
4001,Porsgrunn,2033-01-01,0-69,101.5
4001,Porsgrunn,2033-01-01,70+,115.7
4001,Porsgrunn,2034-01-01,0-69,101.5
4001,Porsgrunn,2034-01-01,70+,118.1
4001,Porsgrunn,2035-01-01,0-69,101.5
4001,Porsgrunn,2035-01-01,70+,120.9
4001,Porsgrunn,2036-01-01,0-69,101.4
4001,Porsgrunn,2036-01-01,70+,123.3
4001,Porsgrunn,2037-01-01,0-69,101.3
4001,Porsgrunn,2037-01-01,70+,125.9
4001,Porsgrunn,2038-01-01,0-69,101.1
4001,Porsgrunn,2038-01-01,70+,128.5
4001,Porsgrunn,2039-01-01,0-69,100.9
4001,Porsgrunn,2039-01-01,70+,130.9
4001,Porsgrunn,2040-01-01,0-69,100.6
4001,Porsgrunn,2040-01-01,70+,133.7
4001,Porsgrunn,2041-01-01,0-69,100.4
4001,Porsgrunn,2041-01-01,70+,136.1
4001,Porsgrunn,2042-01-01,0-69,100.1
4001,Porsgrunn,2042-01-01,70+,138.5
4001,Porsgrunn,2043-01-01,0-69,99.9
4001,Porsgrunn,2043-01-01,70+,140.7
4001,Porsgrunn,2044-01-01,0-69,99.7
4001,Porsgrunn,2044-01-01,70+,142.6
4001,Porsgrunn,2045-01-01,0-69,99.5
4001,Porsgrunn,2045-01-01,70+,144.6
4001,Porsgrunn,2046-01-01,0-69,99.5
4001,Porsgrunn,2046-01-01,70+,146.1
4001,Porsgrunn,2047-01-01,0-69,99.5
4001,Porsgrunn,2047-01-01,70+,147.5
4001,Porsgrunn,2048-01-01,0-69,99.5
4001,Porsgrunn,2048-01-01,70+,148.6
4001,Porsgrunn,2049-01-01,0-69,99.5
4001,Porsgrunn,2049-01-01,70+,149.8
4001,Porsgrunn,2050-01-01,0-69,99.6
4001,Porsgrunn,2050-01-01,70+,151.0
4003,Skien,2026-01-01,0-69,100.0
4003,Skien,2026-01-01,70+,100.0
4003,Skien,2027-01-01,0-69,100.2
4003,Skien,2027-01-01,70+,103.1
4003,Skien,2028-01-01,0-69,100.5
4003,Skien,2028-01-01,70+,105.6
4003,Skien,2029-01-01,0-69,100.6
4003,Skien,2029-01-01,70+,108.4
4003,Skien,2030-01-01,0-69,100.8
4003,Skien,2030-01-01,70+,110.6
4003,Skien,2031-01-01,0-69,101.2
4003,Skien,2031-01-01,70+,112.3
4003,Skien,2032-01-01,0-69,101.4
4003,Skien,2032-01-01,70+,114.1
4003,Skien,2033-01-01,0-69,101.5
4003,Skien,2033-01-01,70+,116.3
4003,Skien,2034-01-01,0-69,101.5
4003,Skien,2034-01-01,70+,118.7
4003,Skien,2035-01-01,0-69,101.6
4003,Skien,2035-01-01,70+,120.8
4003,Skien,2036-01-01,0-69,101.5
4003,Skien,2036-01-01,70+,123.3
4003,Skien,2037-01-01,0-69,101.4
4003,Skien,2037-01-01,70+,125.9
4003,Skien,2038-01-01,0-69,101.2
4003,Skien,2038-01-01,70+,128.3
4003,Skien,2039-01-01,0-69,101.1
4003,Skien,2039-01-01,70+,130.7
4003,Skien,2040-01-01,0-69,100.8
4003,Skien,2040-01-01,70+,133.1
4003,Skien,2041-01-01,0-69,100.6
4003,Skien,2041-01-01,70+,135.4
4003,Skien,2042-01-01,0-69,100.4
4003,Skien,2042-01-01,70+,137.5
4003,Skien,2043-01-01,0-69,100.1
4003,Skien,2043-01-01,70+,139.7
4003,Skien,2044-01-01,0-69,99.9
4003,Skien,2044-01-01,70+,141.7
4003,Skien,2045-01-01,0-69,99.7
4003,Skien,2045-01-01,70+,143.7
4003,Skien,2046-01-01,0-69,99.6
4003,Skien,2046-01-01,70+,145.1
4003,Skien,2047-01-01,0-69,99.6
4003,Skien,2047-01-01,70+,146.5
4003,Skien,2048-01-01,0-69,99.6
4003,Skien,2048-01-01,70+,147.5
4003,Skien,2049-01-01,0-69,99.7
4003,Skien,2049-01-01,70+,148.6
4003,Skien,2050-01-01,0-69,99.7
4003,Skien,2050-01-01,70+,149.5
4005,Notodden,2026-01-01,0-69,100.0
4005,Notodden,2026-01-01,70+,100.0
4005,Notodden,2027-01-01,0-69,99.5
4005,Notodden,2027-01-01,70+,104.0
4005,Notodden,2028-01-01,0-69,99.4
4005,Notodden,2028-01-01,70+,106.5
4005,Notodden,2029-01-01,0-69,99.5
4005,Notodden,2029-01-01,70+,108.0
4005,Notodden,2030-01-01,0-69,99.3
4005,Notodden,2030-01-01,70+,110.7
4005,Notodden,2031-01-01,0-69,99.1
4005,Notodden,2031-01-01,70+,112.8
4005,Notodden,2032-01-01,0-69,98.9
4005,Notodden,2032-01-01,70+,115.2
4005,Notodden,2033-01-01,0-69,98.8
4005,Notodden,2033-01-01,70+,116.5
4005,Notodden,2034-01-01,0-69,98.5
4005,Notodden,2034-01-01,70+,118.9
4005,Notodden,2035-01-01,0-69,98.1
4005,Notodden,2035-01-01,70+,121.5
4005,Notodden,2036-01-01,0-69,97.7
4005,Notodden,2036-01-01,70+,124.3
4005,Notodden,2037-01-01,0-69,97.6
4005,Notodden,2037-01-01,70+,126.2
4005,Notodden,2038-01-01,0-69,97.1
4005,Notodden,2038-01-01,70+,128.3
4005,Notodden,2039-01-01,0-69,97.0
4005,Notodden,2039-01-01,70+,129.5
4005,Notodden,2040-01-01,0-69,96.8
4005,Notodden,2040-01-01,70+,131.0
4005,Notodden,2041-01-01,0-69,96.6
4005,Notodden,2041-01-01,70+,132.1
4005,Notodden,2042-01-01,0-69,96.3
4005,Notodden,2042-01-01,70+,133.6
4005,Notodden,2043-01-01,0-69,95.9
4005,Notodden,2043-01-01,70+,134.7
4005,Notodden,2044-01-01,0-69,95.6
4005,Notodden,2044-01-01,70+,136.3
4005,Notodden,2045-01-01,0-69,95.3
4005,Notodden,2045-01-01,70+,137.7
4005,Notodden,2046-01-01,0-69,94.9
4005,Notodden,2046-01-01,70+,139.2
4005,Notodden,2047-01-01,0-69,94.7
4005,Notodden,2047-01-01,70+,140.1
4005,Notodden,2048-01-01,0-69,94.7
4005,Notodden,2048-01-01,70+,140.1
4005,Notodden,2049-01-01,0-69,94.4
4005,Notodden,2049-01-01,70+,141.2
4005,Notodden,2050-01-01,0-69,94.3
4005,Notodden,2050-01-01,70+,141.8
4010,Siljan,2026-01-01,0-69,100.0
4010,Siljan,2026-01-01,70+,100.0
4010,Siljan,2027-01-01,0-69,99.5
4010,Siljan,2027-01-01,70+,103.6
4010,Siljan,2028-01-01,0-69,99.5
4010,Siljan,2028-01-01,70+,106.5
4010,Siljan,2029-01-01,0-69,99.6
4010,Siljan,2029-01-01,70+,109.8
4010,Siljan,2030-01-01,0-69,100.0
4010,Siljan,2030-01-01,70+,111.1
4010,Siljan,2031-01-01,0-69,100.2
4010,Siljan,2031-01-01,70+,115.0
4010,Siljan,2032-01-01,0-69,100.9
4010,Siljan,2032-01-01,70+,115.7
4010,Siljan,2033-01-01,0-69,101.3
4010,Siljan,2033-01-01,70+,118.3
4010,Siljan,2034-01-01,0-69,102.2
4010,Siljan,2034-01-01,70+,119.3
4010,Siljan,2035-01-01,0-69,101.5
4010,Siljan,2035-01-01,70+,124.5
4010,Siljan,2036-01-01,0-69,102.6
4010,Siljan,2036-01-01,70+,125.2
4010,Siljan,2037-01-01,0-69,102.8
4010,Siljan,2037-01-01,70+,127.1
4010,Siljan,2038-01-01,0-69,102.8
4010,Siljan,2038-01-01,70+,129.4
4010,Siljan,2039-01-01,0-69,103.8
4010,Siljan,2039-01-01,70+,130.4
4010,Siljan,2040-01-01,0-69,103.2
4010,Siljan,2040-01-01,70+,133.7
4010,Siljan,2041-01-01,0-69,103.8
4010,Siljan,2041-01-01,70+,136.3
4010,Siljan,2042-01-01,0-69,104.4
4010,Siljan,2042-01-01,70+,136.3
4010,Siljan,2043-01-01,0-69,104.4
4010,Siljan,2043-01-01,70+,138.6
4010,Siljan,2044-01-01,0-69,104.0
4010,Siljan,2044-01-01,70+,141.5
4010,Siljan,2045-01-01,0-69,104.4
4010,Siljan,2045-01-01,70+,142.2
4010,Siljan,2046-01-01,0-69,104.6
4010,Siljan,2046-01-01,70+,142.5
4010,Siljan,2047-01-01,0-69,104.6
4010,Siljan,2047-01-01,70+,144.8
4010,Siljan,2048-01-01,0-69,104.6
4010,Siljan,2048-01-01,70+,146.1
4010,Siljan,2049-01-01,0-69,105.0
4010,Siljan,2049-01-01,70+,146.4
4010,Siljan,2050-01-01,0-69,105.3
4010,Siljan,2050-01-01,70+,147.1
4012,Bamble,2026-01-01,0-69,100.0
4012,Bamble,2026-01-01,70+,100.0
4012,Bamble,2027-01-01,0-69,99.9
4012,Bamble,2027-01-01,70+,103.0
4012,Bamble,2028-01-01,0-69,99.7
4012,Bamble,2028-01-01,70+,105.7
4012,Bamble,2029-01-01,0-69,99.4
4012,Bamble,2029-01-01,70+,108.2
4012,Bamble,2030-01-01,0-69,99.1
4012,Bamble,2030-01-01,70+,110.3
4012,Bamble,2031-01-01,0-69,98.8
4012,Bamble,2031-01-01,70+,112.5
4012,Bamble,2032-01-01,0-69,98.6
4012,Bamble,2032-01-01,70+,114.3
4012,Bamble,2033-01-01,0-69,98.2
4012,Bamble,2033-01-01,70+,116.5
4012,Bamble,2034-01-01,0-69,98.1
4012,Bamble,2034-01-01,70+,117.7
4012,Bamble,2035-01-01,0-69,97.5
4012,Bamble,2035-01-01,70+,120.1
4012,Bamble,2036-01-01,0-69,97.1
4012,Bamble,2036-01-01,70+,121.7
4012,Bamble,2037-01-01,0-69,96.5
4012,Bamble,2037-01-01,70+,124.0
4012,Bamble,2038-01-01,0-69,96.3
4012,Bamble,2038-01-01,70+,125.3
4012,Bamble,2039-01-01,0-69,95.6
4012,Bamble,2039-01-01,70+,127.5
4012,Bamble,2040-01-01,0-69,95.1
4012,Bamble,2040-01-01,70+,129.1
4012,Bamble,2041-01-01,0-69,94.7
4012,Bamble,2041-01-01,70+,130.6
4012,Bamble,2042-01-01,0-69,94.1
4012,Bamble,2042-01-01,70+,132.3
4012,Bamble,2043-01-01,0-69,93.5
4012,Bamble,2043-01-01,70+,134.1
4012,Bamble,2044-01-01,0-69,93.2
4012,Bamble,2044-01-01,70+,135.0
4012,Bamble,2045-01-01,0-69,93.0
4012,Bamble,2045-01-01,70+,135.6
4012,Bamble,2046-01-01,0-69,92.8
4012,Bamble,2046-01-01,70+,136.1
4012,Bamble,2047-01-01,0-69,92.6
4012,Bamble,2047-01-01,70+,136.8
4012,Bamble,2048-01-01,0-69,92.7
4012,Bamble,2048-01-01,70+,136.8
4012,Bamble,2049-01-01,0-69,92.8
4012,Bamble,2049-01-01,70+,136.3
4012,Bamble,2050-01-01,0-69,92.6
4012,Bamble,2050-01-01,70+,136.9
4014,Kragerø,2026-01-01,0-69,100.0
4014,Kragerø,2026-01-01,70+,100.0
4014,Kragerø,2027-01-01,0-69,99.5
4014,Kragerø,2027-01-01,70+,101.9
4014,Kragerø,2028-01-01,0-69,99.0
4014,Kragerø,2028-01-01,70+,104.1
4014,Kragerø,2029-01-01,0-69,98.6
4014,Kragerø,2029-01-01,70+,106.0
4014,Kragerø,2030-01-01,0-69,98.2
4014,Kragerø,2030-01-01,70+,108.1
4014,Kragerø,2031-01-01,0-69,98.0
4014,Kragerø,2031-01-01,70+,109.8
4014,Kragerø,2032-01-01,0-69,97.7
4014,Kragerø,2032-01-01,70+,111.2
4014,Kragerø,2033-01-01,0-69,97.2
4014,Kragerø,2033-01-01,70+,112.7
4014,Kragerø,2034-01-01,0-69,97.0
4014,Kragerø,2034-01-01,70+,113.9
4014,Kragerø,2035-01-01,0-69,96.8
4014,Kragerø,2035-01-01,70+,114.6
4014,Kragerø,2036-01-01,0-69,96.1
4014,Kragerø,2036-01-01,70+,116.7
4014,Kragerø,2037-01-01,0-69,95.7
4014,Kragerø,2037-01-01,70+,118.0
4014,Kragerø,2038-01-01,0-69,95.1
4014,Kragerø,2038-01-01,70+,119.2
4014,Kragerø,2039-01-01,0-69,94.3
4014,Kragerø,2039-01-01,70+,121.0
4014,Kragerø,2040-01-01,0-69,93.6
4014,Kragerø,2040-01-01,70+,122.7
4014,Kragerø,2041-01-01,0-69,93.0
4014,Kragerø,2041-01-01,70+,124.1
4014,Kragerø,2042-01-01,0-69,92.3
4014,Kragerø,2042-01-01,70+,125.7
4014,Kragerø,2043-01-01,0-69,91.5
4014,Kragerø,2043-01-01,70+,127.2
4014,Kragerø,2044-01-01,0-69,91.2
4014,Kragerø,2044-01-01,70+,127.7
4014,Kragerø,2045-01-01,0-69,90.8
4014,Kragerø,2045-01-01,70+,128.4
4014,Kragerø,2046-01-01,0-69,90.4
4014,Kragerø,2046-01-01,70+,129.2
4014,Kragerø,2047-01-01,0-69,90.2
4014,Kragerø,2047-01-01,70+,129.7
4014,Kragerø,2048-01-01,0-69,90.2
4014,Kragerø,2048-01-01,70+,129.5
4014,Kragerø,2049-01-01,0-69,90.1
4014,Kragerø,2049-01-01,70+,130.0
4014,Kragerø,2050-01-01,0-69,89.8
4014,Kragerø,2050-01-01,70+,130.4
4016,Drangedal,2026-01-01,0-69,100.0
4016,Drangedal,2026-01-01,70+,100.0
4016,Drangedal,2027-01-01,0-69,98.8
4016,Drangedal,2027-01-01,70+,102.6
4016,Drangedal,2028-01-01,0-69,97.9
4016,Drangedal,2028-01-01,70+,105.1
4016,Drangedal,2029-01-01,0-69,97.2
4016,Drangedal,2029-01-01,70+,108.1
4016,Drangedal,2030-01-01,0-69,97.0
4016,Drangedal,2030-01-01,70+,109.2
4016,Drangedal,2031-01-01,0-69,96.5
4016,Drangedal,2031-01-01,70+,111.5
4016,Drangedal,2032-01-01,0-69,96.1
4016,Drangedal,2032-01-01,70+,113.2
4016,Drangedal,2033-01-01,0-69,95.5
4016,Drangedal,2033-01-01,70+,115.6
4016,Drangedal,2034-01-01,0-69,95.1
4016,Drangedal,2034-01-01,70+,116.6
4016,Drangedal,2035-01-01,0-69,94.9
4016,Drangedal,2035-01-01,70+,117.3
4016,Drangedal,2036-01-01,0-69,94.3
4016,Drangedal,2036-01-01,70+,119.4
4016,Drangedal,2037-01-01,0-69,93.4
4016,Drangedal,2037-01-01,70+,121.7
4016,Drangedal,2038-01-01,0-69,92.9
4016,Drangedal,2038-01-01,70+,123.5
4016,Drangedal,2039-01-01,0-69,91.9
4016,Drangedal,2039-01-01,70+,125.8
4016,Drangedal,2040-01-01,0-69,91.6
4016,Drangedal,2040-01-01,70+,126.2
4016,Drangedal,2041-01-01,0-69,91.0
4016,Drangedal,2041-01-01,70+,127.5
4016,Drangedal,2042-01-01,0-69,90.1
4016,Drangedal,2042-01-01,70+,130.1
4016,Drangedal,2043-01-01,0-69,89.2
4016,Drangedal,2043-01-01,70+,132.6
4016,Drangedal,2044-01-01,0-69,88.7
4016,Drangedal,2044-01-01,70+,133.9
4016,Drangedal,2045-01-01,0-69,87.9
4016,Drangedal,2045-01-01,70+,135.0
4016,Drangedal,2046-01-01,0-69,87.4
4016,Drangedal,2046-01-01,70+,135.8
4016,Drangedal,2047-01-01,0-69,87.0
4016,Drangedal,2047-01-01,70+,137.3
4016,Drangedal,2048-01-01,0-69,86.8
4016,Drangedal,2048-01-01,70+,137.9
4016,Drangedal,2049-01-01,0-69,86.3
