municipality_code,municipality_name,year,household_size,housing_demand
4001,Porsgrunn,2026,SIZE_1,7157
4001,Porsgrunn,2026,SIZE_2,5959
4001,Porsgrunn,2026,SIZE_3,2160
4001,Porsgrunn,2026,SIZE_4,2005
4001,Porsgrunn,2026,SIZE_5,697
4001,Porsgrunn,2026,SIZE_6_INF,194
4001,Porsgrunn,2027,SIZE_1,7225
4001,Porsgrunn,2027,SIZE_2,6017
4001,Porsgrunn,2027,SIZE_3,2167
4001,Porsgrunn,2027,SIZE_4,2012
4001,Porsgrunn,2027,SIZE_5,700
4001,Porsgrunn,2027,SIZE_6_INF,195
4001,Porsgrunn,2028,SIZE_1,7295
4001,Porsgrunn,2028,SIZE_2,6068
4001,Porsgrunn,2028,SIZE_3,2170
4001,Porsgrunn,2028,SIZE_4,2017
4001,Porsgrunn,2028,SIZE_5,703
4001,Porsgrunn,2028,SIZE_6_INF,196
4001,Porsgrunn,2029,SIZE_1,7362
4001,Porsgrunn,2029,SIZE_2,6123
4001,Porsgrunn,2029,SIZE_3,2173
4001,Porsgrunn,2029,SIZE_4,2021
4001,Porsgrunn,2029,SIZE_5,705
4001,Porsgrunn,2029,SIZE_6_INF,197
4001,Porsgrunn,2030,SIZE_1,7425
4001,Porsgrunn,2030,SIZE_2,6180
4001,Porsgrunn,2030,SIZE_3,2174
4001,Porsgrunn,2030,SIZE_4,2024
4001,Porsgrunn,2030,SIZE_5,708
4001,Porsgrunn,2030,SIZE_6_INF,198
4001,Porsgrunn,2031,SIZE_1,7496
4001,Porsgrunn,2031,SIZE_2,6233
4001,Porsgrunn,2031,SIZE_3,2177
4001,Porsgrunn,2031,SIZE_4,2030
4001,Porsgrunn,2031,SIZE_5,712
4001,Porsgrunn,2031,SIZE_6_INF,200
4001,Porsgrunn,2032,SIZE_1,7557
4001,Porsgrunn,2032,SIZE_2,6286
4001,Porsgrunn,2032,SIZE_3,2180
4001,Porsgrunn,2032,SIZE_4,2030
4001,Porsgrunn,2032,SIZE_5,713
4001,Porsgrunn,2032,SIZE_6_INF,200
4001,Porsgrunn,2033,SIZE_1,7613
4001,Porsgrunn,2033,SIZE_2,6336
4001,Porsgrunn,2033,SIZE_3,2182
4001,Porsgrunn,2033,SIZE_4,2030
4001,Porsgrunn,2033,SIZE_5,715
4001,Porsgrunn,2033,SIZE_6_INF,201
4001,Porsgrunn,2034,SIZE_1,7669
4001,Porsgrunn,2034,SIZE_2,6379
4001,Porsgrunn,2034,SIZE_3,2184
4001,Porsgrunn,2034,SIZE_4,2033
4001,Porsgrunn,2034,SIZE_5,717
4001,Porsgrunn,2034,SIZE_6_INF,202
4001,Porsgrunn,2035,SIZE_1,7724
4001,Porsgrunn,2035,SIZE_2,6427
4001,Porsgrunn,2035,SIZE_3,2186
4001,Porsgrunn,2035,SIZE_4,2036
4001,Porsgrunn,2035,SIZE_5,719
4001,Porsgrunn,2035,SIZE_6_INF,203
4001,Porsgrunn,2036,SIZE_1,7770
4001,Porsgrunn,2036,SIZE_2,6467
4001,Porsgrunn,2036,SIZE_3,2190
4001,Porsgrunn,2036,SIZE_4,2041
4001,Porsgrunn,2036,SIZE_5,722
4001,Porsgrunn,2036,SIZE_6_INF,203
4001,Porsgrunn,2037,SIZE_1,7822
4001,Porsgrunn,2037,SIZE_2,6507
4001,Porsgrunn,2037,SIZE_3,2193
4001,Porsgrunn,2037,SIZE_4,2044
4001,Porsgrunn,2037,SIZE_5,724
4001,Porsgrunn,2037,SIZE_6_INF,204
4001,Porsgrunn,2038,SIZE_1,7862
4001,Porsgrunn,2038,SIZE_2,6540
4001,Porsgrunn,2038,SIZE_3,2198
4001,Porsgrunn,2038,SIZE_4,2048
4001,Porsgrunn,2038,SIZE_5,726
4001,Porsgrunn,2038,SIZE_6_INF,205
4001,Porsgrunn,2039,SIZE_1,7903
4001,Porsgrunn,2039,SIZE_2,6579
4001,Porsgrunn,2039,SIZE_3,2203
4001,Porsgrunn,2039,SIZE_4,2049
4001,Porsgrunn,2039,SIZE_5,726
4001,Porsgrunn,2039,SIZE_6_INF,205
4001,Porsgrunn,2040,SIZE_1,7942
4001,Porsgrunn,2040,SIZE_2,6618
4001,Porsgrunn,2040,SIZE_3,2207
4001,Porsgrunn,2040,SIZE_4,2049
4001,Porsgrunn,2040,SIZE_5,725
4001,Porsgrunn,2040,SIZE_6_INF,205
4001,Porsgrunn,2041,SIZE_1,7974
4001,Porsgrunn,2041,SIZE_2,6650
4001,Porsgrunn,2041,SIZE_3,2213
4001,Porsgrunn,2041,SIZE_4,2050
4001,Porsgrunn,2041,SIZE_5,725
4001,Porsgrunn,2041,SIZE_6_INF,205
4001,Porsgrunn,2042,SIZE_1,8010
4001,Porsgrunn,2042,SIZE_2,6688
4001,Porsgrunn,2042,SIZE_3,2215
4001,Porsgrunn,2042,SIZE_4,2047
4001,Porsgrunn,2042,SIZE_5,724
4001,Porsgrunn,2042,SIZE_6_INF,205
4001,Porsgrunn,2043,SIZE_1,8041
4001,Porsgrunn,2043,SIZE_2,6724
4001,Porsgrunn,2043,SIZE_3,2218
4001,Porsgrunn,2043,SIZE_4,2043
4001,Porsgrunn,2043,SIZE_5,722
4001,Porsgrunn,2043,SIZE_6_INF,205
4001,Porsgrunn,2044,SIZE_1,8074
4001,Porsgrunn,2044,SIZE_2,6750
4001,Porsgrunn,2044,SIZE_3,2221
4001,Porsgrunn,2044,SIZE_4,2042
4001,Porsgrunn,2044,SIZE_5,721
4001,Porsgrunn,2044,SIZE_6_INF,205
4001,Porsgrunn,2045,SIZE_1,8113
4001,Porsgrunn,2045,SIZE_2,6775
4001,Porsgrunn,2045,SIZE_3,2223
4001,Porsgrunn,2045,SIZE_4,2039
4001,Porsgrunn,2045,SIZE_5,720
4001,Porsgrunn,2045,SIZE_6_INF,204
4001,Porsgrunn,2046,SIZE_1,8150
4001,Porsgrunn,2046,SIZE_2,6798
4001,Porsgrunn,2046,SIZE_3,2225
4001,Porsgrunn,2046,SIZE_4,2036
4001,Porsgrunn,2046,SIZE_5,718
4001,Porsgrunn,2046,SIZE_6_INF,204
4001,Porsgrunn,2047,SIZE_1,8189
4001,Porsgrunn,2047,SIZE_2,6826
4001,Porsgrunn,2047,SIZE_3,2227
4001,Porsgrunn,2047,SIZE_4,2032
4001,Porsgrunn,2047,SIZE_5,717
4001,Porsgrunn,2047,SIZE_6_INF,204
4001,Porsgrunn,2048,SIZE_1,8228
4001,Porsgrunn,2048,SIZE_2,6847
4001,Porsgrunn,2048,SIZE_3,2228
4001,Porsgrunn,2048,SIZE_4,2027
4001,Porsgrunn,2048,SIZE_5,715
4001,Porsgrunn,2048,SIZE_6_INF,203
4001,Porsgrunn,2049,SIZE_1,8266
4001,Porsgrunn,2049,SIZE_2,6872
4001,Porsgrunn,2049,SIZE_3,2225
4001,Porsgrunn,2049,SIZE_4,2021
4001,Porsgrunn,2049,SIZE_5,713
4001,Porsgrunn,2049,SIZE_6_INF,203
4001,Porsgrunn,2050,SIZE_1,8311
4001,Porsgrunn,2050,SIZE_2,6897
4001,Porsgrunn,2050,SIZE_3,2222
4001,Porsgrunn,2050,SIZE_4,2014
4001,Porsgrunn,2050,SIZE_5,711
