Kommunenummer,Kommune,År,Etterspørsel,Tilbud,Ny etterspørsel
4001,Porsgrunn,2026-01-01,18172,18061,111
4001,Porsgrunn,2027-01-01,18316,18061,255
4001,Porsgrunn,2028-01-01,18449,18061,388
4001,Porsgrunn,2029-01-01,18583,18061,522
4001,Porsgrunn,2030-01-01,18710,18061,649
4001,Porsgrunn,2031-01-01,18849,18061,788
4001,Porsgrunn,2032-01-01,18967,18061,906
4001,Porsgrunn,2033-01-01,19077,18061,1016
4001,Porsgrunn,2034-01-01,19184,18061,1123
4001,Porsgrunn,2035-01-01,19295,18061,1234
4001,Porsgrunn,2036-01-01,19393,18061,1332
4001,Porsgrunn,2037-01-01,19495,18061,1434
4001,Porsgrunn,2038-01-01,19579,18061,1518
4001,Porsgrunn,2039-01-01,19664,18061,1603
4001,Porsgrunn,2040-01-01,19745,18061,1684
4001,Porsgrunn,2041-01-01,19817,18061,1756
4001,Porsgrunn,2042-01-01,19889,18061,1828
4001,Porsgrunn,2043-01-01,19952,18061,1891
4001,Porsgrunn,2044-01-01,20013,18061,1952
4001,Porsgrunn,2045-01-01,20074,18061,2013
4001,Porsgrunn,2046-01-01,20132,18061,2071
4001,Porsgrunn,2047-01-01,20194,18061,2133
4001,Porsgrunn,2048-01-01,20249,18061,2188
4001,Porsgrunn,2049-01-01,20300,18061,2239
4001,Porsgrunn,2050-01-01,20359,18061,2298
4003,Skien,2026-01-01,27213,27124,89
4003,Skien,2027-01-01,27469,27124,345
4003,Skien,2028-01-01,27682,27124,558
4003,Skien,2029-01-01,27895,27124,771
4003,Skien,2030-01-01,28090,27124,966
4003,Skien,2031-01-01,28268,27124,1144
4003,Skien,2032-01-01,28442,27124,1318
4003,Skien,2033-01-01,28607,27124,1483
4003,Skien,2034-01-01,28765,27124,1641
4003,Skien,2035-01-01,28916,27124,1792
4003,Skien,2036-01-01,29064,27124,1940
4003,Skien,2037-01-01,29210,27124,2086
4003,Skien,2038-01-01,29336,27124,2212
4003,Skien,2039-01-01,29468,27124,2344
4003,Skien,2040-01-01,29578,27124,2454
4003,Skien,2041-01-01,29681,27124,2557
4003,Skien,2042-01-01,29785,27124,2661
4003,Skien,2043-01-01,29875,27124,2751
4003,Skien,2044-01-01,29963,27124,2839
4003,Skien,2045-01-01,30044,27124,2920
4003,Skien,2046-01-01,30128,27124,3004
4003,Skien,2047-01-01,30217,27124,3093
4003,Skien,2048-01-01,30289,27124,3165
4003,Skien,2049-01-01,30365,27124,3241
4003,Skien,2050-01-01,30435,27124,3311
4005,Notodden,2026-01-01,6432,7227,-795
4005,Notodden,2027-01-01,6476,7227,-751
4005,Notodden,2028-01-01,6515,7227,-712
4005,Notodden,2029-01-01,6546,7227,-681
4005,Notodden,2030-01-01,6578,7227,-649
4005,Notodden,2031-01-01,6605,7227,-622
4005,Notodden,2032-01-01,6634,7227,-593
4005,Notodden,2033-01-01,6656,7227,-571
4005,Notodden,2034-01-01,6682,7227,-545
4005,Notodden,2035-01-01,6706,7227,-521
4005,Notodden,2036-01-01,6732,7227,-495
4005,Notodden,2037-01-01,6758,7227,-469
4005,Notodden,2038-01-01,6772,7227,-455
4005,Notodden,2039-01-01,6787,7227,-440
4005,Notodden,2040-01-01,6801,7227,-426
4005,Notodden,2041-01-01,6809,7227,-418
4005,Notodden,2042-01-01,6821,7227,-406
4005,Notodden,2043-01-01,6823,7227,-404
4005,Notodden,2044-01-01,6833,7227,-394
4005,Notodden,2045-01-01,6844,7227,-383
4005,Notodden,2046-01-01,6849,7227,-378
4005,Notodden,2047-01-01,6854,7227,-373
4005,Notodden,2048-01-01,6856,7227,-371
4005,Notodden,2049-01-01,6861,7227,-366
4005,Notodden,2050-01-01,6862,7227,-365
4010,Siljan,2026-01-01,1124,1109,15
4010,Siljan,2027-01-01,1131,1109,22
4010,Siljan,2028-01-01,1140,1109,31
4010,Siljan,2029-01-01,1151,1109,42
4010,Siljan,2030-01-01,1159,1109,50
4010,Siljan,2031-01-01,1170,1109,61
4010,Siljan,2032-01-01,1179,1109,70
4010,Siljan,2033-01-01,1190,1109,81
4010,Siljan,2034-01-01,1201,1109,92
4010,Siljan,2035-01-01,1212,1109,103
4010,Siljan,2036-01-01,1222,1109,113
4010,Siljan,2037-01-01,1230,1109,121
4010,Siljan,2038-01-01,1237,1109,128
4010,Siljan,2039-01-01,1248,1109,139
4010,Siljan,2040-01-01,1254,1109,145
4010,Siljan,2041-01-01,1264,1109,155
4010,Siljan,2042-01-01,1270,1109,161
4010,Siljan,2043-01-01,1278,1109,169
4010,Siljan,2044-01-01,1284,1109,175
4010,Siljan,2045-01-01,1289,1109,180
4010,Siljan,2046-01-01,1292,1109,183
4010,Siljan,2047-01-01,1298,1109,189
4010,Siljan,2048-01-01,1302,1109,193
4010,Siljan,2049-01-01,1307,1109,198
4010,Siljan,2050-01-01,1310,1109,201
4012,Bamble,2026-01-01,6954,6784,170
4012,Bamble,2027-01-01,7005,6784,221
4012,Bamble,2028-01-01,7044,6784,260
4012,Bamble,2029-01-01,7079,6784,295
4012,Bamble,2030-01-01,7104,6784,320
4012,Bamble,2031-01-01,7128,6784,344
4012,Bamble,2032-01-01,7156,6784,372
4012,Bamble,2033-01-01,7179,6784,395
4012,Bamble,2034-01-01,7196,6784,412
4012,Bamble,2035-01-01,7211,6784,427
4012,Bamble,2036-01-01,7223,6784,439
4012,Bamble,2037-01-01,7238,6784,454
4012,Bamble,2038-01-01,7248,6784,464
4012,Bamble,2039-01-01,7258,6784,474
4012,Bamble,2040-01-01,7265,6784,481
4012,Bamble,2041-01-01,7270,6784,486
4012,Bamble,2042-01-01,7274,6784,490
4012,Bamble,2043-01-01,7277,6784,493
4012,Bamble,2044-01-01,7277,6784,493
4012,Bamble,2045-01-01,7280,6784,496
4012,Bamble,2046-01-01,7281,6784,497
4012,Bamble,2047-01-01,7285,6784,501
4012,Bamble,2048-01-01,7287,6784,503
4012,Bamble,2049-01-01,7286,6784,502
4012,Bamble,2050-01-01,7287,6784,503
4014,Kragerø,2026-01-01,5125,5696,-571
4014,Kragerø,2027-01-01,5140,5696,-556
4014,Kragerø,2028-01-01,5156,5696,-540
4014,Kragerø,2029-01-01,5173,5696,-523
4014,Kragerø,2030-01-01,5195,5696,-501
4014,Kragerø,2031-01-01,5210,5696,-486
4014,Kragerø,2032-01-01,5222,5696,-474
4014,Kragerø,2033-01-01,5228,5696,-468
4014,Kragerø,2034-01-01,5239,5696,-457
4014,Kragerø,2035-01-01,5245,5696,-451
4014,Kragerø,2036-01-01,5253,5696,-443
4014,Kragerø,2037-01-01,5259,5696,-437
4014,Kragerø,2038-01-01,5258,5696,-438
4014,Kragerø,2039-01-01,5256,5696,-440
4014,Kragerø,2040-01-01,5260,5696,-436
4014,Kragerø,2041-01-01,5261,5696,-435
4014,Kragerø,2042-01-01,5262,5696,-434
4014,Kragerø,2043-01-01,5258,5696,-438
4014,Kragerø,2044-01-01,5255,5696,-441
4014,Kragerø,2045-01-01,5253,5696,-443
4014,Kragerø,2046-01-01,5250,5696,-446
4014,Kragerø,2047-01-01,5250,5696,-446
4014,Kragerø,2048-01-01,5247,5696,-449
4014,Kragerø,2049-01-01,5249,5696,-447
4014,Kragerø,2050-01-01,5249,5696,-447
4016,Drangedal,2026-01-01,1905,2188,-283
4016,Drangedal,2027-01-01,1904,2188,-284
4016,Drangedal,2028-01-01,1904,2188,-284
4016,Drangedal,2029-01-01,1909,2188,-279
4016,Drangedal,2030-01-01,1914,2188,-274
4016,Drangedal,2031-01-01,1919,2188,-269
