Kommunenummer;Kommune;Aldersklasse;Sannsynlighet;Andel (vektet);Antall som svarte (uvektet)
4001;Porsgrunn;18-29 år;Sannsynlig;88.6;271
4001;Porsgrunn;18-29 år;Usannsynlig;11.4;35
4001;Porsgrunn;30-39 år;Sannsynlig;60.0;215
4001;Porsgrunn;30-39 år;Usannsynlig;40.0;145
4001;Porsgrunn;40-49 år;Sannsynlig;49.8;227
4001;Porsgrunn;40-49 år;Usannsynlig;50.2;229
4001;Porsgrunn;50-59 år;Sannsynlig;51.4;312
4001;Porsgrunn;50-59 år;Usannsynlig;48.6;307
4001;Porsgrunn;60-69 år;Sannsynlig;49.7;308
4001;Porsgrunn;60-69 år;Usannsynlig;50.3;318
4001;Porsgrunn;70-79 år;Sannsynlig;45.0;195
4001;Porsgrunn;70-79 år;Usannsynlig;55.0;249
4001;Porsgrunn;80 år og eldre;Sannsynlig;40.9;51
4001;Porsgrunn;80 år og eldre;Usannsynlig;59.1;78
4003;Skien;18-29 år;Sannsynlig;87.6;537
4003;Skien;18-29 år;Usannsynlig;12.4;79
4003;Skien;30-39 år;Sannsynlig;59.1;492
4003;Skien;30-39 år;Usannsynlig;40.9;345
4003;Skien;40-49 år;Sannsynlig;53.7;515
4003;Skien;40-49 år;Usannsynlig;46.3;449
4003;Skien;50-59 år;Sannsynlig;52.1;681
4003;Skien;50-59 år;Usannsynlig;47.9;621
4003;Skien;60-69 år;Sannsynlig;48.3;633
4003;Skien;60-69 år;Usannsynlig;51.7;662
4003;Skien;70-79 år;Sannsynlig;43.6;475
4003;Skien;70-79 år;Usannsynlig;56.4;590
4003;Skien;80 år og eldre;Sannsynlig;37.4;107
4003;Skien;80 år og eldre;Usannsynlig;62.6;183
4005;Notodden;18-29 år;Sannsynlig;81.9;119
4005;Notodden;18-29 år;Usannsynlig;18.1;26
4005;Notodden;30-39 år;Sannsynlig;57.9;108
4005;Notodden;30-39 år;Usannsynlig;42.1;78
4005;Notodden;40-49 år;Sannsynlig;48.8;102
4005;Notodden;40-49 år;Usannsynlig;51.2;107
4005;Notodden;50-59 år;Sannsynlig;45.2;143
4005;Notodden;50-59 år;Usannsynlig;54.8;165
4005;Notodden;60-69 år;Sannsynlig;46.5;153
4005;Notodden;60-69 år;Usannsynlig;53.5;172
4005;Notodden;70-79 år;Sannsynlig;45.2;111
4005;Notodden;70-79 år;Usannsynlig;54.8;134
4005;Notodden;80 år og eldre;Sannsynlig;39.7;31
4005;Notodden;80 år og eldre;Usannsynlig;60.3;47
4010;Siljan;18-29 år;Sannsynlig;82.9;34
4010;Siljan;18-29 år;Usannsynlig;17.1;7
4010;Siljan;30-39 år;Sannsynlig;52.1;37
4010;Siljan;30-39 år;Usannsynlig;47.9;34
4010;Siljan;40-49 år;Sannsynlig;56.2;36
4010;Siljan;40-49 år;Usannsynlig;43.8;28
4010;Siljan;50-59 år;Sannsynlig;51.1;48
4010;Siljan;50-59 år;Usannsynlig;48.9;46
4010;Siljan;60-69 år;Sannsynlig;41.9;44
4010;Siljan;60-69 år;Usannsynlig;58.1;61
4010;Siljan;70-79 år;Sannsynlig;51.8;44
4010;Siljan;70-79 år;Usannsynlig;48.2;41
4010;Siljan;80 år og eldre;Sannsynlig;66.7;20
4010;Siljan;80 år og eldre;Usannsynlig;33.3;10
4012;Bamble;18-29 år;Sannsynlig;86.4;114
4012;Bamble;18-29 år;Usannsynlig;13.6;18
4012;Bamble;30-39 år;Sannsynlig;48.4;75
4012;Bamble;30-39 år;Usannsynlig;51.6;81
4012;Bamble;40-49 år;Sannsynlig;45.8;102
4012;Bamble;40-49 år;Usannsynlig;54.2;122
4012;Bamble;50-59 år;Sannsynlig;48.4;141
4012;Bamble;50-59 år;Usannsynlig;51.6;155
4012;Bamble;60-69 år;Sannsynlig;44.4;142
4012;Bamble;60-69 år;Usannsynlig;55.6;182
4012;Bamble;70-79 år;Sannsynlig;43.7;118
4012;Bamble;70-79 år;Usannsynlig;56.3;152
4012;Bamble;80 år og eldre;Sannsynlig;39.4;28
4012;Bamble;80 år og eldre;Usannsynlig;60.6;44
4014;Kragerø;18-29 år;Sannsynlig;91.4;74
4014;Kragerø;18-29 år;Usannsynlig;8.6;7
4014;Kragerø;30-39 år;Sannsynlig;47.1;52
4014;Kragerø;30-39 år;Usannsynlig;52.9;59
4014;Kragerø;40-49 år;Sannsynlig;41.3;54
4014;Kragerø;40-49 år;Usannsynlig;58.7;77
4014;Kragerø;50-59 år;Sannsynlig;44.3;95
4014;Kragerø;50-59 år;Usannsynlig;55.7;120
4014;Kragerø;60-69 år;Sannsynlig;36.8;84
4014;Kragerø;60-69 år;Usannsynlig;63.2;144
4014;Kragerø;70-79 år;Sannsynlig;44.4;85
4014;Kragerø;70-79 år;Usannsynlig;55.6;106
4014;Kragerø;80 år og eldre;Sannsynlig;36.0;16
4014;Kragerø;80 år og eldre;Usannsynlig;64.0;28
4016;Drangedal;18-29 år;Sannsynlig;79.6;99
4016;Drangedal;18-29 år;Usannsynlig;20.4;26
4016;Drangedal;30-39 år;Sannsynlig;38.4;45
4016;Drangedal;30-39 år;Usannsynlig;61.6;77
4016;Drangedal;40-49 år;Sannsynlig;35.9;63
4016;Drangedal;40-49 år;Usannsynlig;64.1;113
4016;Drangedal;50-59 år;Sannsynlig;40.4;89
4016;Drangedal;50-59 år;Usannsynlig;59.6;135
4016;Drangedal;60-69 år;Sannsynlig;46.0;96
4016;Drangedal;60-69 år;Usannsynlig;54.0;116
4016;Drangedal;70-79 år;Sannsynlig;51.4;68
4016;Drangedal;70-79 år;Usannsynlig;48.6;65
4016;Drangedal;80 år og eldre;Sannsynlig;49.6;16
4016;Drangedal;80 år og eldre;Usannsynlig;50.4;17
4018;Nome;18-29 år;Sannsynlig;76.5;83
4018;Nome;18-29 år;Usannsynlig;23.5;25
4018;Nome;30-39 år;Sannsynlig;52.3;71
4018;Nome;30-39 år;Usannsynlig;47.7;65
4018;Nome;40-49 år;Sannsynlig;36.7;53
4018;Nome;40-49 år;Usannsynlig;63.3;90
4018;Nome;50-59 år;Sannsynlig;42.1;96
4018;Nome;50-59 år;Usannsynlig;57.9;131
4018;Nome;60-69 år;Sannsynlig;47.8;103
4018;Nome;60-69 år;Usannsynlig;52.2;115
4018;Nome;70-79 år;Sannsynlig;51.1;89
4018;Nome;70-79 år;Usannsynlig;48.9;83
4018;Nome;80 år og eldre;Sannsynlig;46.2;19
4018;Nome;80 år og eldre;Usannsynlig;53.8;22
4020;Midt-Telemark;18-29 år;Sannsynlig;86.2;210
4020;Midt-Telemark;18-29 år;Usannsynlig;13.8;33
4020;Midt-Telemark;30-39 år;Sannsynlig;53.3;127
4020;Midt-Telemark;30-39 år;Usannsynlig;46.7;105
4020;Midt-Telemark;40-49 år;Sannsynlig;39.4;111
4020;Midt-Telemark;40-49 år;Usannsynlig;60.6;169
4020;Midt-Telemark;50-59 år;Sannsynlig;43.6;138
4020;Midt-Telemark;50-59 år;Usannsynlig;56.4;174
4020;Midt-Telemark;60-69 år;Sannsynlig;36.8;102
4020;Midt-Telemark;60-69 år;Usannsynlig;63.2;174
4020;Midt-Telemark;70-79 år;Sannsynlig;45.0;105
4020;Midt-Telemark;70-79 år;Usannsynlig;55.0;134
4020;Midt-Telemark;80 år og eldre;Sannsynlig;48.7;38
4020;Midt-Telemark;80 år og eldre;Usannsynlig;51.3;43
4022;Seljord;18-29 år;Sannsynlig;86.7;52
4022;Seljord;18-29 år;Usannsynlig;13.3;8
4022;Seljord;30-39 år;Sannsynlig;45.0;27
4022;Seljord;30-39 år;Usannsynlig;55.0;33
4022;Seljord;40-49 år;Sannsynlig;42.3;30
4022;Seljord;40-49 år;Usannsynlig;57.7;41
4022;Seljord;50-59 år;Sannsynlig;35.8;39
4022;Seljord;50-59 år;Usannsynlig;64.2;70
4022;Seljord;60-69 år;Sannsynlig;40.2;41
4022;Seljord;60-69 år;Usannsynlig;59.8;61
4022;Seljord;70-79 år;Sannsynlig;44.9;44
4022;Seljord;70-79 år;Usannsynlig;55.1;54
4022;Seljord;80 år og eldre;Sannsynlig;37.0;10
4022;Seljord;80 år og eldre;Usannsynlig;63.0;17
4024;Hjartdal;18-29 år;Sannsynlig;60.4;32
4024;Hjartdal;18-29 år;Usannsynlig;39.6;21
4024;Hjartdal;30-39 år;Sannsynlig;52.3;23
4024;Hjartdal;30-39 år;Usannsynlig;47.7;21
4024;Hjartdal;40-49 år;Sannsynlig;47.2;25
4024;Hjartdal;40-49 år;Usannsynlig;52.8;28
4024;Hjartdal;50-59 år;Sannsynlig;42.3;44
4024;Hjartdal;50-59 år;Usannsynlig;57.7;60
4024;Hjartdal;60-69 år;Sannsynlig;34.8;32
4024;Hjartdal;60-69 år;Usannsynlig;65.2;60
4024;Hjartdal;70-79 år;Sannsynlig;35.4;28
4024;Hjartdal;70-79 år;Usannsynlig;64.6;51
4024;Hjartdal;80 år og eldre;Sannsynlig;27.8;5
4024;Hjartdal;80 år og eldre;Usannsynlig;72.2;13
4026;Tinn;18-29 år;Sannsynlig;84.1;87
4026;Tinn;18-29 år;Usannsynlig;15.9;18
4026;Tinn;30-39 år;Sannsynlig;55.2;61
4026;Tinn;30-39 år;Usannsynlig;44.8;54
4026;Tinn;40-49 år;Sannsynlig;51.8;73
4026;Tinn;40-49 år;Usannsynlig;48.2;75
4026;Tinn;50-59 år;Sannsynlig;47.5;119
4026;Tinn;50-59 år;Usannsynlig;52.5;137
4026;Tinn;60-69 år;Sannsynlig;44.4;107
4026;Tinn;60-69 år;Usannsynlig;55.6;138
4026;Tinn;70-79 år;Sannsynlig;43.4;86
4026;Tinn;70-79 år;Usannsynlig;56.6;112
4026;Tinn;80 år og eldre;Sannsynlig;52.5;21
4026;Tinn;80 år og eldre;Usannsynlig;47.5;19
4028;Kviteseid;18-29 år;Sannsynlig;69.4;43
4028;Kviteseid;18-29 år;Usannsynlig;30.6;19
4028;Kviteseid;30-39 år;Sannsynlig;49.3;35
4028;Kviteseid;30-39 år;Usannsynlig;50.7;36
4028;Kviteseid;40-49 år;Sannsynlig;49.3;35
4028;Kviteseid;40-49 år;Usannsynlig;50.7;36
4028;Kviteseid;50-59 år;Sannsynlig;41.4;53
4028;Kviteseid;50-59 år;Usannsynlig;58.6;75
4028;Kviteseid;60-69 år;Sannsynlig;37.4;49
4028;Kviteseid;60-69 år;Usannsynlig;62.6;82
4028;Kviteseid;70-79 år;Sannsynlig;53.2;42
4028;Kviteseid;70-79 år;Usannsynlig;46.8;37
4028;Kviteseid;80 år og eldre;Sannsynlig;30.4;7
4028;Kviteseid;80 år og eldre;Usannsynlig;69.6;16
4030;Nissedal;18-29 år;Sannsynlig;75.6;34
4030;Nissedal;18-29 år;Usannsynlig;24.4;11
4030;Nissedal;30-39 år;Sannsynlig;34.0;17
4030;Nissedal;30-39 år;Usannsynlig;66.0;33
4030;Nissedal;40-49 år;Sannsynlig;33.3;24
4030;Nissedal;40-49 år;Usannsynlig;66.7;48
4030;Nissedal;50-59 år;Sannsynlig;34.4;33
4030;Nissedal;50-59 år;Usannsynlig;65.6;63
4030;Nissedal;60-69 år;Sannsynlig;34.4;32
4030;Nissedal;60-69 år;Usannsynlig;65.6;61
4030;Nissedal;70-79 år;Sannsynlig;40.0;38
4030;Nissedal;70-79 år;Usannsynlig;60.0;57
4030;Nissedal;80 år og eldre;Sannsynlig;25.0;3
4030;Nissedal;80 år og eldre;Usannsynlig;75.0;9
4032;Fyresdal;18-29 år;Sannsynlig;76.9;40
4032;Fyresdal;18-29 år;Usannsynlig;23.1;12
4032;Fyresdal;30-39 år;Sannsynlig;38.7;24
4032;Fyresdal;30-39 år;Usannsynlig;61.3;38
4032;Fyresdal;40-49 år;Sannsynlig;38.6;34
4032;Fyresdal;40-49 år;Usannsynlig;61.4;54
4032;Fyresdal;50-59 år;Sannsynlig;31.8;28
4032;Fyresdal;50-59 år;Usannsynlig;68.2;60
4032;Fyresdal;60-69 år;Sannsynlig;35.1;39
4032;Fyresdal;60-69 år;Usannsynlig;64.9;72
4032;Fyresdal;70-79 år;Sannsynlig;41.5;27
4032;Fyresdal;70-79 år;Usannsynlig;58.5;38
4032;Fyresdal;80 år og eldre;Sannsynlig;31.6;6
4032;Fyresdal;80 år og eldre;Usannsynlig;68.4;13
4034;Tokke;18-29 år;Sannsynlig;85.5;59
4034;Tokke;18-29 år;Usannsynlig;14.5;10
4034;Tokke;30-39 år;Sannsynlig;50.0;41
4034;Tokke;30-39 år;Usannsynlig;50.0;41
4034;Tokke;40-49 år;Sannsynlig;32.1;26
4034;Tokke;40-49 år;Usannsynlig;67.9;55
4034;Tokke;50-59 år;Sannsynlig;39.7;52
4034;Tokke;50-59 år;Usannsynlig;60.3;79
4034;Tokke;60-69 år;Sannsynlig;36.3;45
4034;Tokke;60-69 år;Usannsynlig;63.7;79
4034;Tokke;70-79 år;Sannsynlig;37.8;31
4034;Tokke;70-79 år;Usannsynlig;62.2;51
4034;Tokke;80 år og eldre;Sannsynlig;25.0;4
4034;Tokke;80 år og eldre;Usannsynlig;75.0;12
4036;Vinje;18-29 år;Sannsynlig;75.4;100
4036;Vinje;18-29 år;Usannsynlig;24.6;32
4036;Vinje;30-39 år;Sannsynlig;42.8;63
4036;Vinje;30-39 år;Usannsynlig;57.2;85
4036;Vinje;40-49 år;Sannsynlig;38.3;68
4036;Vinje;40-49 år;Usannsynlig;61.7;111
4036;Vinje;50-59 år;Sannsynlig;38.3;88
4036;Vinje;50-59 år;Usannsynlig;61.7;139
4036;Vinje;60-69 år;Sannsynlig;43.8;102
4036;Vinje;60-69 år;Usannsynlig;56.2;131
4036;Vinje;70-79 år;Sannsynlig;40.2;70
4036;Vinje;70-79 år;Usannsynlig;59.8;104
4036;Vinje;80 år og eldre;Sannsynlig;50.5;26
4036;Vinje;80 år og eldre;Usannsynlig;49.5;26
40;Telemark;18-29 år;Sannsynlig;85.4;1988
40;Telemark;18-29 år;Usannsynlig;14.6;387
40;Telemark;30-39 år;Sannsynlig;55.1;1513
40;Telemark;30-39 år;Usannsynlig;44.9;1330
40;Telemark;40-49 år;Sannsynlig;47.8;1578
40;Telemark;40-49 år;Usannsynlig;52.2;1832
40;Telemark;50-59 år;Sannsynlig;47.9;2199
40;Telemark;50-59 år;Usannsynlig;52.1;2537
40;Telemark;60-69 år;Sannsynlig;45.5;2112
40;Telemark;60-69 år;Usannsynlig;54.5;2628
40;Telemark;70-79 år;Sannsynlig;44.5;1656
40;Telemark;70-79 år;Usannsynlig;55.5;2058
40;Telemark;80 år og eldre;Sannsynlig;40.6;408
40;Telemark;80 år og eldre;Usannsynlig;59.4;597
