Kommunenummer;Kommune;Svaralternativ;Andel;Antall (uvektet);Antall som svarte (uvektet)
4001;Porsgrunn;At den er tilpasset alderen og helsen min;55.7;1579;875
4001;Porsgrunn;Mer plass;22.8;1579;368
4001;Porsgrunn;Mindre plass;13.9;1579;213
4001;Porsgrunn;Egen hage/uteområde;37.4;1579;589
4001;Porsgrunn;Mindre vedlikehold;40.3;1579;635
4001;Porsgrunn;Lave bokostnader;37.5;1579;596
4001;Porsgrunn;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;22.0;1579;354
4001;Porsgrunn;Nærhet til natur;41.9;1579;661
4001;Porsgrunn;Nærhet til kollektivtransport;31.7;1579;491
4001;Porsgrunn;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;47.0;1579;735
4001;Porsgrunn;Annet;11.6;1579;182
4003;Skien;At den er tilpasset alderen og helsen min;52.0;3440;1813
4003;Skien;Mer plass;24.7;3440;836
4003;Skien;Mindre plass;14.0;3440;506
4003;Skien;Egen hage/uteområde;38.6;3440;1310
4003;Skien;Mindre vedlikehold;40.9;3440;1408
4003;Skien;Lave bokostnader;38.7;3440;1304
4003;Skien;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;21.2;3440;721
4003;Skien;Nærhet til natur;39.3;3440;1396
4003;Skien;Nærhet til kollektivtransport;31.5;3440;1103
4003;Skien;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;45.2;3440;1561
4003;Skien;Annet;9.8;3440;338
4005;Notodden;At den er tilpasset alderen og helsen min;55.7;767;427
4005;Notodden;Mer plass;23.4;767;178
4005;Notodden;Mindre plass;16.1;767;124
4005;Notodden;Egen hage/uteområde;39.4;767;303
4005;Notodden;Mindre vedlikehold;38.8;767;302
4005;Notodden;Lave bokostnader;35.4;767;267
4005;Notodden;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;24.2;767;184
4005;Notodden;Nærhet til natur;43.3;767;329
4005;Notodden;Nærhet til kollektivtransport;28.0;767;212
4005;Notodden;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;39.8;767;302
4005;Notodden;Annet;9.0;767;70
4010;Siljan;At den er tilpasset alderen og helsen min;60.8;263;160
4010;Siljan;Mer plass;17.1;263;45
4010;Siljan;Mindre plass;19.4;263;51
4010;Siljan;Egen hage/uteområde;37.6;263;99
4010;Siljan;Mindre vedlikehold;44.9;263;118
4010;Siljan;Lave bokostnader;33.8;263;89
4010;Siljan;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;26.2;263;69
4010;Siljan;Nærhet til natur;48.3;263;127
4010;Siljan;Nærhet til kollektivtransport;31.2;263;82
4010;Siljan;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;42.6;263;112
4010;Siljan;Annet;8.7;263;23
4012;Bamble;At den er tilpasset alderen og helsen min;60.2;720;432
4012;Bamble;Mer plass;21.2;720;153
4012;Bamble;Mindre plass;18.5;720;133
4012;Bamble;Egen hage/uteområde;41.6;720;298
4012;Bamble;Mindre vedlikehold;47.6;720;342
4012;Bamble;Lave bokostnader;32.8;720;236
4012;Bamble;Sosialt bomiljø, f.eks. mulighet til sosial omgang med naboer;24.7;720;176
4012;Bamble;Nærhet til natur;49.8;720;359
4012;Bamble;Nærhet til kollektivtransport;32.8;720;235
4012;Bamble;Nærhet til service- og kulturtilbud som butikk, apotek, bibliotek og serveringssteder;47.4;720;343
4012;Bamble;Annet;8.0;720;58
4014;Kragerø;At den er tilpasset alderen og helsen min;58.4;460;269
4014;Kragerø;Mer plass;19.2;460;88
4014;Kragerø;Mindre plass;11.0;460;51
4014;Kragerø;Egen hage/uteområde;39.2;460;180
