Kommunenummer;Kommune;Svaralternativ;Andel;Antall (uvektet);Antall som svarte (uvektet)
4001;Porsgrunn;Jeg/vi er fornøyde med boligen;87.0;1361;1182
4001;Porsgrunn;Jeg/vi trenger plassen i boligen til familie og besøk;21.8;1361;300
4001;Porsgrunn;Jeg/vi er fornøyde med hagen/uteområdet;43.9;1361;598
4001;Porsgrunn;Jeg/vi trives i nabolaget der boligen ligger;54.3;1361;739
4001;Porsgrunn;Jeg/vi finner ikke passende bolig i ønsket område;2.3;1361;33
4001;Porsgrunn;Jeg/vi har ikke råd til å bytte bolig;8.8;1361;126
4001;Porsgrunn;Jeg/vi har ikke kapasitet til å bytte bolig;4.5;1361;60
4001;Porsgrunn;Annen årsak;5.0;1361;66
4003;Skien;Jeg/vi er fornøyde med boligen;86.9;2929;2556
4003;Skien;Jeg/vi trenger plassen i boligen til familie og besøk;22.9;2929;704
4003;Skien;Jeg/vi er fornøyde med hagen/uteområdet;44.0;2929;1306
4003;Skien;Jeg/vi trives i nabolaget der boligen ligger;50.2;2929;1493
4003;Skien;Jeg/vi finner ikke passende bolig i ønsket område;2.5;2929;71
4003;Skien;Jeg/vi har ikke råd til å bytte bolig;9.8;2929;286
4003;Skien;Jeg/vi har ikke kapasitet til å bytte bolig;3.6;2929;107
4003;Skien;Annen årsak;5.9;2929;163
4005;Notodden;Jeg/vi er fornøyde med boligen;82.4;729;602
4005;Notodden;Jeg/vi trenger plassen i boligen til familie og besøk;20.0;729;150
4005;Notodden;Jeg/vi er fornøyde med hagen/uteområdet;42.2;729;310
4005;Notodden;Jeg/vi trives i nabolaget der boligen ligger;47.8;729;349
4005;Notodden;Jeg/vi finner ikke passende bolig i ønsket område;3.3;729;24
4005;Notodden;Jeg/vi har ikke råd til å bytte bolig;11.2;729;79
4005;Notodden;Jeg/vi har ikke kapasitet til å bytte bolig;3.8;729;28
4005;Notodden;Annen årsak;6.1;729;43
4010;Siljan;Jeg/vi er fornøyde med boligen;88.1;227;200
4010;Siljan;Jeg/vi trenger plassen i boligen til familie og besøk;22.9;227;52
4010;Siljan;Jeg/vi er fornøyde med hagen/uteområdet;49.8;227;113
4010;Siljan;Jeg/vi trives i nabolaget der boligen ligger;51.5;227;117
4010;Siljan;Jeg/vi finner ikke passende bolig i ønsket område;3.5;227;8
4010;Siljan;Jeg/vi har ikke råd til å bytte bolig;7.5;227;17
4010;Siljan;Jeg/vi har ikke kapasitet til å bytte bolig;2.2;227;5
4010;Siljan;Annen årsak;5.7;227;13
4012;Bamble;Jeg/vi er fornøyde med boligen;89.3;754;673
4012;Bamble;Jeg/vi trenger plassen i boligen til familie og besøk;24.3;754;185
4012;Bamble;Jeg/vi er fornøyde med hagen/uteområdet;49.1;754;369
4012;Bamble;Jeg/vi trives i nabolaget der boligen ligger;53.1;754;401
4012;Bamble;Jeg/vi finner ikke passende bolig i ønsket område;2.4;754;19
4012;Bamble;Jeg/vi har ikke råd til å bytte bolig;10.0;754;75
4012;Bamble;Jeg/vi har ikke kapasitet til å bytte bolig;3.0;754;23
