ogc_fid;SSBID0250M;pop_tot
1;19250006618000;7
2;19250006618250;1
3;19252506617000;15
4;19252506617250;18
5;19252506617500;9
6;19252506618000;4
7;19252506618250;8
8;19252506618500;6
9;19255006616750;13
10;19255006617000;26
11;19255006617250;18
12;19255006617500;15
13;19255006618000;2
14;19255006618250;1
15;19255006618500;3
16;19257506616750;1
17;19257506617000;8
18;19257506617250;27
19;19257506617500;6
20;19260006617000;16
21;19262506617000;4
22;19262506617250;4
23;19265006617000;1
24;19382506806500;2
25;19385006806500;3
26;19387506630750;15
27;19390006630500;15
28;19390006630750;26
29;19392506630250;3
30;19392506630500;11
31;19392506630750;20
32;19392506631000;11
33;19395006630500;1
34;19395006630750;6
35;19395006631000;2
36;19395006808000;1
37;19395006808250;1
38;19400006601250;2
39;19400006603750;23
40;19400006604000;2
41;19402506601000;2
42;19402506601250;28
43;19402506601500;5
44;19402506602250;3
45;19402506602500;19
46;19402506602750;15
47;19402506603750;6
48;19402506604000;2
49;19402506604750;11
50;19402506606500;5
51;19402506782000;11
52;19402506782500;3
53;19405006600500;1
54;19405006600750;28
55;19405006601000;59
56;19405006601250;18
57;19405006601500;6
58;19405006601750;19
59;19405006602000;15
60;19405006602250;4
61;19405006602500;10
62;19405006602750;20
63;19405006603500;1
64;19405006603750;11
65;19405006604000;9
66;19405006604250;2
67;19405006604750;26
68;19405006605000;12
69;19405006606500;16
70;19405006606750;2
71;19405006782000;2
72;19405006782250;14
73;19405006782500;3
74;19407506598250;1
75;19407506598500;2
76;19407506598750;5
77;19407506599750;5
78;19407506600500;34
79;19407506600750;45
80;19407506601000;13
81;19407506601250;7
82;19407506601500;15
83;19407506601750;6
84;19407506602000;10
85;19407506602250;1
86;19407506602750;7
87;19407506603000;10
88;19407506603250;18
89;19407506603500;14
90;19407506603750;7
91;19407506604000;5
92;19407506604250;12
93;19407506604500;9
94;19407506604750;47
95;19407506605000;4
96;19407506605250;9
97;19407506605750;13
98;19407506606000;2
99;19407506606250;12
100;19407506606500;25
101;19407506606750;51
102;19407506607000;7
103;19407506781750;4
104;19407506782000;10
105;19407506782250;11
106;19407506782500;8
107;19407506782750;13
108;19410006598000;6
109;19410006599750;1
110;19410006600000;11
111;19410006600250;5
112;19410006600500;46
113;19410006600750;4
114;19410006602750;8
115;19410006603000;8
116;19410006603250;2
117;19410006603500;5
118;19410006604500;10
119;19410006604750;11
120;19410006605000;19
121;19410006605250;15
122;19410006605500;20
123;19410006605750;39
124;19410006606000;11
125;19410006606250;16
126;19410006606500;20
127;19410006606750;15
128;19410006607000;2
129;19410006610250;1
130;19410006771750;3
131;19410006782000;27
132;19410006782250;5
133;19410006782500;1
134;19410006782750;5
135;19412506597750;7
136;19412506598000;6
137;19412506599750;2
138;19412506600000;3
139;19412506600250;3
140;19412506600500;6
141;19412506603000;5
142;19412506603750;18
143;19412506604000;2
144;19412506604750;17
145;19412506605000;25
146;19412506605250;25
147;19412506605500;13
148;19412506605750;11
149;19412506606000;27
150;19412506606250;16
151;19412506606500;19
152;19412506607000;3
153;19412506609500;44
154;19412506609750;57
155;19412506610000;34
156;19412506610250;56
157;19412506610500;42
158;19412506771750;8
159;19412506782000;47
160;19412506782250;22
161;19412506782750;2
162;19412506783000;1
163;19415006597750;12
164;19415006598000;11
165;19415006598250;13
166;19415006599750;8
167;19415006600250;13
168;19415006603000;2
169;19415006603500;2
170;19415006603750;3
171;19415006604500;7
172;19415006605000;23
173;19415006605250;12
174;19415006605500;17
175;19415006605750;28
176;19415006606000;23
177;19415006606250;24
178;19415006606500;34
179;19415006606750;24
180;19415006607000;34
181;19415006607250;11
182;19415006607500;5
183;19415006607750;13
184;19415006608000;23
185;19415006609250;20
186;19415006609500;119
187;19415006609750;156
188;19415006610000;156
189;19415006610250;127
190;19415006610500;56
191;19415006623750;2
192;19415006771500;3
193;19415006771750;4
194;19415006781250;4
195;19415006782000;35
196;19415006782250;39
197;19415006782500;7
198;19415006782750;17
199;19417506597500;1
200;19417506597750;18
201;19417506598000;32
202;19417506598250;19
203;19417506598500;1
204;19417506599750;6
205;19417506600000;10
206;19417506600250;4
207;19417506605000;2
208;19417506605250;16
209;19417506605500;15
210;19417506605750;25
211;19417506606250;33
