ssbid_250,År,Populasjon
21715006570000,2016-01-01,1
21720006570000,2016-01-01,2
21722506568750,2016-01-01,1
21722506570000,2016-01-01,2
21725006570000,2016-01-01,1
21760006568000,2016-01-01,5
21760006568250,2016-01-01,2
21760006568500,2016-01-01,8
21762506567750,2016-01-01,4
21762506568000,2016-01-01,16
21765006573500,2016-01-01,6
21765006587750,2016-01-01,2
21767506588250,2016-01-01,6
21767506588750,2016-01-01,3
21767506589000,2016-01-01,5
21770006567250,2016-01-01,2
21770006573000,2016-01-01,2
21770006589250,2016-01-01,13
21772506567000,2016-01-01,6
21772506567500,2016-01-01,4
21772506567750,2016-01-01,8
21772506573500,2016-01-01,4
21772506588000,2016-01-01,6
21772506588250,2016-01-01,16
21772506588750,2016-01-01,15
21772506589000,2016-01-01,1
21772506589250,2016-01-01,1
21772506589500,2016-01-01,2
21772506589750,2016-01-01,3
21775006561500,2016-01-01,1
21775006563500,2016-01-01,2
21775006567000,2016-01-01,6
21775006567500,2016-01-01,5
21775006587750,2016-01-01,1
21775006588000,2016-01-01,3
21775006588500,2016-01-01,2
21775006588750,2016-01-01,2
21775006589000,2016-01-01,6
21775006589500,2016-01-01,4
21777506572750,2016-01-01,1
21777506588250,2016-01-01,18
21777506588750,2016-01-01,2
21777506589000,2016-01-01,7
21777506589250,2016-01-01,4
21780006562500,2016-01-01,2
21780006565750,2016-01-01,4
21780006572500,2016-01-01,3
21780006572750,2016-01-01,6
21782506571500,2016-01-01,2
21782506572000,2016-01-01,4
21782506572250,2016-01-01,3
21782506572500,2016-01-01,2
21785006562500,2016-01-01,4
21785006567000,2016-01-01,1
21785006572250,2016-01-01,5
21785006575250,2016-01-01,2
21785006588250,2016-01-01,3
21785006591500,2016-01-01,5
21785006591750,2016-01-01,1
21787506562250,2016-01-01,4
21787506562500,2016-01-01,8
21787506567000,2016-01-01,3
21787506567250,2016-01-01,7
21787506572250,2016-01-01,2
21787506572500,2016-01-01,3
21787506577750,2016-01-01,1
21790006562500,2016-01-01,2
21790006567750,2016-01-01,7
21790006572500,2016-01-01,1
21790006572750,2016-01-01,3
21792506566750,2016-01-01,1
21792506567250,2016-01-01,2
21792506567500,2016-01-01,11
21792506567750,2016-01-01,3
21792506570750,2016-01-01,4
21792506572000,2016-01-01,11
21792506572250,2016-01-01,8
21792506572500,2016-01-01,1
21792506573000,2016-01-01,4
21792506573750,2016-01-01,1
21792506575250,2016-01-01,7
21792506578000,2016-01-01,1
21792506578250,2016-01-01,8
21795006564750,2016-01-01,6
21795006571000,2016-01-01,5
21795006571250,2016-01-01,3
21795006571750,2016-01-01,7
21795006573000,2016-01-01,2
21795006573250,2016-01-01,1
21795006574500,2016-01-01,4
21797506564500,2016-01-01,4
21797506567250,2016-01-01,3
21797506571250,2016-01-01,3
21797506571500,2016-01-01,2
21797506571750,2016-01-01,4
21797506573750,2016-01-01,2
21797506574000,2016-01-01,2
21797506574750,2016-01-01,4
21797506575000,2016-01-01,5
21797506578000,2016-01-01,7
21800006564250,2016-01-01,7
21800006571750,2016-01-01,2
21800006573000,2016-01-01,1
21800006575250,2016-01-01,2
21800006577500,2016-01-01,4
21800006578000,2016-01-01,14
21800006585750,2016-01-01,2
21802506564000,2016-01-01,10
21802506566250,2016-01-01,2
21802506572750,2016-01-01,4
21802506575000,2016-01-01,6
21802506575250,2016-01-01,10
21802506576000,2016-01-01,2
21802506577000,2016-01-01,2
21802506577250,2016-01-01,4
21802506585250,2016-01-01,2
21802506585750,2016-01-01,5
21802506586250,2016-01-01,4
21805006564000,2016-01-01,2
21805006566250,2016-01-01,4
21805006571250,2016-01-01,1
21805006574750,2016-01-01,3
21805006576000,2016-01-01,2
21805006576250,2016-01-01,2
21805006576500,2016-01-01,4
21805006577000,2016-01-01,3
21805006578250,2016-01-01,3
21805006585750,2016-01-01,4
21805006586250,2016-01-01,3
21807506561750,2016-01-01,8
21807506563250,2016-01-01,4
21807506563500,2016-01-01,4
21807506563750,2016-01-01,2
21807506574750,2016-01-01,5
21807506576000,2016-01-01,2
21807506576250,2016-01-01,10
21807506576500,2016-01-01,10
21807506576750,2016-01-01,13
21807506577750,2016-01-01,1
21807506578250,2016-01-01,4
21807506585500,2016-01-01,2
21810006563000,2016-01-01,3
21810006564750,2016-01-01,2
21810006565000,2016-01-01,37
21810006565250,2016-01-01,4
21810006574500,2016-01-01,6
21810006575000,2016-01-01,3
21810006576000,2016-01-01,6
21810006576250,2016-01-01,16
21810006576500,2016-01-01,14
21810006577500,2016-01-01,5
21810006578000,2016-01-01,2
21812506560500,2016-01-01,1
21812506565000,2016-01-01,34
21812506565250,2016-01-01,5
21812506565750,2016-01-01,5
21812506566000,2016-01-01,2
21812506566250,2016-01-01,2
21812506567000,2016-01-01,7
21812506567250,2016-01-01,7
