ogc_fid;SSBID250M;est_tot;emp_tot
1;19252506617250;2;0
2;19252506618500;2;0
3;19255006617000;6;3
4;19255006617250;2;0
5;19255006617500;3;15
6;19255006618250;1;0
7;19257506617000;2;0
8;19257506617250;2;0
9;19260006616750;1;0
10;19262506617250;1;0
11;19385006806500;1;0
12;19387506630750;1;0
13;19390006630500;3;10
14;19390006630750;1;0
15;19392506630250;3;0
16;19392506630500;3;0
17;19392506630750;1;0
18;19392506631000;2;0
19;19395006630750;2;0
20;19400006603750;1;0
21;19400006604000;1;0
22;19402506602500;5;1
23;19402506602750;4;1
24;19402506603750;4;0
25;19402506782500;1;0
26;19405006600750;1;0
27;19405006601000;3;4
28;19405006601500;2;0
29;19405006601750;1;0
30;19405006602000;1;0
31;19405006602250;1;0
32;19405006602750;2;0
33;19405006603750;1;0
34;19405006604750;4;0
35;19405006606500;3;0
36;19405006782250;1;17
37;19407506598250;1;0
38;19407506600500;3;1
39;19407506601500;1;0
40;19407506602000;1;0
41;19407506603250;2;14
42;19407506604000;1;0
43;19407506604250;6;14
44;19407506605000;1;0
45;19407506605250;2;0
46;19407506606000;2;0
47;19407506606500;2;0
48;19407506606750;4;6
49;19407506607000;3;0
50;19407506782500;1;0
51;19410006600000;3;3
52;19410006600500;5;0
53;19410006600750;1;0
54;19410006602750;1;0
55;19410006603250;1;0
56;19410006605250;1;0
57;19410006605500;3;6
58;19410006605750;2;0
59;19410006606250;2;2
60;19410006606500;1;0
61;19410006606750;3;0
62;19410006610250;1;1
63;19410006782000;1;0
64;19410006782500;1;9
65;19412506600500;1;0
66;19412506603000;1;0
67;19412506603750;3;1
68;19412506604750;2;0
69;19412506605000;4;0
70;19412506605250;1;0
71;19412506605500;2;0
72;19412506605750;1;0
73;19412506606250;4;0
74;19412506609250;6;31
75;19412506609500;11;52
76;19412506609750;12;17
77;19412506610000;14;146
78;19412506610250;4;28
79;19412506610500;2;1
80;19412506782000;2;44
81;19412506782250;5;312
82;19412506782500;1;0
83;19415006598000;1;0
84;19415006598250;1;1
85;19415006600250;1;1
86;19415006603500;2;0
87;19415006605000;3;10
88;19415006605500;1;0
89;19415006605750;3;20
90;19415006606000;2;0
91;19415006606250;2;0
92;19415006606500;1;2
93;19415006606750;4;1
94;19415006607000;5;0
95;19415006607250;2;0
96;19415006607500;1;0
97;19415006608000;1;0
98;19415006609250;8;3
99;19415006609500;6;2
100;19415006609750;7;3
101;19415006610250;12;9
102;19415006610500;1;0
103;19415006623250;1;0
104;19415006623500;1;0
105;19415006781750;1;26
106;19415006782000;11;36
107;19415006782250;4;2
108;19417506597750;1;0
109;19417506598000;3;0
110;19417506600000;1;0
111;19417506600250;1;0
112;19417506605250;1;0
113;19417506605750;2;3
114;19417506606250;2;0
115;19417506606500;1;0
116;19417506606750;1;0
117;19417506607250;1;1
118;19417506607500;1;0
119;19417506607750;2;0
120;19417506608000;1;0
121;19417506609250;1;30
122;19417506609500;5;1
123;19417506609750;2;0
124;19417506610000;8;56
125;19417506610250;13;52
126;19417506610500;1;0
127;19417506610750;4;0
128;19417506781250;1;0
129;19417506782000;2;0
130;19420006597500;1;0
131;19420006598000;3;0
132;19420006598500;2;0
133;19420006599750;1;0
134;19420006606000;4;3
135;19420006606250;3;0
136;19420006607250;3;0
137;19420006608250;7;1
138;19420006608500;2;11
139;19420006609000;1;0
140;19420006609250;3;0
141;19420006609500;11;86
142;19420006609750;14;251
143;19420006610000;53;152
144;19420006610250;28;129
145;19420006610500;23;106
146;19420006610750;5;4
147;19420006611250;15;20
148;19420006612000;1;0
149;19420006623500;1;0
150;19420006779250;4;0
151;19420006781250;1;0
152;19420006782250;2;0
153;19422506598000;7;2
154;19422506598250;5;0
155;19422506607750;2;0
156;19422506608000;7;28
157;19422506608250;5;3
158;19422506608500;1;0
159;19422506608750;4;1
160;19422506609000;6;17
161;19422506609250;2;1
162;19422506609500;2;19
163;19422506609750;9;381
164;19422506610000;4;1
165;19422506610250;4;0
166;19422506610500;2;4
167;19422506610750;4;1
168;19422506611000;4;3
169;19422506611250;2;1
170;19422506611500;3;1
171;19422506611750;1;0
172;19422506612000;5;6
173;19422506612250;4;2
174;19422506781000;1;0
175;19422506781250;1;0
176;19422506781750;5;11
177;19425006599000;1;0
178;19425006599250;2;0
179;19425006607500;1;0
180;19425006607750;2;0
181;19425006608250;1;0
182;19425006608500;7;4
183;19425006608750;6;0
184;19425006609000;1;0
185;19425006609250;7;20
186;19425006609500;5;0
187;19425006609750;8;154
188;19425006610000;3;0
189;19425006610250;2;37
190;19425006610500;1;0
191;19425006610750;2;0
192;19425006611000;8;21
193;19425006611250;5;28
194;19425006611500;4;8
195;19425006611750;4;3
196;19425006612000;1;2
197;19425006781750;1;0
198;19425006782000;1;0
199;19427506597250;1;0
200;19427506597500;1;0
201;19427506597750;1;0
202;19427506598000;2;27
203;19427506598250;9;44
204;19427506607250;1;0
205;19427506607750;1;0
206;19427506608000;1;0
207;19427506608250;1;0
208;19427506608500;2;1
209;19427506608750;3;0
210;19427506609000;2;0
211;19427506609250;2;1
212;19427506609500;5;3
213;19427506609750;4;2
214;19427506610250;5;0
215;19427506610500;4;6
216;19427506610750;4;0
217;19427506611000;4;0
218;19427506611250;2;3
219;19427506611500;4;26
220;19427506611750;3;0
221;19427506614250;1;0
222;19427506761500;2;0
223;19427506811000;1;0
224;19430006597000;1;0
225;19430006597500;4;0
226;19430006598000;4;7
227;19430006598250;6;29
228;19430006609500;7;24
229;19430006609750;5;1
230;19430006610000;3;1
231;19430006610250;1;0
232;19430006610500;4;6
233;19430006610750;1;0
234;19430006611000;3;0
235;19430006611250;4;1
236;19430006611750;2;0
237;19430006614000;5;3
238;19430006614250;2;0
239;19430006614500;1;0
240;19430006761750;1;0
241;19430006807500;1;0
242;19432506596750;1;0
243;19432506597000;2;0
244;19432506597250;2;0
245;19432506597500;9;79
246;19432506597750;2;0
247;19432506598250;2;4
248;19432506609500;1;0
249;19432506609750;2;0
250;19432506610500;8;0
251;19432506610750;3;4
252;19432506611250;5;16
253;19432506611500;1;0
254;19432506611750;3;3
255;19432506612000;3;0
256;19432506614250;10;1
257;19432506614500;1;0
258;19432506757750;1;0
259;19432506760250;1;0
260;19432506764250;1;0
261;19432506764500;1;0
262;19432506765500;1;0
263;19432506765750;1;0
264;19432506766000;2;0
265;19432506768000;1;1
266;19432506768250;1;0
267;19432506768500;3;2
268;19432506808000;1;0
269;19432506811500;1;0
270;19432506811750;1;0
271;19435006596750;4;2
272;19435006597000;3;0
273;19435006597250;4;0
274;19435006597500;4;0
275;19435006597750;3;0
276;19435006610500;1;0
277;19435006611500;1;0
278;19435006613250;2;0
279;19435006613500;2;3
280;19435006613750;1;11
281;19435006614000;1;0
282;19435006757500;1;0
283;19435006760250;3;0
284;19435006761750;1;0
285;19435006764000;1;0
286;19435006764250;1;1
287;19435006765750;1;0
288;19435006768250;3;4
289;19435006768500;2;0
290;19437506597000;5;13
291;19437506597250;17;36
292;19437506597500;9;15
293;19437506597750;3;146
294;19437506609250;1;0
295;19437506613000;2;0
296;19437506613250;1;0
297;19437506613500;2;2
298;19437506613750;3;11
299;19437506614000;3;1
300;19437506617000;1;1
301;19437506617250;2;1
302;19437506757500;2;1
303;19437506763750;1;0
304;19437506766000;3;0
305;19440006597000;6;71
306;19440006597250;51;91
307;19440006597500;26;218
308;19440006597750;2;0
309;19440006598000;4;0
310;19440006612750;1;1
311;19440006613000;1;0
312;19440006613250;2;0
313;19440006613500;6;0
314;19440006613750;10;39
315;19440006614000;4;0
316;19440006614250;5;1
317;19440006616750;4;5
318;19440006617250;2;29
319;19440006617750;1;1
320;19440006760500;1;0
321;19440006763750;1;8
322;19440006764750;1;0
323;19442506597250;5;1
324;19442506597500;7;68
325;19442506597750;3;5
326;19442506611250;1;0
327;19442506613250;5;16
328;19442506613500;3;0
329;19442506613750;6;3
330;19442506614000;3;0
331;19442506614250;1;0
332;19442506616500;1;1
333;19442506616750;2;0
334;19442506757500;3;4
