ogc_fid;SSBID0250M;pop_tot
1;19250006618000;7
2;19250006618250;1
3;19252506617000;9
4;19252506617250;11
5;19252506617500;5
6;19252506617750;3
7;19252506618000;2
8;19252506618250;6
9;19252506618500;5
10;19255006616750;9
11;19255006617000;25
12;19255006617250;15
13;19255006617500;21
14;19255006617750;1
15;19255006618000;1
16;19255006618250;8
17;19255006618500;5
18;19257506617000;13
19;19257506617250;11
20;19257506617500;3
21;19260006616750;5
22;19260006617000;14
23;19262506617000;2
24;19262506617250;6
25;19382506806500;2
26;19385006806250;1
27;19385006806500;6
28;19387506630750;9
29;19390006630500;13
30;19390006630750;12
31;19392506630250;2
32;19392506630500;11
33;19392506630750;16
34;19392506631000;8
35;19395006630750;5
36;19395006631000;1
37;19400006601250;1
38;19400006603750;19
39;19400006604000;5
40;19402506601000;5
41;19402506601250;24
42;19402506601500;7
43;19402506602000;2
44;19402506602250;5
45;19402506602500;13
46;19402506602750;12
47;19402506603750;6
48;19402506604000;1
49;19402506604250;4
50;19402506604750;9
51;19402506606500;3
52;19402506782000;3
53;19402506782500;2
54;19405006600500;2
55;19405006600750;14
56;19405006601000;55
57;19405006601250;21
58;19405006601500;4
59;19405006601750;19
60;19405006602000;19
61;19405006602250;3
62;19405006602500;11
63;19405006602750;22
64;19405006603500;1
65;19405006603750;17
66;19405006604000;8
67;19405006604250;1
68;19405006604750;22
69;19405006605000;14
70;19405006606500;13
71;19405006606750;1
72;19405006782000;2
73;19405006782250;8
74;19405006782500;2
75;19407506598250;3
76;19407506598500;2
77;19407506598750;3
78;19407506599750;3
79;19407506600500;33
80;19407506600750;41
81;19407506601000;8
82;19407506601250;8
83;19407506601500;21
84;19407506601750;3
85;19407506602000;9
86;19407506602250;1
87;19407506602750;4
88;19407506603000;9
89;19407506603250;15
90;19407506603500;8
91;19407506603750;9
92;19407506604000;4
93;19407506604250;24
94;19407506604500;12
95;19407506604750;33
96;19407506605000;6
97;19407506605250;7
98;19407506605500;5
99;19407506605750;10
100;19407506606000;2
101;19407506606250;12
102;19407506606500;30
103;19407506606750;59
104;19407506607000;7
105;19407506781750;3
106;19407506782000;15
107;19407506782250;9
108;19407506782500;9
109;19407506782750;7
110;19410006598000;5
111;19410006599750;1
112;19410006600000;10
113;19410006600250;7
114;19410006600500;40
115;19410006600750;6
116;19410006602750;5
117;19410006603000;5
118;19410006603250;8
119;19410006603500;4
120;19410006604500;10
121;19410006604750;8
122;19410006605000;13
123;19410006605250;19
124;19410006605500;11
125;19410006605750;33
126;19410006606000;11
127;19410006606250;19
128;19410006606500;28
129;19410006606750;15
130;19410006607000;5
131;19410006610250;1
132;19410006771750;2
133;19410006782000;7
134;19410006782250;6
135;19410006782500;1
136;19410006782750;5
137;19412506597750;5
138;19412506598000;4
139;19412506599750;2
140;19412506600000;2
141;19412506600250;1
142;19412506600500;11
143;19412506603000;5
144;19412506603750;14
145;19412506604000;2
146;19412506604750;22
147;19412506605000;19
148;19412506605250;18
149;19412506605500;17
150;19412506605750;11
151;19412506606000;20
152;19412506606250;23
153;19412506606500;17
154;19412506607000;3
155;19412506609500;53
156;19412506609750;103
157;19412506610000;28
158;19412506610250;49
159;19412506610500;46
160;19412506623750;1
161;19412506771750;5
162;19412506782000;35
163;19412506782250;23
164;19412506782750;8
165;19412506783000;2
166;19415006597750;23
167;19415006598000;12
168;19415006598250;14
169;19415006599750;10
170;19415006600250;15
171;19415006603500;5
172;19415006603750;2
173;19415006604500;3
174;19415006605000;17
175;19415006605250;12
176;19415006605500;13
177;19415006605750;28
178;19415006606000;22
179;19415006606250;27
180;19415006606500;35
181;19415006606750;34
182;19415006607000;38
183;19415006607250;11
184;19415006607500;6
185;19415006607750;16
186;19415006608000;26
187;19415006609250;57
188;19415006609500;142
189;19415006609750;212
190;19415006610000;180
191;19415006610250;144
192;19415006610500;51
193;19415006623250;2
194;19415006623500;1
195;19415006623750;4
196;19415006771500;3
197;19415006771750;1
198;19415006781250;2
199;19415006782000;29
200;19415006782250;33
201;19415006782500;3
202;19415006782750;14
203;19417506597500;1
204;19417506597750;14
205;19417506598000;22
206;19417506598250;18
207;19417506599750;4
208;19417506600000;7
209;19417506600250;4
210;19417506605000;7
211;19417506605250;20
