ogc_fid;pop_tot;ssbid250m
1;3;25057507369500
2;2;25060007369750
3;2;25067507369000
4;3;24980007375250
5;2;24977507375250
6;7;24972507375500
7;4;24970007375500
8;5;24970007375750
9;8;24965007376000
10;1;24975007375500
11;7;24975007376250
12;1;24980007375500
13;1;24972507376500
14;2;24975007376500
15;1;25050007370000
16;4;25015007373000
17;1;25107507375000
18;1;25142507381500
19;1;24962507376000
20;1;24960007376000
21;2;24957507376250
22;2;24960007376250
23;4;25325007402750
24;2;25205007400500
25;2;25207507400500
26;9;25205007400750
27;2;25207507401250
28;1;25335007403000
29;2;25310007407500
30;8;25307507408000
31;3;25307507408250
32;1;25307507408750
33;2;25262507408750
34;3;25257507409250
35;3;25227507411500
36;2;25252507409000
37;1;25252507409250
38;1;25250007409500
39;7;25252507409500
40;1;25252507409750
41;1;25240007410500
42;2;25252507410000
43;1;25250007410000
44;6;25250007410250
45;1;25242507410500
46;2;25232507411500
47;1;25225007411500
48;4;25175007410500
49;13;25170007411000
50;2;25172507411000
51;3;25165007410500
52;2;25160007412250
53;3;25152507413000
54;1;25147507413250
55;1;25140007414000
56;2;25137507414250
57;4;25130007414750
58;1;25127507415000
59;1;25132507415750
60;2;25130007417250
61;1;25130007417500
62;2;25125007417750
63;3;24970007418250
64;1;25127507418000
65;2;25122507418500
66;4;25125007418750
67;5;25127507419250
68;7;25122507419000
69;1;25125007419250
70;11;25132507419750
71;3;25130007419750
72;2;25132507420000
73;4;25135007420250
74;5;25137507420750
75;3;25135007420750
76;5;25137507421000
77;3;25137507421250
78;1;25137507421500
79;5;25135007421500
80;1;25140007421750
81;3;25137507422250
82;15;25137507422750
83;8;25140007422750
84;2;25135007422750
85;6;25140007423000
86;4;25135007423000
87;12;25137507423000
88;2;25135007423250
89;1;25140007423250
90;7;25137507423250
91;2;25135007423500
92;16;25140007423500
93;4;25140007423750
94;2;25137507423750
95;1;25137507424000
96;2;25130007424250
97;1;25140007424000
98;9;25137507424250
99;6;25137507424500
100;2;25137507424750
101;6;25135007424750
102;4;25130007424500
103;1;25132507424750
104;1;25127507425000
105;7;25132507425000
106;14;25135007425000
107;4;25127507425250
108;11;25132507425250
109;10;25127507425500
110;14;25132507425500
111;13;25132507425750
112;5;25127507425750
113;14;25132507426000
114;4;25135007425750
115;3;25135007426000
116;2;25165007426250
117;4;25165007426500
118;1;24977507431500
119;2;25005007435000
120;4;25002507435250
121;1;25005007435250
122;2;24990007435500
123;3;24990007435750
124;2;25005007435500
125;6;24990007436250
126;2;24990007436500
127;2;24990007437000
128;11;25132507426250
129;5;25130007426250
130;1;25132507426500
131;14;25132507426750
132;4;25135007426750
133;5;25135007427000
134;1;25132507427000
135;6;25132507427250
136;1;25132507427500
137;2;25135007427250
138;2;25135007427500
139;5;25135007427750
140;9;25130007428500
141;4;25132507428750
142;6;25130007428750
143;5;25132507429000
144;34;25132507429250
145;2;25162507427250
146;6;25167507427500
147;2;25165007427500
148;4;25160007428000
149;2;25147507428500
150;7;25147507428750
151;4;25150007429000
152;6;25150007429250
153;12;25147507429000
154;11;25147507429250
155;7;25145007429250
156;5;25147507429500
157;8;25142507429500
158;4;25145007429500
159;7;25142507429750
160;5;25147507429750
161;2;25142507430250
162;14;25142507430500
163;53;25135007429250
164;50;25135007429500
165;4;25140007429500
166;1;25137507429500
167;14;25135007429750
168;10;25132507429500
169;1;25125007429750
170;9;25137507429750
171;13;25137507430000
172;1;25140007430000
173;1;25135007430000
174;25;25140007430250
175;13;25135007430250
176;12;25137507430250
177;19;25135007430500
178;10;25140007430500
179;187;25137507430500
180;28;25140007430750
181;19;25137507430750
182;4;25140007431000
183;33;25140007431250
184;19;25137507431250
185;19;25140007431500
186;11;25140007431750
187;13;25142507430750
188;2;25142507431250
189;3;25142507431500
190;4;25145007432500
191;12;25147507432500
192;8;25145007432750
193;18;25147507432750
194;7;25147507433000
195;6;25150007432500
196;3;25150007432750
197;4;25155007433250
198;22;25147507433250
199;1;25145007433250
200;15;25147507433500
201;7;25147507433750
202;5;25150007433750
203;3;25152507434000
204;6;25150007434000
205;3;25152507434250
206;6;25155007434250
207;6;25155007434500
208;5;25157507434500
209;13;25157507434750
210;8;25160007434750
211;1;25155007434750
212;4;25155007435000
213;5;25157507435000
214;2;25160007435000
215;4;25157507435250
216;3;25160007435500
217;15;25160007435750
218;2;25160007436000
219;3;23002506531750
220;4;23000006532000
221;10;22995006531750
222;2;22992506532000
223;2;22995006532000
224;1;22990006533750
225;1;22992506533500
226;2;22997506533750
227;1;22995006533750
228;2;23005006533750
229;2;23005006534000
230;1;23007506534000
231;2;23000006534500
232;2;23000006534750
233;2;22990006534000
234;4;22990006534250
235;2;22990006534750
236;4;22992506534000
237;4;22995006534500
238;4;22995006534750
239;2;22992506535000
240;8;22997506535250
241;4;22995006535250
242;7;22992506535250
243;4;22987506535500
244;2;22990006535500
245;2;22987506535750
246;3;22990006535750
247;1;22987506536000
248;1;22990006536250
249;4;22990006536500
250;3;22997506535750
251;7;22997506536000
252;1;22997506536250
253;4;22997506536500
254;1;22997506536750
255;5;22997506537000
256;2;22995006537000
257;11;22995006537250
258;2;23000006535000
259;6;23000006535500
260;1;23002506536250
261;1;23032506535000
262;2;23032506535250
263;1;23032506535500
264;1;23030006536250
265;2;22980006536750
266;3;22980006537000
267;1;22997506537250
268;2;22995006537500
269;3;22997506537500
270;5;22992506537750
271;4;22997506538500
272;1;22997506538750
273;1;22997506539000
274;2;22995006539250
275;2;22997506539500
276;1;23000006537250
277;1;23000006537500
278;4;23000006538500
279;5;23000006539500
280;4;23000006539750
281;2;23002506539750
282;2;23002506540000
283;4;23000006540000
284;1;23002506540500
285;2;23015006541250
286;2;23000006540750
287;2;23005006541250
288;2;23020006540750
289;11;22997506539750
290;5;22997506540250
291;3;22995006540250
292;4;22997506540500
293;3;22977506540000
294;2;22980006541000
295;5;22980006541250
296;4;22977506541250
297;5;22997506541250
298;1;22997506541500
299;2;22987506541750
300;3;22987506542000
301;2;22990006542000
302;4;22987506542250
303;2;22980006541750
304;4;22995006541500
