ssbid_250,year,populasjon
21725006570000,2001,4.0
21730006570000,2001,4.0
21732506568750,2001,3.0
21732506570000,2001,3.0
21735006568750,2001,1.0
21735006570000,2001,4.0
21737506577750,2001,3.0
21740006590500,2001,9.0
21767506561500,2001,2.0
21770006568000,2001,3.0
21770006568500,2001,5.0
21772506567750,2001,3.0
21772506568000,2001,12.0
21772506568250,2001,6.0
21775006573500,2001,4.0
21777506588250,2001,1.0
21777506588750,2001,2.0
21777506589000,2001,6.0
21780006567250,2001,6.0
21780006573000,2001,3.0
21780006589250,2001,15.0
21782506567000,2001,8.0
21782506567250,2001,2.0
21782506567750,2001,13.0
21782506573500,2001,4.0
21782506588000,2001,7.0
21782506588250,2001,26.0
21782506588750,2001,14.0
21782506589250,2001,1.0
21782506589500,2001,4.0
21782506589750,2001,2.0
21785006561500,2001,1.0
21785006563500,2001,3.0
21785006567500,2001,2.0
21785006587750,2001,3.0
21785006588000,2001,5.0
21785006588500,2001,1.0
21785006588750,2001,4.0
21785006589000,2001,3.0
21785006589500,2001,6.0
21787506572750,2001,2.0
21787506588250,2001,20.0
21787506588750,2001,4.0
21787506589000,2001,7.0
21787506589250,2001,2.0
21787506590000,2001,2.0
21790006562500,2001,5.0
21790006565750,2001,4.0
21790006572500,2001,5.0
21790006572750,2001,11.0
21792506571500,2001,3.0
21792506572000,2001,1.0
21792506572250,2001,6.0
21792506572500,2001,2.0
21795006562500,2001,3.0
21795006567000,2001,2.0
21795006572250,2001,2.0
21795006572500,2001,1.0
21795006575250,2001,4.0
21795006588250,2001,5.0
21795006591500,2001,9.0
21797506562250,2001,4.0
21797506562500,2001,8.0
21797506567250,2001,6.0
21797506572250,2001,1.0
21797506572500,2001,3.0
21797506577750,2001,4.0
21797506584250,2001,3.0
21800006562500,2001,2.0
21800006566750,2001,2.0
21800006567750,2001,2.0
21800006572000,2001,1.0
21800006572500,2001,2.0
21800006572750,2001,3.0
21800006584000,2001,8.0
21802506565000,2001,3.0
21802506566750,2001,1.0
21802506567250,2001,5.0
21802506567500,2001,11.0
21802506567750,2001,6.0
21802506570750,2001,7.0
21802506572000,2001,10.0
21802506572250,2001,14.0
21802506572500,2001,1.0
21802506573000,2001,6.0
21802506573750,2001,4.0
21802506575000,2001,5.0
21802506575250,2001,1.0
21802506578000,2001,3.0
21802506578250,2001,5.0
21805006564750,2001,6.0
21805006571000,2001,8.0
21805006571250,2001,8.0
21805006571750,2001,8.0
21805006572000,2001,2.0
21805006573000,2001,4.0
21805006573250,2001,1.0
21805006573750,2001,1.0
21805006574500,2001,7.0
21805006591500,2001,1.0
21807506564500,2001,8.0
21807506567250,2001,3.0
21807506571250,2001,3.0
21807506571500,2001,3.0
21807506571750,2001,6.0
21807506573750,2001,2.0
21807506574000,2001,4.0
21807506574750,2001,1.0
21807506575000,2001,3.0
21807506578000,2001,5.0
21807506586000,2001,4.0
21810006564250,2001,5.0
21810006566250,2001,2.0
21810006573000,2001,5.0
21810006578000,2001,9.0
21810006585750,2001,3.0
21812506564000,2001,12.0
21812506572750,2001,2.0
21812506575000,2001,6.0
21812506575250,2001,12.0
21812506575500,2001,1.0
21812506576000,2001,3.0
21812506577000,2001,2.0
21812506577250,2001,4.0
21812506585250,2001,4.0
21812506585750,2001,1.0
21812506586250,2001,4.0
21812506593750,2001,1.0
21815006566250,2001,5.0
21815006571250,2001,1.0
21815006574250,2001,2.0
21815006574750,2001,1.0
21815006575750,2001,4.0
21815006576000,2001,4.0
21815006576250,2001,4.0
21815006576500,2001,4.0
21815006577000,2001,7.0
21815006578250,2001,6.0
21815006582000,2001,1.0
21815006582250,2001,2.0
21815006585750,2001,2.0
21815006586250,2001,7.0
21817506561750,2001,11.0
21817506563250,2001,4.0
21817506563500,2001,3.0
21817506563750,2001,3.0
21817506564000,2001,2.0
21817506574750,2001,5.0
21817506576000,2001,2.0
21817506576250,2001,12.0
21817506576500,2001,11.0
21817506576750,2001,4.0
21817506577750,2001,1.0
21817506578250,2001,7.0
21817506578750,2001,4.0
21820006563000,2001,2.0
21820006564750,2001,2.0
21820006565000,2001,46.0
21820006565250,2001,5.0
21820006574500,2001,8.0
21820006575000,2001,3.0
21820006576000,2001,3.0
21820006576250,2001,17.0
21820006576500,2001,17.0
21820006577500,2001,4.0
21820006578000,2001,2.0
21822506565000,2001,37.0
