ssbid_250,År,Populasjon
21725006570000,2001-01-01,4
21730006570000,2001-01-01,4
21732506568750,2001-01-01,3
21732506570000,2001-01-01,3
21735006568750,2001-01-01,1
21735006570000,2001-01-01,4
21737506577750,2001-01-01,3
21740006590500,2001-01-01,9
21767506561500,2001-01-01,2
21770006568000,2001-01-01,3
21770006568500,2001-01-01,5
21772506567750,2001-01-01,3
21772506568000,2001-01-01,12
21772506568250,2001-01-01,6
21775006573500,2001-01-01,4
21777506588250,2001-01-01,1
21777506588750,2001-01-01,2
21777506589000,2001-01-01,6
21780006567250,2001-01-01,6
21780006573000,2001-01-01,3
21780006589250,2001-01-01,15
21782506567000,2001-01-01,8
21782506567250,2001-01-01,2
21782506567750,2001-01-01,13
21782506573500,2001-01-01,4
21782506588000,2001-01-01,7
21782506588250,2001-01-01,26
21782506588750,2001-01-01,14
21782506589250,2001-01-01,1
21782506589500,2001-01-01,4
21782506589750,2001-01-01,2
21785006561500,2001-01-01,1
21785006563500,2001-01-01,3
21785006567500,2001-01-01,2
21785006587750,2001-01-01,3
21785006588000,2001-01-01,5
21785006588500,2001-01-01,1
21785006588750,2001-01-01,4
21785006589000,2001-01-01,3
21785006589500,2001-01-01,6
21787506572750,2001-01-01,2
21787506588250,2001-01-01,20
21787506588750,2001-01-01,4
21787506589000,2001-01-01,7
21787506589250,2001-01-01,2
21787506590000,2001-01-01,2
21790006562500,2001-01-01,5
21790006565750,2001-01-01,4
21790006572500,2001-01-01,5
21790006572750,2001-01-01,11
21792506571500,2001-01-01,3
21792506572000,2001-01-01,1
21792506572250,2001-01-01,6
21792506572500,2001-01-01,2
21795006562500,2001-01-01,3
21795006567000,2001-01-01,2
21795006572250,2001-01-01,2
21795006572500,2001-01-01,1
21795006575250,2001-01-01,4
21795006588250,2001-01-01,5
21795006591500,2001-01-01,9
21797506562250,2001-01-01,4
21797506562500,2001-01-01,8
21797506567250,2001-01-01,6
21797506572250,2001-01-01,1
21797506572500,2001-01-01,3
21797506577750,2001-01-01,4
21797506584250,2001-01-01,3
21800006562500,2001-01-01,2
21800006566750,2001-01-01,2
21800006567750,2001-01-01,2
21800006572000,2001-01-01,1
21800006572500,2001-01-01,2
21800006572750,2001-01-01,3
21800006584000,2001-01-01,8
21802506565000,2001-01-01,3
21802506566750,2001-01-01,1
21802506567250,2001-01-01,5
21802506567500,2001-01-01,11
21802506567750,2001-01-01,6
21802506570750,2001-01-01,7
21802506572000,2001-01-01,10
21802506572250,2001-01-01,14
21802506572500,2001-01-01,1
21802506573000,2001-01-01,6
21802506573750,2001-01-01,4
21802506575000,2001-01-01,5
21802506575250,2001-01-01,1
21802506578000,2001-01-01,3
21802506578250,2001-01-01,5
21805006564750,2001-01-01,6
21805006571000,2001-01-01,8
21805006571250,2001-01-01,8
21805006571750,2001-01-01,8
21805006572000,2001-01-01,2
21805006573000,2001-01-01,4
21805006573250,2001-01-01,1
21805006573750,2001-01-01,1
21805006574500,2001-01-01,7
21805006591500,2001-01-01,1
21807506564500,2001-01-01,8
21807506567250,2001-01-01,3
21807506571250,2001-01-01,3
21807506571500,2001-01-01,3
21807506571750,2001-01-01,6
21807506573750,2001-01-01,2
21807506574000,2001-01-01,4
21807506574750,2001-01-01,1
21807506575000,2001-01-01,3
21807506578000,2001-01-01,5
21807506586000,2001-01-01,4
21810006564250,2001-01-01,5
21810006566250,2001-01-01,2
21810006573000,2001-01-01,5
21810006578000,2001-01-01,9
21810006585750,2001-01-01,3
21812506564000,2001-01-01,12
21812506572750,2001-01-01,2
21812506575000,2001-01-01,6
21812506575250,2001-01-01,12
21812506575500,2001-01-01,1
21812506576000,2001-01-01,3
21812506577000,2001-01-01,2
21812506577250,2001-01-01,4
21812506585250,2001-01-01,4
21812506585750,2001-01-01,1
21812506586250,2001-01-01,4
21812506593750,2001-01-01,1
21815006566250,2001-01-01,5
21815006571250,2001-01-01,1
21815006574250,2001-01-01,2
21815006574750,2001-01-01,1
21815006575750,2001-01-01,4
21815006576000,2001-01-01,4
