Område;Kategori;Kvm;Andel
Grenland;Bunnsjikt;15912330.966610167;0.318389280745121
Porsgrunn;Bunnsjikt;6647897.220016988;0.30425354015546746
Siljan;Bunnsjikt;443191.02512732963;0.37717600934954554
Skien;Bunnsjikt;8821242.719547074;0.3272859033870139
Grenland;Busksjikt;4443776.848739532;0.08891537749125943
Porsgrunn;Busksjikt;2109863.966248383;0.0965618991588269
Siljan;Busksjikt;68636.19846660794;0.0584125714800315
Skien;Busksjikt;2265276.6827504453;0.08404633554551874
Grenland;Tresjikt;4770514.207666507;0.0954530540214681
Porsgrunn;Tresjikt;2417344.6139675956;0.11063433026022525
Siljan;Tresjikt;85634.69657685967;0.07287907761092285
Skien;Tresjikt;2267534.894192583;0.08413011974638208
