ssbid;SSB_sentrum2019_intersect;SSB_sentrum2019_centroid;SSB_sentrum2024_intersect;SSB_sentrum2024_centroid;Hovedsentrum2019_intersect;Hovedsentrum2019_centroid;Hovedsentrum2024_intersect;Hovedsentrum2024_centroid;Kommune;Antall innbyggere;År
21937506568000;1.0;;1.0;;1.0;;1.0;;Porsgrunn;26;2001-01-01
21937506567750;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;18;2001-01-01
21937506567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;6;2001-01-01
21942506567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;6;2001-01-01
21942506567750;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;41;2001-01-01
21942506568250;1.0;;1.0;;1.0;;1.0;;Porsgrunn;165;2001-01-01
21942506568000;1.0;;1.0;;1.0;;1.0;;Porsgrunn;177;2001-01-01
21940006567750;1.0;;1.0;;1.0;;1.0;;Porsgrunn;193;2001-01-01
21940006567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;21;2001-01-01
21940006567250;1.0;;;;1.0;;;;Porsgrunn;13;2001-01-01
21925006575750;1.0;;1.0;;1.0;;1.0;;Skien;85;2001-01-01
21925006575500;1.0;;1.0;;1.0;;1.0;;Skien;156;2001-01-01
21925006575250;1.0;;1.0;;1.0;;1.0;;Skien;209;2001-01-01
21932506570750;1.0;;;;;;;;Skien;12;2001-01-01
21932506570500;1.0;;;;;;;;Skien;8;2001-01-01
21935006568000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;35;2001-01-01
21935006567500;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;47;2001-01-01
21932506567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;25;2001-01-01
21945006568250;1.0;;1.0;;1.0;;1.0;;Porsgrunn;284;2001-01-01
21945006568000;1.0;;1.0;;1.0;;1.0;;Porsgrunn;68;2001-01-01
21945006567500;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;51;2001-01-01
21945006567750;1.0;;1.0;;1.0;;1.0;;Porsgrunn;10;2001-01-01
21897506576500;;;1.0;;;;;;Skien;3;2001-01-01
21900006576750;;;1.0;;;;;;Skien;11;2001-01-01
21900006576500;;;1.0;;;;;;Skien;4;2001-01-01
21897506576750;;;1.0;;;;;;Skien;8;2001-01-01
21917506576250;1.0;;1.0;;1.0;;1.0;;Skien;79;2001-01-01
21917506576000;1.0;;1.0;;1.0;;1.0;;Skien;34;2001-01-01
21917506575750;1.0;;1.0;;1.0;;1.0;;Skien;68;2001-01-01
21917506575500;1.0;;;;1.0;;;;Skien;96;2001-01-01
21917506575250;1.0;;1.0;;1.0;;1.0;;Skien;149;2001-01-01
21917506574250;1.0;1.0;1.0;1.0;;;;;Skien;15;2001-01-01
21922506576000;1.0;;1.0;;1.0;;1.0;;Skien;30;2001-01-01
21922506575750;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;145;2001-01-01
21922506575500;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;116;2001-01-01
21922506575250;1.0;;1.0;;1.0;;1.0;;Skien;173;2001-01-01
21925006573000;1.0;;;;;;;;Skien;94;2001-01-01
21920006576250;1.0;;1.0;;1.0;;1.0;;Skien;163;2001-01-01
21920006576000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;72;2001-01-01
21920006575750;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;134;2001-01-01
21920006575500;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;104;2001-01-01
21920006575250;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Skien;54;2001-01-01
21920006575000;;;1.0;;;;1.0;;Skien;16;2001-01-01
21920006573250;;;1.0;;;;;;Skien;19;2001-01-01
21920006574250;1.0;;1.0;;;;;;Skien;5;2001-01-01
21912506574750;1.0;;1.0;;;;;;Skien;51;2001-01-01
21912506574000;1.0;1.0;;;;;;;Skien;27;2001-01-01
21910006574750;1.0;;1.0;;;;;;Skien;68;2001-01-01
21910006575000;1.0;;1.0;;;;;;Skien;6;2001-01-01
21910006575000;1.0;;1.0;;;;;;Skien;16;2002-01-01
21910006574750;1.0;;1.0;;;;;;Skien;3;2002-01-01
21910006573750;1.0;;;;;;;;Skien;99;2002-01-01
21910006574000;1.0;;;;;;;;Skien;3;2002-01-01
21912506574000;1.0;1.0;;;;;;;Skien;31;2002-01-01
21912506574750;1.0;;1.0;;;;;;Skien;100;2002-01-01
21900006576500;;;1.0;;;;;;Skien;6;2002-01-01
21900006576750;;;1.0;;;;;;Skien;39;2002-01-01
21897506576500;;;1.0;;;;;;Skien;15;2002-01-01
21897506576750;;;1.0;;;;;;Skien;188;2002-01-01
21945006568250;1.0;;1.0;;1.0;;1.0;;Porsgrunn;122;2002-01-01
21945006568000;1.0;;1.0;;1.0;;1.0;;Porsgrunn;67;2002-01-01
21945006567500;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Porsgrunn;84;2002-01-01
21945006567750;1.0;;1.0;;1.0;;1.0;;Porsgrunn;24;2002-01-01
21940006567750;1.0;;1.0;;1.0;;1.0;;Porsgrunn;51;2002-01-01
21940006567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;138;2002-01-01
21940006567250;1.0;;;;1.0;;;;Porsgrunn;123;2002-01-01
21942506568250;1.0;;1.0;;1.0;;1.0;;Porsgrunn;44;2002-01-01
21942506568000;1.0;;1.0;;1.0;;1.0;;Porsgrunn;12;2002-01-01
21942506567500;1.0;;1.0;;1.0;;1.0;;Porsgrunn;173;2002-01-01
