ogc_fid;SSBID250M;est_tot;emp_tot
1;19250006618000;1;0
2;19252506617250;1;0
3;19252506618500;2;0
4;19255006616750;1;0
5;19255006617000;4;2
6;19255006617250;2;0
7;19255006617500;4;22
8;19255006617750;1;1
9;19255006618500;1;0
10;19257506616750;1;4
11;19257506617000;1;2
12;19257506617250;1;0
13;19257506617500;1;10
14;19262506617250;1;0
15;19387506630750;1;0
16;19390006630500;2;11
17;19392506630750;1;0
18;19400006604000;1;0
19;19402506602500;4;0
20;19402506602750;4;2
21;19402506603750;4;0
22;19402506604750;1;0
23;19405006600750;1;0
24;19405006601000;3;4
25;19405006601250;1;0
26;19405006601500;2;0
27;19405006601750;1;0
28;19405006602000;1;0
29;19405006602250;1;0
30;19405006602750;2;0
31;19405006603750;4;0
32;19405006604250;1;0
33;19405006604750;3;0
34;19405006606500;3;1
35;19405006782250;1;16
36;19407506600500;2;0
37;19407506602000;1;0
38;19407506603250;1;17
39;19407506603500;1;0
40;19407506604000;1;0
41;19407506604250;2;0
42;19407506605250;2;0
43;19407506606000;2;0
44;19407506606500;2;0
45;19407506606750;5;4
46;19407506607000;3;0
47;19407506782250;1;0
48;19407506782500;1;0
49;19410006598000;1;0
50;19410006600000;4;2
51;19410006600500;3;1
52;19410006600750;1;0
53;19410006605250;2;2
54;19410006605500;6;12
55;19410006605750;2;0
56;19410006606000;3;0
57;19410006606250;3;2
58;19410006606500;2;0
59;19410006606750;1;0
60;19410006782250;1;0
61;19410006782500;1;8
62;19412506603750;3;0
63;19412506605000;3;0
64;19412506605500;2;0
65;19412506605750;2;3
66;19412506606000;1;0
67;19412506606250;3;0
68;19412506609250;6;21
69;19412506609500;14;40
70;19412506609750;10;8
71;19412506610000;12;59
72;19412506610250;2;28
73;19412506610500;3;1
74;19412506782000;3;47
75;19412506782250;7;344
76;19412506782500;1;0
77;19415006597750;1;0
78;19415006598000;1;0
79;19415006598250;1;0
80;19415006600250;1;0
81;19415006603500;1;1
82;19415006605000;3;1
83;19415006605500;1;0
84;19415006605750;2;24
85;19415006606000;1;5
86;19415006606250;1;0
87;19415006606500;1;1
88;19415006606750;3;0
89;19415006607000;9;2
90;19415006607250;2;0
91;19415006608000;1;0
92;19415006609250;14;10
93;19415006609500;2;2
94;19415006609750;6;4
95;19415006610000;5;0
96;19415006610250;16;10
