ssbid_250,År,ant_virksomheter,ant_ansatte
21760006568250,2013-01-01,1,0
21762506568000,2013-01-01,1,0
21765006573500,2013-01-01,2,0
21767506588250,2013-01-01,1,0
21767506588750,2013-01-01,2,0
21770006567250,2013-01-01,1,0
21770006589250,2013-01-01,1,0
21772506567000,2013-01-01,3,1
21772506567750,2013-01-01,2,0
21772506573500,2013-01-01,1,0
21772506588250,2013-01-01,1,0
21772506588750,2013-01-01,2,0
21772506589250,2013-01-01,1,0
21775006561500,2013-01-01,1,0
21775006587750,2013-01-01,1,0
21775006588000,2013-01-01,1,0
21777506572750,2013-01-01,1,0
21777506589000,2013-01-01,2,0
21777506589250,2013-01-01,1,0
21780006565750,2013-01-01,2,1
21782506572000,2013-01-01,1,0
21782506572250,2013-01-01,1,2
21782506572500,2013-01-01,1,0
21785006567000,2013-01-01,1,1
21785006575250,2013-01-01,1,0
21787506562500,2013-01-01,1,0
21787506577750,2013-01-01,1,0
21790006562500,2013-01-01,1,0
21790006567750,2013-01-01,2,0
21790006572750,2013-01-01,1,6
21792506567500,2013-01-01,3,3
21792506570750,2013-01-01,1,0
21792506572500,2013-01-01,1,0
21792506573000,2013-01-01,1,1
21792506573750,2013-01-01,1,0
21792506578250,2013-01-01,1,0
21795006571250,2013-01-01,2,0
21795006571750,2013-01-01,1,0
21795006573750,2013-01-01,1,0
21795006574500,2013-01-01,1,0
21797506571250,2013-01-01,1,0
21797506574000,2013-01-01,1,0
21797506575000,2013-01-01,2,0
21797506578000,2013-01-01,1,0
21800006564250,2013-01-01,2,0
21800006573000,2013-01-01,1,0
21800006577500,2013-01-01,1,0
21800006578000,2013-01-01,1,0
21802506576000,2013-01-01,1,0
21802506577000,2013-01-01,1,0
21802506577250,2013-01-01,1,0
21805006564000,2013-01-01,1,0
21805006566250,2013-01-01,1,0
21805006576000,2013-01-01,1,0
21805006576250,2013-01-01,1,0
21805006577000,2013-01-01,3,0
21805006578250,2013-01-01,1,0
21807506561750,2013-01-01,2,0
21807506563500,2013-01-01,1,0
21807506576250,2013-01-01,3,2
21810006565000,2013-01-01,1,5
21810006565250,2013-01-01,1,0
21810006574500,2013-01-01,2,0
21810006575000,2013-01-01,1,0
21810006576000,2013-01-01,1,0
21810006576250,2013-01-01,1,0
21810006576500,2013-01-01,1,0
21812506565000,2013-01-01,2,5
21812506565250,2013-01-01,1,0
21812506565750,2013-01-01,1,0
21812506566250,2013-01-01,2,8
21812506567250,2013-01-01,1,0
21812506577750,2013-01-01,1,0
21812506578000,2013-01-01,1,0
21812506578250,2013-01-01,1,0
21815006564500,2013-01-01,2,0
21815006565750,2013-01-01,1,1
21815006567000,2013-01-01,1,0
21815006576500,2013-01-01,1,2
21815006576750,2013-01-01,2,1
21815006577000,2013-01-01,2,58
21815006577500,2013-01-01,3,0
21817506577000,2013-01-01,1,0
21817506577500,2013-01-01,3,1
21822506563750,2013-01-01,1,0
21822506575750,2013-01-01,1,0
21825006575000,2013-01-01,1,0
21825006577500,2013-01-01,1,0
21827506580750,2013-01-01,1,0
21830006574500,2013-01-01,1,0
21830006574750,2013-01-01,2,0
21832506574750,2013-01-01,2,0
21832506575000,2013-01-01,2,0
21832506575250,2013-01-01,4,0
21832506580250,2013-01-01,1,1
21835006575250,2013-01-01,2,0
21837506574500,2013-01-01,3,0
21837506574750,2013-01-01,1,0
21837506575000,2013-01-01,1,9
21840006574000,2013-01-01,1,0
21840006574250,2013-01-01,1,0
21842506566750,2013-01-01,1,0
21842506574000,2013-01-01,1,0
21842506575250,2013-01-01,1,0
21845006573750,2013-01-01,1,0
21845006574000,2013-01-01,4,0
21845006579000,2013-01-01,1,0
21845006579250,2013-01-01,1,0
21845006579500,2013-01-01,2,0
21847506574250,2013-01-01,1,0
21850006573750,2013-01-01,1,3
21850006574250,2013-01-01,2,0
21850006575500,2013-01-01,1,0
21850006578500,2013-01-01,1,0
21850006578750,2013-01-01,1,2
21852506577500,2013-01-01,1,0
21855006574750,2013-01-01,3,3
21857506566750,2013-01-01,1,0
21857506567250,2013-01-01,2,0
21857506569750,2013-01-01,1,0
