Kategori,Kommune,År,Verdi,Type
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,36.750483558994205,Boligbebyggelse
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,4.642166344294004,Fritidsbebyggelse
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,2.6692456479690523,Bebyggelse for landbruk og fiske
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,17.601547388781434,"Næring, offentlig og privat tjenestyting"
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,11.566731141199229,Annen bebyggelse og anlegg
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,3.5589941972920696,"Grønne områder, idretts- og sportsområder"
Andel bebygd areal etter arealbruksklasse,Porsgrunn,2024,23.210831721470022,Veg
Andel bebygd areal etter arealbruksklasse,Skien,2024,32.94981640146879,Boligbebyggelse
Andel bebygd areal etter arealbruksklasse,Skien,2024,1.9828641370869033,Fritidsbebyggelse
Andel bebygd areal etter arealbruksklasse,Skien,2024,8.176254589963278,Bebyggelse for landbruk og fiske
Andel bebygd areal etter arealbruksklasse,Skien,2024,10.917992656058752,"Næring, offentlig og privat tjenestyting"
Andel bebygd areal etter arealbruksklasse,Skien,2024,10.991432068543453,Annen bebyggelse og anlegg
Andel bebygd areal etter arealbruksklasse,Skien,2024,5.581395348837209,"Grønne områder, idretts- og sportsområder"
Andel bebygd areal etter arealbruksklasse,Skien,2024,29.32680538555691,Veg
Andel bebygd areal etter arealbruksklasse,Siljan,2024,23.389021479713605,Boligbebyggelse
Andel bebygd areal etter arealbruksklasse,Siljan,2024,4.2959427207637235,Fritidsbebyggelse
Andel bebygd areal etter arealbruksklasse,Siljan,2024,9.546539379474941,Bebyggelse for landbruk og fiske
Andel bebygd areal etter arealbruksklasse,Siljan,2024,3.102625298329356,"Næring, offentlig og privat tjenestyting"
Andel bebygd areal etter arealbruksklasse,Siljan,2024,6.682577565632459,Annen bebyggelse og anlegg
Andel bebygd areal etter arealbruksklasse,Siljan,2024,3.3412887828162297,"Grønne områder, idretts- og sportsområder"
Andel bebygd areal etter arealbruksklasse,Siljan,2024,49.6420047732697,Veg
"Nedbygd jordbruksareal, årlig gjennomsnitt. Dekar",Porsgrunn,2015,32.0,
"Nedbygd jordbruksareal, årlig gjennomsnitt. Dekar",Skien,2015,81.0,
"Nedbygd jordbruksareal, årlig gjennomsnitt. Dekar",Siljan,2015,1.0,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2017,33.7,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2018,34.5,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2019,35.13434408476263,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2020,35.66114987601638,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2021,36.36208368915457,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2022,37.146239711354156,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Porsgrunn,2023,37.511210762331835,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2017,34.6,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2018,35.3,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2019,35.92968811999048,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2020,36.5503160705171,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2021,37.02150788104667,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2022,37.483225336451824,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Skien,2023,38.14128085542032,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2017,39.6,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2018,39.4,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2019,39.1173520561685,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2020,40.357852882703774,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2021,41.38266796494644,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2022,43.05283757338552,
Andel husholdninger bestående av eldre minst 67 år. Prosent,Siljan,2023,43.03317535545024,
Andel personer i lavinntekthusholdning (EU60). Prosent,Porsgrunn,2018,11.4,
Andel personer i lavinntekthusholdning (EU60). Prosent,Porsgrunn,2019,11.4,
Andel personer i lavinntekthusholdning (EU60). Prosent,Porsgrunn,2020,11.3,
Andel personer i lavinntekthusholdning (EU60). Prosent,Porsgrunn,2021,11.7,
Andel personer i lavinntekthusholdning (EU60). Prosent,Porsgrunn,2022,11.7,
Andel personer i lavinntekthusholdning (EU60). Prosent,Skien,2018,13.6,
Andel personer i lavinntekthusholdning (EU60). Prosent,Skien,2019,13.4,
Andel personer i lavinntekthusholdning (EU60). Prosent,Skien,2020,13.200000000000001,
Andel personer i lavinntekthusholdning (EU60). Prosent,Skien,2021,13.200000000000001,
Andel personer i lavinntekthusholdning (EU60). Prosent,Skien,2022,12.9,
Andel personer i lavinntekthusholdning (EU60). Prosent,Siljan,2018,10.7,
