Dato,Furulund NO2 µg/m³,Furulund PM10 µg/m³,Haukenes NO2 µg/m³,Knarrdalstranda NO2 µg/m³,Knarrdalstranda PM10 µg/m³,Lensmannsdalen NO2 µg/m³,Lensmannsdalen PM10 µg/m³,Sverresgate NO2 µg/m³,Sverresgate PM10 µg/m³,Datadekning (%),Datadekning (%).1,Datadekning (%).2,Datadekning (%).3,Datadekning (%).4,Datadekning (%).5,Datadekning (%).6,Datadekning (%).7,Datadekning (%).8
2014-01-01,,,9.2107705,,,16.85597936,27.65125,15.19595971,25.66666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-02,,,6.99219747,,,15.66571822,14.91875,17.10817004,14.95083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-03,,,5.75805317,,,24.01884809,15.06083333,21.60920042,14.32291667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-04,,,4.59557288,,,31.29377797,18.21416667,28.59257413,19.0025,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-05,,,3.62989268,,,10.0388034,13.76833333,14.44884311,13.41083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-06,,,5.54165427,,,29.73210082,17.16,25.12878701,15.38625,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-07,,,2.63570384,,,34.39375875,53.90916667,22.44124647,32.14291667,1.0,0.96,0.96,0.96,1.0,,,,
2014-01-08,,,6.94844464,,,45.81827072,24.71333333,45.42009043,21.04666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-09,,,1.48826536,,,25.56314566,6.00695652,21.10374169,5.40833333,0.96,1.0,1.0,1.0,1.0,,,,
2014-01-10,,,9.52877663,,,39.50329123,21.21625,42.60990273,23.95708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-11,,,6.36284685,,,20.93771481,11.98541667,18.13843168,10.43625,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-12,,,1.73771731,,,23.36425366,14.25875,17.20522689,10.6975,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-13,,,2.36481621,,,24.88301347,11.34833333,17.65585712,8.26375,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-14,,,0.78902533,,,26.45933305,11.89833333,12.08237489,7.65875,1.0,0.92,0.92,0.96,1.0,,,,
2014-01-15,,,0.95288736,,,23.27389701,9.0475,11.59150663,6.765,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-16,,,3.26338103,,,9.98446797,6.90708333,17.70542435,6.84291667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-17,,,1.32393483,,,16.69209183,7.425,16.99550969,6.20583333,0.92,1.0,1.0,1.0,1.0,,,,
2014-01-18,,,0.92363745,,,10.19721721,10.01458333,8.72840323,8.07583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-19,,,0.35598106,,,9.70462219,9.46,7.04155,7.37916667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-20,,,0.60086969,,,15.83136229,8.31875,10.0616293,7.2875,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-21,,,0.78111484,,,19.3512557,9.90458333,10.13490889,8.44708333,1.0,0.96,0.92,0.92,1.0,,,,
2014-01-22,,,1.10469134,,,16.82164907,8.195,13.75982531,7.755,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-23,,,2.75485212,,,14.68271331,8.12166667,22.42491462,7.98875,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-24,,,2.82963368,,,19.64258848,9.185,22.67152264,8.85958333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-25,,,1.78780682,,,9.29460694,16.65583333,11.54509132,15.66125,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-26,,,0.34804958,,,4.08709882,7.98875,7.5279905,7.63583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-27,,,2.44017577,,,12.03544203,8.25458333,23.48769071,8.61666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-28,,,3.19821581,,,9.35940046,10.89916667,26.73356076,11.605,1.0,0.96,0.92,0.96,1.0,,,,
2014-01-29,,,1.09103855,,,15.66960349,9.625,16.94262417,9.07041667,1.0,1.0,1.0,1.0,1.0,,,,
2014-01-30,,,1.85940206,,,20.55438099,7.82375,15.95888595,7.74583333,1.0,1.0,1.0,1.0,1.0,,,,
