Kommune,År,Utslippskilde,Utslipp
Porsgrunn,2009,Busser,1.17
Porsgrunn,2009,Busser,2657.35
Porsgrunn,2009,Busser,7.01
Porsgrunn,2009,Personbiler,192.82
Porsgrunn,2009,Personbiler,48407.74
Porsgrunn,2009,Personbiler,299.94
Porsgrunn,2009,Tunge kjøretøy,4.06
Porsgrunn,2009,Tunge kjøretøy,17549.23
Porsgrunn,2009,Tunge kjøretøy,45.18
Porsgrunn,2009,Varebiler,17.49
Porsgrunn,2009,Varebiler,10258.93
Porsgrunn,2009,Varebiler,62.49
Porsgrunn,2011,Busser,0.83
Porsgrunn,2011,Busser,2557.66
Porsgrunn,2011,Busser,9.02
Porsgrunn,2011,Personbiler,158.16
Porsgrunn,2011,Personbiler,46389.02
Porsgrunn,2011,Personbiler,294.54
Porsgrunn,2011,Tunge kjøretøy,3.33
Porsgrunn,2011,Tunge kjøretøy,18261.32
Porsgrunn,2011,Tunge kjøretøy,72.04
Porsgrunn,2011,Varebiler,13.95
Porsgrunn,2011,Varebiler,10554.53
Porsgrunn,2011,Varebiler,64.58
Porsgrunn,2013,Busser,0.5
Porsgrunn,2013,Busser,2459.79
Porsgrunn,2013,Busser,18.94
Porsgrunn,2013,Personbiler,136.61
Porsgrunn,2013,Personbiler,44883.78
Porsgrunn,2013,Personbiler,297.33
Porsgrunn,2013,Tunge kjøretøy,2.46
Porsgrunn,2013,Tunge kjøretøy,18732.82
Porsgrunn,2013,Tunge kjøretøy,114.42
Porsgrunn,2013,Varebiler,13.64
Porsgrunn,2013,Varebiler,10534.76
Porsgrunn,2013,Varebiler,67.35
Porsgrunn,2015,Busser,0.66
Porsgrunn,2015,Busser,2605.01
Porsgrunn,2015,Busser,16.33
Porsgrunn,2015,Personbiler,133.58
Porsgrunn,2015,Personbiler,43524.6
Porsgrunn,2015,Personbiler,314.64
Porsgrunn,2015,Tunge kjøretøy,2.19
Porsgrunn,2015,Tunge kjøretøy,19498.88
Porsgrunn,2015,Tunge kjøretøy,143.83
Porsgrunn,2015,Varebiler,16.53
Porsgrunn,2015,Varebiler,10399.43
Porsgrunn,2015,Varebiler,74.94
Porsgrunn,2016,Busser,0.43
Porsgrunn,2016,Busser,2536.44
