Kommune;Andel;Label;;;;;;;;;;;;
Porsgrunn;25;Porsgrunn;;;;;;;;;;;;
Skien;27;Skien;;;;;;;;;;;;
Notodden;30;Notodden;;;;;;;;;;;;
Siljan;21;Siljan;;;;;;;;;;;;
Bamble;23;Bamble;;;;;;;;;;;;
Kragerø;22;Kragerø;;;;;;;;;;;;
Drangedal;26;Drangedal;;;;;;;;;;;;
Nome;27;Nome;;;;;;;;;;;;
Midt-Telemark;27;Midt-Telemark;;;;;;;;;;;;
Seljord;26;Seljord;;;;;;;;;;;;
Hjartdal;29;Hjartdal;;;;;;;;;;;;
Tinn;22;Tinn;;;;;;;;;;;;
Kviteseid;24;Kviteseid;;;;;;;;;;;;
Nissedal;25;Nissedal;;;;;;;;;;;;
Fyresdal;21;Fyresdal;;;;;;;;;;;;
Tokke;22;Tokke;;;;;;;;;;;;
Vinje;22;Vinje;;;;;;;;;;;;
