Levekårssone_ID;Levekårssone_navn;Kommunenummer
400101;Sentrum vest;4001
400102;Sentrum øst;4001
400103;Sentrum sør;4001
400104;Herøya – Stridsklev;4001
400105;Heistad – Skjelsvik – Brevik;4001
400106;Tveten – Moheim – Langangen;4001
400301;Nenset – Klyve;4003
400302;Borgestad – Menstad – Bøle;4003
400303;Kjørbekk – Gråtenmoen;4003
400304;Gimsøy – Moflata;4003
400305;Bratsberg – Gjerpen;4003
400306;Sentrum – Bakken – Falkum;4003
400307;Øvre Falkum – Nordre bydel;4003
400308;Vadrette – Einaren;4003
400309;Strømdal – Hyni;4003
400310;Strømdalsjordet – Nyhus – Ravnåsen;4003
400311;Stigeråsen;4003
400312;Rising – Venstøp;4003
400313;Skotfoss – Åfoss – Melum – Kilebygda;4003
400501;Omland Notodden;4005
400502;Sentrum;4005
400503;Tveiten – Høgås;4005
401201;Rugtvedt – Herre;4012
401202;Stathelle;4012
401203;Langesund;4012
401401;Ytre Kragerø;4014
401402;Sentrum;4014
401601;Drangedal nord/øst;4016
401602;Drangedal sør;4016
401801;Lunde;4018
401802;Ulefoss;4018
402001;Midt – Telemark øst;4020
402002;Midt – Telemark vest;4020
402003;Bø sentrum;4020
402601;Rjukan;4026
402602;Bygdene i Tinn;4026
403601;Åmot – Haukeli – Vågsli;4036
403602;Rauland – Øyfjell – Møsstrond;4036
