Kommunenummer;Kommunenummer_2025;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall_original;Andel_original;Antall_vektet;Andel_vektet;Spørsmålskode;Årstall
40;40;Telemark;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;17163;0.7049;38829.49;0.7086;FHUS_40_2025_Q1_fk1g1s1;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;16388;0.6826;38617.78;0.7152;FHUS_40_2025_Q1_fk1g2s1;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;18689;0.7796;42702.18;0.7919;FHUS_40_2025_Q1_fk1g2s2;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;16970;0.7076;40664.32;0.7538;FHUS_40_2025_Q1_fk1g2s3;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;transport;Hvordan opplever du tilgjengeligheten til offentlig transport?;Selectbox;999;God eller svært god;10129;0.4225;25759.35;0.4777;FHUS_40_2025_Q1_fk1g2s4;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;natur;Hvordan opplever du tilgjengeligheten til natur- og friluftsområder, inkludert parker og andre grøntarealer?;Selectbox;999;God eller svært god;22252;0.9286;49513.96;0.9186;FHUS_40_2025_Q1_fk1g2s5;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;sjoe;Hvordan opplever du tilgjengeligheten til kystlinje/strand eller sjø/innsjø der du bor?;Selectbox;999;God eller svært god;16742;0.6983;38832.44;0.72;FHUS_40_2025_Q1_fk1g2s6;2025
40;40;Telemark;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;gang;Opplever du at gang- og sykkelveier er godt utbygde i ditt nærområde?;Selectbox;999;God eller svært god;12866;0.5364;30586.92;0.5669;FHUS_40_2025_Q1_fk1g2s7;2025
40;40;Telemark;Deltakelse i aktiviteter;Deltagelse i aktiviteter;organisert;Hvor ofte deltar du i organisert aktivitet / frivillig arbeid, som f.eks. idrettslag, politiske lag, trossamfunn, kor eller lignende?;Selectbox;999;Ukentlig eller oftere;6820;0.2876;15558.35;0.2916;FHUS_40_2025_Q1_fk2g3s1;2025
40;40;Telemark;Deltakelse i aktiviteter;Deltagelse i aktiviteter;uorganisert;Hvor ofte deltar du i annen aktivitet, som for eksempel klubb, møter, treffe venner, trimturer med venner/kolleger eller andre?;Selectbox;999;Ukentlig eller oftere;10040;0.4224;23381.46;0.4372;FHUS_40_2025_Q1_fk2g3s2;2025
