Levekårssone;Levekårssone navn;Kommunenummer;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall;Andel;Spørsmålskode;Årstall;Datatype
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;378;0.7397;FHUS_40_2025_Q1_fk1g1s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;447;0.8869;FHUS_40_2025_Q1_fk1g2s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;411;0.8155;FHUS_40_2025_Q1_fk1g2s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;463;0.9205;FHUS_40_2025_Q1_fk1g2s3;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;transport;Hvordan opplever du tilgjengeligheten til offentlig transport?;Selectbox;999;God eller svært god;343;0.6806;FHUS_40_2025_Q1_fk1g2s4;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;natur;Hvordan opplever du tilgjengeligheten til natur- og friluftsområder, inkludert parker og andre grøntarealer?;Selectbox;999;God eller svært god;457;0.9067;FHUS_40_2025_Q1_fk1g2s5;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;sjoe;Hvordan opplever du tilgjengeligheten til kystlinje/strand eller sjø/innsjø der du bor?;Selectbox;999;God eller svært god;382;0.7579;FHUS_40_2025_Q1_fk1g2s6;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;gang;Opplever du at gang- og sykkelveier er godt utbygde i ditt nærområde?;Selectbox;999;God eller svært god;364;0.7237;FHUS_40_2025_Q1_fk1g2s7;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;organisert;Hvor ofte deltar du i organisert aktivitet / frivillig arbeid, som f.eks. idrettslag, politiske lag, trossamfunn, kor eller lignende?;Selectbox;999;Ukentlig eller oftere;139;0.2786;FHUS_40_2025_Q1_fk2g3s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;uorganisert;Hvor ofte deltar du i annen aktivitet, som for eksempel klubb, møter, treffe venner, trimturer med venner/kolleger eller andre?;Selectbox;999;Ukentlig eller oftere;234;0.468;FHUS_40_2025_Q1_fk2g3s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helse;Helse;helse;Hvordan vurderer du alt i alt din egen helse?;Selectbox;999;God eller svært god;332;0.6627;FHUS_40_2025_Q1_fk3g4s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helse;Helse;tannhelse;Hvordan vurderer du tannhelsen din?;Selectbox;999;God eller svært god;357;0.7198;FHUS_40_2025_Q1_fk3g4s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helse;Helse;tannlege;Når var du sist hos tannlege/tannpleier?;Selectbox;999;Mer enn to år siden;59;0.1187;FHUS_40_2025_Q1_fk3g4s3;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;sykdom_a;Hvordan påvirker disse sykdommene eller helseproblemene din hverdag?;Selectbox;999;I stor grad;76;0.1473;FHUS_40_2025_Q1_fk3g8s1a;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;funksjonsnedsettelse_a;Hvordan påvirker funksjonsnedsettelsen (plagene) din hverdag?;Selectbox;999;I stor grad;37;0.0717;FHUS_40_2025_Q1_fk3g8s2a;2025;Real data
