Anleggsnavn,Fylke,Kommune,NACE Kode,År,Årlig utslipp til luft,Grunnlagsverdi for luft,Årlig utslipp til vann,Grunnlagsverdi for vann,Enhet,AnleggId,Org.nr.
Norske skog union,Telemark,Skien,17.120,2001-01-01,5925.0,B,,,tonn,5285,974293625
Norske skog union,Telemark,Skien,17.120,2002-01-01,9090.5,B,,,tonn,5285,974293625
Norske skog union,Telemark,Skien,17.120,2003-01-01,16558.7,B,,,tonn,5285,974293625
Norske skog union,Telemark,Skien,17.120,2004-01-01,13694.44,B,,,tonn,5285,974293625
Norske skog union,Telemark,Skien,17.120,2005-01-01,11409.2,B,,,tonn,5285,974293625
Norske skog union,Telemark,Skien,17.120,2006-01-01,12.29,B,,,tonn,5285,974293625
Magnor minerals,Telemark,Porsgrunn,20.130,2005-01-01,5006.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2006-01-01,16523.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2007-01-01,3560.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2008-01-01,17000.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2009-01-01,12400.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2010-01-01,330.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2011-01-01,450.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2012-01-01,13757.42,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2013-01-01,117885.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2014-01-01,153513.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2018-01-01,60409.0,B,,,tonn,5291,984680023
Magnor minerals,Telemark,Porsgrunn,20.130,2017-01-01,28842.0,B,,,tonn,5291,984680023
