agency_id,route_id,route_short_name,route_long_name,route_type
TEL:Authority:91,TEL:Line:8291,291,Skien-Dalen,1015
TEL:Authority:92,TEL:Line:8149,149,Skinnarbu-Mogen,1015
TEL:Authority:TFK_ID,TEL:Line:8001,M1,Gulset-Skien-Langesund,704
TEL:Authority:TFK_ID,TEL:Line:8002,M2,Falkum-Skjelsvik,704
TEL:Authority:TFK_ID,TEL:Line:8003,M3,Skien-Klyve-Skjelsvik,704
TEL:Authority:TFK_ID,TEL:Line:8004,P4,Skotfoss-Ballestad-Hydro,704
TEL:Authority:TFK_ID,TEL:Line:8005,P5,Skien-Bølehøgda-Herre,704
TEL:Authority:TFK_ID,TEL:Line:8006,P6,Jønnevall-Skien-Åfoss,704
TEL:Authority:TFK_ID,TEL:Line:8007,P7,Siljan-Rødmyr-Klyve,704
TEL:Authority:TFK_ID,TEL:Line:8008,P8,Herre-Stathelle-Skjelsvik,704
TEL:Authority:TFK_ID,TEL:Line:8010,P10,Gulset-Kjørbekk-Porsgrunn,704
TEL:Authority:TFK_ID,TEL:Line:8011,1,Notodden-Høgås,704
TEL:Authority:TFK_ID,TEL:Line:8012,2,Notodden-Sjukehuset-Anundskås,704
TEL:Authority:TFK_ID,TEL:Line:8013,3,Notodden-HIT-Skogen-Lienvegen,704
TEL:Authority:TFK_ID,TEL:Line:8014,4,Notodden-Tuven-Stavkrk-Kvantum,704
TEL:Authority:TFK_ID,TEL:Line:8015,5,Notodden-Tinnebyen-Notodden,704
TEL:Authority:TFK_ID,TEL:Line:8016,6,Notodden-Kvantum-Yli-Tuven,704
TEL:Authority:TFK_ID,TEL:Line:8084,84,Stathelle-Herøya industri,704
TEL:Authority:TFK_ID,TEL:Line:8101,101,Haukeli-Åmot,704
TEL:Authority:TFK_ID,TEL:Line:8102,102,Fyresdal-Seljord,704
TEL:Authority:TFK_ID,TEL:Line:8103,103,Lunde-Ulefoss,704
TEL:Authority:TFK_ID,TEL:Line:8104,104,Skree-Vrådal-Kviteseid,712
TEL:Authority:TFK_ID,TEL:Line:8111,111,Ulefoss-Febakke-Langeland,712
TEL:Authority:TFK_ID,TEL:Line:8113,113,Landsmarka-Lunde,712
TEL:Authority:TFK_ID,TEL:Line:8114,114,Tveitankroken,712
TEL:Authority:TFK_ID,TEL:Line:8115,115,Lunde-Tjønnås,712
TEL:Authority:TFK_ID,TEL:Line:8116,116,Bø-Folkestad-Nordbø-Breisås,704
TEL:Authority:TFK_ID,TEL:Line:8117,117,Ulefoss-Berget,704
TEL:Authority:TFK_ID,TEL:Line:8121,121,Bø-Lunde,704
TEL:Authority:TFK_ID,TEL:Line:8122,122,Lunde-Flåbygd,712
TEL:Authority:TFK_ID,TEL:Line:8123,123,Verpe-Tveitan/Vreim-Bø,712
TEL:Authority:TFK_ID,TEL:Line:8127,127,Seljord-Flatdal-Åmotsdal,712
TEL:Authority:TFK_ID,TEL:Line:8128,128,Seljord-Seljordsheii-Åsgrend,712
TEL:Authority:TFK_ID,TEL:Line:8129,129,Åmot-Seljord,704
TEL:Authority:TFK_ID,TEL:Line:8131,131,Vrådal-Nissedal-Treungen-Åmli,704
TEL:Authority:TFK_ID,TEL:Line:8132,132,Dalen-Høydalsmo-Kviteseid,712
TEL:Authority:TFK_ID,TEL:Line:8133,133,Morgedal-Brunkeberg-Kviteseid,712
TEL:Authority:TFK_ID,TEL:Line:8135,135,Fjalestad-Fjone-Treungen,712
TEL:Authority:TFK_ID,TEL:Line:8136,136,Felle-Treungen,712
TEL:Authority:TFK_ID,TEL:Line:8140,140,Dalen/Kviteseid-Seljord-Skien,704
TEL:Authority:TFK_ID,TEL:Line:8141,141,Fyresdal-Dalen,712
TEL:Authority:TFK_ID,TEL:Line:8142,142,Åmot-Dalen,704
TEL:Authority:TFK_ID,TEL:Line:8143,143,Rjukan-Rauland-Åmot,704
TEL:Authority:TFK_ID,TEL:Line:8144,144,Varland-Rauland,712
TEL:Authority:TFK_ID,TEL:Line:8145,145,Byrte-Dalen,712
TEL:Authority:TFK_ID,TEL:Line:8146,146,Arabygdi-Haukeli,704
TEL:Authority:TFK_ID,TEL:Line:8147,147,Kostveit-Åmot,712
TEL:Authority:TFK_ID,TEL:Line:8150,150,Lårdal-Høydalsmo-Åmot,712
TEL:Authority:TFK_ID,TEL:Line:8151,151,Høydalsmo-Øyfjell-Rauland,712
