stop_id,stop_nr,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,parent_nr,wheelchair_boarding,vehicle_type,platform_code,kommunenavn,kommunenummer
NSR:StopPlace:19591,19591,Revura,59.038055,8.266929,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19658,19658,Grundvik,59.193867,8.087916,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19682,19682,Gråndalen,59.130136,8.143256,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19819,19819,Sannes,59.145051,8.087147,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19885,19885,Fardal,59.142023,8.035424,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19911,19911,Hauggrend,59.321277,8.139862,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19999,19999,Hegglandsgrend,59.233835,8.087476,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20030,20030,Skogsleiren,59.232843,7.954847,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20048,20048,Skomedal,59.069205,8.265219,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20088,20088,Flaten,59.232062,8.003056,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20290,20290,Hosum,59.265875,8.079082,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20300,20300,Bondal,59.236424,7.971405,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20401,20401,Momrak,59.136798,8.120355,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20402,20402,Geitestadgrend,59.239113,8.097294,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20404,20404,Fyresdal Gimle skule,59.185883,8.08881,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20623,20623,Nesland,59.158836,8.082681,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20688,20688,Basthommen,59.109445,8.173499,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20739,20739,Bergland,59.167735,8.0837,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20743,20743,Libru,59.247189,7.890004,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20864,20864,Juvahytta,59.092106,8.235135,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20871,20871,Metveit,59.240136,7.931026,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20939,20939,Kilegrend,59.009721,8.273816,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:20955,20955,Breivik,59.116137,8.078576,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21052,21052,Kleivgrend kryss,59.241645,8.08126,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21293,21293,Valebjørg,59.061454,8.265984,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21295,21295,Skårmoen,59.235049,8.058151,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21515,21515,Verpe,59.19979,8.08458,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21572,21572,Veum,59.284264,8.089586,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21608,21608,Vik,59.170267,8.040515,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:21674,21674,Åslandsgrend,59.247417,8.03628,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:60817,60817,Timmerud,59.337147,8.141672,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:60827,60827,Lii,59.130241,8.06907,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:60833,60833,Veum nordre,59.304171,8.119246,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:62135,62135,Gryte,59.254183,8.075713,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:62147,62147,Sundsli,59.018708,8.278619,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:63421,63421,Jernberg,59.136237,7.992556,,sann,,,,700,,Fyresdal,"4032"
NSR:StopPlace:19527,19527,Platonsvingen,59.579432,9.268663,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19561,19561,Ramberghjørnet,59.565499,9.266906,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19574,19574,Grene,59.582612,9.132917,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19588,19588,Rekå,59.60091,9.11645,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19648,19648,Rudsgrend,59.843835,8.948195,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19677,19677,Rygi,59.581071,9.169629,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19713,19713,Grønnvollfoss,59.655204,9.211021,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19752,19752,Sagafoss,59.572629,9.261747,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19853,19853,Schia,59.618563,9.279838,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19868,19868,Sem snuplass,59.570435,9.204782,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19872,19872,Semsøyan,59.564312,9.226644,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19880,19880,Haugan,59.598244,9.06193,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19891,19891,Haugedal,59.520249,9.311193,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19899,19899,Haugen,59.570813,9.166367,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19902,19902,Siljudalen,59.672137,9.016208,,sann,,,,700,,Notodden,"4005"
NSR:StopPlace:19906,19906,Simones,59.518704,9.279876,,sann,,,,700,,Notodden,"4005"
