stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:100010,Bakkeveien,58.960069,9.454173,,,NSR:StopPlace:6466,,700,
NSR:Quay:100016,Tveitanevegen,59.197222,8.518197,,,NSR:StopPlace:6501,,700,
NSR:Quay:100070,Skjelsvik knutepunkt,59.094689,9.687914,,,NSR:StopPlace:20015,,700,2
NSR:Quay:100071,Skjelsvik knutepunkt,59.094517,9.688061,,,NSR:StopPlace:20015,,700,3
NSR:Quay:100072,Skjelsvik knutepunkt,59.094511,9.688217,,,NSR:StopPlace:20015,,700,4
NSR:Quay:100074,Skjelsvik knutepunkt,59.094839,9.687914,,,NSR:StopPlace:20015,,700,6
NSR:Quay:100091,Kufaveien,59.582473,9.270473,,,NSR:StopPlace:6471,,700,
NSR:Quay:100092,Kufaveien,59.582355,9.270321,,,NSR:StopPlace:6471,,700,
NSR:Quay:100093,Nordbøbergja kryss,59.408917,9.031985,,,NSR:StopPlace:6475,,700,
NSR:Quay:100099,Svanvik kryss,59.132322,9.523875,,,NSR:StopPlace:61166,,700,
NSR:Quay:100100,Svanvik kryss,59.131648,9.524715,,,NSR:StopPlace:21222,,700,
NSR:Quay:100101,Svanvik kryss,59.131075,9.527668,,,NSR:StopPlace:21222,,700,
NSR:Quay:100216,Herøya Industripark,59.121992,9.630965,,,NSR:StopPlace:20144,,700,
NSR:Quay:100225,Åmdals Verk skule,59.376506,8.035381,,,NSR:StopPlace:58426,,700,
NSR:Quay:100226,Skåli,58.900954,8.778462,,,NSR:StopPlace:58427,,700,
NSR:Quay:100227,Eikeland,58.916119,8.760647,,,NSR:StopPlace:58428,,700,
NSR:Quay:100230,Gøytil kryss,59.546029,8.015725,,,NSR:StopPlace:19835,,700,
NSR:Quay:100231,Plassane,59.566670,8.005431,,,NSR:StopPlace:20993,,700,
NSR:Quay:100232,Grønli,59.531673,8.110174,,,NSR:StopPlace:58429,,700,
NSR:Quay:100233,Grønli,59.531617,8.110482,,,NSR:StopPlace:58429,,700,
NSR:Quay:100234,Huka,59.527014,8.140885,,,NSR:StopPlace:58430,,700,
NSR:Quay:100235,Huka,59.527145,8.140660,,,NSR:StopPlace:58430,,700,
NSR:Quay:100236,Austbø Hotel,59.690472,8.094368,,,NSR:StopPlace:58431,,700,
NSR:Quay:100237,Austbø Hotel,59.690438,8.094671,,,NSR:StopPlace:58431,,700,
NSR:Quay:100238,Rauland skule,59.693877,8.064150,,,NSR:StopPlace:58432,,700,
NSR:Quay:100239,Møsvatn Fjellpark,59.813519,8.296418,,,NSR:StopPlace:58433,,700,
NSR:Quay:100240,Møsvatn Fjellpark,59.813601,8.296164,,,NSR:StopPlace:58433,,700,
NSR:Quay:100241,Sundovli,59.585995,8.133633,,,NSR:StopPlace:58437,,700,
NSR:Quay:100248,Langkåsbyen,59.411055,9.076566,,,NSR:StopPlace:20661,,700,
NSR:Quay:100268,Brunkeberg E134,59.442112,8.503179,,,NSR:StopPlace:21030,,700,
NSR:Quay:100271,Kviteseid kommunehus,59.401795,8.493671,,,NSR:StopPlace:58572,,700,
NSR:Quay:100272,Kviteseid kommunehus,59.401825,8.493912,,,NSR:StopPlace:58572,,700,
NSR:Quay:100278,Tinn museum,59.880970,8.647898,,,NSR:StopPlace:58577,,700,
NSR:Quay:100279,Strøm,59.899791,8.704798,,,NSR:StopPlace:21588,,700,
NSR:Quay:100280,Gaustå,59.914640,8.724563,,,NSR:StopPlace:58578,,700,
NSR:Quay:100281,Gaustå,59.914738,8.724773,,,NSR:StopPlace:58578,,700,
NSR:Quay:100283,Tinn Montessoriskole,60.047848,8.818615,,,NSR:StopPlace:58579,,700,
NSR:Quay:100284,Tinn Montessoriskole,60.047942,8.818626,,,NSR:StopPlace:58579,,700,
NSR:Quay:100285,Austbygde kirke,60.029003,8.826694,,,NSR:StopPlace:58580,,700,
NSR:Quay:100286,Austbygde kirke,60.028784,8.826753,,,NSR:StopPlace:58580,,700,
NSR:Quay:100287,Gunleiksrud,60.133723,8.647597,,,NSR:StopPlace:19741,,700,
NSR:Quay:100289,Tjønnås,59.643728,9.008124,,,NSR:StopPlace:21425,,700,
NSR:Quay:100290,Siljudalen,59.672166,9.016326,,,NSR:StopPlace:19902,,700,
NSR:Quay:100291,Finnekåsa,59.737265,9.020081,,,NSR:StopPlace:19976,,700,
NSR:Quay:100292,Lynnevik,59.753082,9.018445,,,NSR:StopPlace:20194,,700,
NSR:Quay:100293,Busnesgrend,59.806837,8.991612,,,NSR:StopPlace:21095,,700,
NSR:Quay:100294,Rudsgrend,59.843884,8.948217,,,NSR:StopPlace:19648,,700,
NSR:Quay:100295,Lyngflot,59.917954,8.869542,,,NSR:StopPlace:20191,,700,
NSR:Quay:100297,Heslevika,59.927164,8.854254,,,NSR:StopPlace:20149,,700,
NSR:Quay:100338,Fjonevegen kryss,59.016725,8.526168,,,NSR:StopPlace:58605,,700,
NSR:Quay:100339,Fjonevegen kryss,59.016322,8.527644,,,NSR:StopPlace:58605,,700,
NSR:Quay:100341,Siljan knutepunkt,59.278729,9.725520,,,NSR:StopPlace:58606,,700,
NSR:Quay:100342,Kyrkjebygda oppvekstsenter,59.166647,8.502023,,,NSR:StopPlace:58607,,700,
NSR:Quay:100343,Kyrkjebygda oppvekstsenter,59.166742,8.502208,,,NSR:StopPlace:58607,,700,
NSR:Quay:100407,Skulekleiva,58.774753,8.493682,,,NSR:StopPlace:58649,,700,
NSR:Quay:100408,Skulekleiva,58.774775,8.493215,,,NSR:StopPlace:58649,,700,
NSR:Quay:100426,Glenna,59.416311,9.025142,,,NSR:StopPlace:58686,,700,
NSR:Quay:100427,Glenna,59.416131,9.025483,,,NSR:StopPlace:58686,,700,
NSR:Quay:100454,Morgedal sentrum,59.476863,8.418502,,,NSR:StopPlace:20414,,700,
NSR:Quay:100476,Tveitgrend kryss,59.395613,8.460224,,,NSR:StopPlace:58711,,700,
NSR:Quay:100572,Vinjehuset,59.573228,7.990896,,,NSR:StopPlace:21524,,700,
NSR:Quay:100585,Breiland,59.513951,8.169115,,,NSR:StopPlace:58943,,700,
NSR:Quay:100586,Breiland,59.513888,8.168893,,,NSR:StopPlace:58943,,700,
NSR:Quay:100587,Kvånsli,59.541090,8.044251,,,NSR:StopPlace:58944,,700,
NSR:Quay:100588,Kvånsli,59.540965,8.043867,,,NSR:StopPlace:58944,,700,
NSR:Quay:100589,Rogdeli,59.562090,8.008387,,,NSR:StopPlace:58945,,700,
NSR:Quay:100590,Rogdeli,59.562083,8.008199,,,NSR:StopPlace:58945,,700,
NSR:Quay:100609,Ringsevja Bo- og servicesenter,59.279402,9.272010,,,NSR:StopPlace:58962,,700,
NSR:Quay:100613,Brattås skole,59.096152,9.685038,,,NSR:StopPlace:20947,,700,
NSR:Quay:100953,Killingtveit,59.708813,7.902981,,,NSR:StopPlace:20951,,700,
NSR:Quay:100978,Vå,59.746419,7.839614,,,NSR:StopPlace:21581,,700,
NSR:Quay:100979,Aksvik,59.711120,7.924281,,,NSR:StopPlace:20533,,700,
NSR:Quay:100980,Raulandsgrend,59.720445,8.012059,,,NSR:StopPlace:19575,,700,
NSR:Quay:100996,Spjotsodd brygge,59.363192,8.525136,,,NSR:StopPlace:59128,,1000,
NSR:Quay:100998,Lårdal brygge,59.424126,8.187797,,,NSR:StopPlace:59130,,1000,
NSR:Quay:100999,Dalen brygge,59.444771,8.024772,,,NSR:StopPlace:59131,,1000,
NSR:Quay:101093,Slettetveit,59.467943,7.841752,,,NSR:StopPlace:21317,,700,
NSR:Quay:101094,Kleppholt,59.455935,7.846617,,,NSR:StopPlace:21065,,700,
NSR:Quay:101095,Underdal,59.447664,7.872895,,,NSR:StopPlace:21221,,700,
NSR:Quay:101102,Moen,59.481843,7.848744,,,NSR:StopPlace:59176,,700,
NSR:Quay:101103,Skreppedalen,59.503481,8.189541,,,NSR:StopPlace:59177,,700,
NSR:Quay:101104,Naurak,59.051736,8.464008,,,NSR:StopPlace:20573,,700,
NSR:Quay:101105,Trontveit,59.094755,8.486646,,,NSR:StopPlace:21492,,700,
NSR:Quay:101106,Vik Fjone,59.118613,8.472023,,,NSR:StopPlace:21613,,700,
NSR:Quay:101107,Moen,59.136080,8.458250,,,NSR:StopPlace:20729,,700,
NSR:Quay:101108,Fjone landhandel,59.154129,8.452174,,,NSR:StopPlace:20043,,700,
NSR:Quay:101109,Fjone skule,59.158737,8.456042,,,NSR:StopPlace:20046,,700,
NSR:Quay:101110,Sandvik,59.113574,8.472717,,,NSR:StopPlace:59179,,700,
NSR:Quay:101111,Sandvik,59.113680,8.472806,,,NSR:StopPlace:59179,,700,
NSR:Quay:101118,Skjelbreid,59.005851,9.197118,,,NSR:StopPlace:20010,,700,
NSR:Quay:101120,Golid,59.435534,8.614274,,,NSR:StopPlace:59186,,700,
NSR:Quay:101121,Golid,59.435468,8.614303,,,NSR:StopPlace:59186,,700,
NSR:Quay:101122,Åsgrend kryss,59.447178,8.562606,,,NSR:StopPlace:21669,,700,
NSR:Quay:101123,Heggtveit,59.447408,8.571844,,,NSR:StopPlace:20003,,700,
NSR:Quay:101124,Øvsttveiten,59.434713,8.633280,,,NSR:StopPlace:59187,,700,
NSR:Quay:101125,Øvsttveiten,59.434614,8.633425,,,NSR:StopPlace:59187,,700,
NSR:Quay:101126,Kvålsgard,59.434989,8.645009,,,NSR:StopPlace:59188,,700,
NSR:Quay:101127,Kvålsgard,59.434944,8.645178,,,NSR:StopPlace:59188,,700,
NSR:Quay:101128,Sønstveiten,59.433969,8.651015,,,NSR:StopPlace:59189,,700,
NSR:Quay:101129,Sønstveiten,59.434046,8.650956,,,NSR:StopPlace:59189,,700,
NSR:Quay:101130,Jamgrav,59.428242,8.665933,,,NSR:StopPlace:59190,,700,
NSR:Quay:101131,Jamgrav,59.428167,8.665898,,,NSR:StopPlace:59190,,700,
NSR:Quay:101132,Gravalid,59.424627,8.663583,,,NSR:StopPlace:59191,,700,
NSR:Quay:101133,Gravalid,59.424563,8.663420,,,NSR:StopPlace:59191,,700,
NSR:Quay:101134,Fiskhøl,59.421865,8.690304,,,NSR:StopPlace:59192,,700,
NSR:Quay:101135,Fiskhøl,59.421943,8.690298,,,NSR:StopPlace:59192,,700,
NSR:Quay:101136,Haugland,59.422749,8.675688,,,NSR:StopPlace:59193,,700,
NSR:Quay:101137,Haugland,59.422685,8.675766,,,NSR:StopPlace:59193,,700,
NSR:Quay:101138,Gåsdalen øvre,59.422059,8.699869,,,NSR:StopPlace:59194,,700,
NSR:Quay:101139,Gåsdalen øvre,59.422077,8.699746,,,NSR:StopPlace:59194,,700,
NSR:Quay:101140,Gåsdalen nedre,59.423766,8.705839,,,NSR:StopPlace:59195,,700,
NSR:Quay:101141,Gåsdalen nedre,59.423775,8.707062,,,NSR:StopPlace:59195,,700,
NSR:Quay:101143,Garvik,59.434848,8.734828,,,NSR:StopPlace:59197,,700,
NSR:Quay:101144,Garvik,59.434941,8.734866,,,NSR:StopPlace:59197,,700,
NSR:Quay:101145,Enderjord,59.425449,8.713843,,,NSR:StopPlace:59198,,700,
NSR:Quay:101146,Enderjord,59.425411,8.714057,,,NSR:StopPlace:59198,,700,
NSR:Quay:101147,Flatland,59.474531,8.657602,,,NSR:StopPlace:59199,,700,
NSR:Quay:101148,Flatland,59.474620,8.657559,,,NSR:StopPlace:59199,,700,
NSR:Quay:101217,Sagvegen,59.015364,8.523573,,,NSR:StopPlace:59266,,700,
NSR:Quay:101218,Sagvegen,59.015425,8.523459,,,NSR:StopPlace:59266,,700,
NSR:Quay:101279,Jarseng,59.172602,9.725701,,,NSR:StopPlace:59322,,700,
NSR:Quay:101324,Skien Hjellebrygga,59.204646,9.606906,,,NSR:StopPlace:59360,,1000,
NSR:Quay:101390,Rjukan ungdomsskole,59.880154,8.630732,,,NSR:StopPlace:59414,,700,
NSR:Quay:101414,Nigard kryss,59.160964,8.461071,,,NSR:StopPlace:59430,,700,
NSR:Quay:101664,Gjerdemyra,58.928960,9.319147,,,NSR:StopPlace:20430,,700,
NSR:Quay:101826,Rødmyrvegen Grep,59.176713,9.596984,,,NSR:StopPlace:19699,,700,
NSR:Quay:101827,Rødmyrsvingen,59.170922,9.601160,,,NSR:StopPlace:19697,,700,
NSR:Quay:101833,Kjørbekksvingen,59.173863,9.628087,,,NSR:StopPlace:21038,,700,
NSR:Quay:101947,Setervegen,59.229700,9.642756,,,NSR:StopPlace:59888,,700,
NSR:Quay:101977,Kastet,59.276633,9.563888,,,NSR:StopPlace:59908,,700,
NSR:Quay:101978,Kastet,59.277034,9.563199,,,NSR:StopPlace:59908,,700,
