route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,boarding_type
TEL:Line:8901,TEL:ServiceJourney:34799,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5-Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5_AddJrns,Langesund øvre via Øyekast,0,TEL:JourneyPattern:8901_1_1,0
TEL:Line:8901,TEL:ServiceJourney:34800,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5-Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5_AddJrns,Langesund øvre via Øyekast,0,TEL:JourneyPattern:8901_1_1,0
TEL:Line:8901,TEL:ServiceJourney:34801,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Langesund øvre via Øyekast,0,TEL:JourneyPattern:8901_1_1,0
TEL:Line:8901,TEL:ServiceJourney:34802,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Langesund øvre via Øyekast,0,TEL:JourneyPattern:8901_1_1,0
TEL:Line:8901,TEL:ServiceJourney:34803,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Langesund øvre via Øyekast,0,TEL:JourneyPattern:8901_1_1,0
TEL:Line:8901,TEL:ServiceJourney:34804,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5-Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5_AddJrns,Gulset via Sundby,1,TEL:JourneyPattern:8901_2_1,0
TEL:Line:8901,TEL:ServiceJourney:34805,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5-Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Fr_5_AddJrns,Gulset via Sundby,1,TEL:JourneyPattern:8901_2_1,0
TEL:Line:8901,TEL:ServiceJourney:34806,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Gulset via Sundby,1,TEL:JourneyPattern:8901_2_1,0
TEL:Line:8901,TEL:ServiceJourney:34807,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Gulset via Sundby,1,TEL:JourneyPattern:8901_2_1,0
TEL:Line:8901,TEL:ServiceJourney:34808,TEL:DayType:Cal2025092952147-Sep_Mon_29-Mar_Sun_29-Sa_13,Gulset via Sundby,1,TEL:JourneyPattern:8901_2_1,0
