ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
fredag 1. april 2005;20:28:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000201164;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2005;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Vinje;4036;;;0;107126626;59,72978771;7,622428223;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 1. april 2005;17:49:00;Fredag;Kryssende kjøreretninger (uten avsvinging);2;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;;Kommunal veg;46800;UID1000201167;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2005;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Nei;Telemark;40;Skien;4003;KV46800 S1D1 m223;Kommunal veg;46800;107126637;59,21077972;9,611805128;Kommunal veg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. april 2016;08:14:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Boliggate, boligveg;Vegstrekning utenfor kryss/avkjørsel;Tettsted;50;Kommunal veg;1320;UID1000277179;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2016;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Nei;Telemark;40;Notodden;4005;KV1320 S1D1 m30;Kommunal veg;1320;680064023;59,56130552;9,24188128;Kommunal veg;;4;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. april 2022;00:00:00;Fredag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;40;Fylkesveg;3300;UID9024894020;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2022;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Skien;4003;FV3300 S2D1 m2323;Fylkesveg;3300;1017695732;59,20052912;9,533540975;Fylkesveg;;4;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;3500
fredag 1. august 1997;16:35:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;32;UID1000204366;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1997;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Siljan;4010;FV32 S5D1 m7509;Fylkesveg;32;107145531;59,27469938;9,708460381;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. august 1997;14:00:00;Fredag;Venstresving foran kjørende i samme retning;2;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;50;Kommunal veg;1745;UID1000204397;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1997;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;KV1745 S1D1 m181;Kommunal veg;1745;107145727;59,1408607;9,637100211;Kommunal veg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Forbikjøringsfelt;2;
fredag 1. august 2003;18:00:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;4 armet kryss (X-kryss);Ikke tettsted;60;Riksveg;354;UID1000201793;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2003;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Bamble;4012;RV354 S1D1 m1663;Riksveg;354;107130473;59,04521864;9,692742012;Europa- og riksveg;;8;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;5000
fredag 1. august 2008;20:55:00;Fredag;Enslig kjøretøy kjørte på trafikkøy eller ende av midtdeler;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;36;UID1000230349;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Seljord;4022;;;0;178285372;59,45089896;8,735171581;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 1. august 2014;14:48:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;80;Europaveg;18;UID1000268577;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2014;0;0;0;0;0;1;0;1;0;0;0;0;0;0;Nei;Telemark;40;Bamble;4012;FV363 S1D1 m1412;Fylkesveg;363;553673736;59,02337378;9,677965734;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;11900
fredag 1. august 2014;15:00:00;Fredag;Påkjøring bakfra;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000268585;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2014;0;0;0;0;0;1;0;1;0;0;0;0;0;0;Ja;Telemark;40;Notodden;4005;EV134 S38D1 m9946;Europaveg;134;554892415;59,56099786;9,241437315;Europa- og riksveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;13800
