Kommune,Innbyggere,Label
Horten,27510,Horten
Holmestrand,25011,Holmestrand
Tønsberg,57026,Tønsberg
Sandefjord,64345,Sandefjord
Larvik,47499,Larvik
Porsgrunn,36526,Porsgrunn
Skien,55144,Skien
Notodden,12994,Notodden
Færder,26957,Færder
Siljan,2347,Siljan
Bamble,14014,Bamble
Kragerø,10416,Kragerø
Drangedal,4071,Drangedal
Nome,6488,Nome
Midt-Telemark,10461,Midt-Telemark
Tinn,5604,Tinn
Hjartdal,1561,Hjartdal
Seljord,2900,Seljord
Kviteseid,2430,Kviteseid
Nissedal,1430,Nissedal
Fyresdal,1228,Fyresdal
Tokke,2164,Tokke
Vinje,3756,Vinje
