Fylkestabell SSB;Fylkesnummer alle;Fylkesnavn og -nummer alle;Fylkesnavn alle m år og samisk;Fylkesnavn alle m samisk;Fylkesnavn alle;Fylkesnummer reform;Fylkesnavn reform;Fylkesnavn og -nummer reform
00 Hele landet;0;Hele landet;Hele landet;Hele landet;Hele landet;0;Hele landet;Hele landet
30 Viken;30;30 Viken;Viken;Viken;Viken;30;Viken;30 Viken
01 Østfold (-2019);1;1 Østfold ;Østfold (-2019);Østfold ;Østfold ;30;Viken;30 Viken
02 Akershus (-2019);2;2 Akershus ;Akershus (-2019);Akershus ;Akershus ;30;Viken;30 Viken
03 Oslo;3;3 Oslo;Oslo;Oslo;Oslo;3;Oslo;3 Oslo
34 Innlandet;34;34 Innlandet;Innlandet;Innlandet;Innlandet;34;Innlandet;34 Innlandet
04 Hedmark (-2019);4;4 Hedmark ;Hedmark (-2019);Hedmark ;Hedmark ;34;Innlandet;34 Innlandet
05 Oppland (-2019);5;5 Oppland ;Oppland (-2019);Oppland ;Oppland ;34;Innlandet;34 Innlandet
06 Buskerud (-2019);6;6 Buskerud ;Buskerud (-2019);Buskerud ;Buskerud ;30;Viken;30 Viken
38 Vestfold og Telemark;38;38 Vestfold og Telemark;Vestfold og Telemark;Vestfold og Telemark;Vestfold og Telemark;38;Vestfold og Telemark;38 Vestfold og Telemark
07 Vestfold (-2019);7;7 Vestfold ;Vestfold (-2019);Vestfold ;Vestfold ;38;Vestfold og Telemark;38 Vestfold og Telemark
08 Telemark (-2019);8;8 Telemark ;Telemark (-2019);Telemark ;Telemark ;38;Vestfold og Telemark;38 Vestfold og Telemark
42 Agder;42;42 Agder;Agder;Agder;Agder;42;Agder;42 Agder
09 Aust-Agder (-2019);9;9 Aust-Agder ;Aust-Agder (-2019);Aust-Agder ;Aust-Agder ;42;Agder;42 Agder
10 Vest-Agder (-2019);10;10 Vest-Agder ;Vest-Agder (-2019);Vest-Agder ;Vest-Agder ;42;Agder;42 Agder
11 Rogaland;11;11 Rogaland;Rogaland;Rogaland;Rogaland;11;Rogaland;11 Rogaland
46 Vestland;46;46 Vestland;Vestland;Vestland;Vestland;46;Vestland;46 Vestland
12 Hordaland (-2019);12;12 Hordaland ;Hordaland (-2019);Hordaland ;Hordaland ;46;Vestland;46 Vestland
14 Sogn og Fjordane (-2019);14;14 Sogn og Fjordane ;Sogn og Fjordane (-2019);Sogn og Fjordane ;Sogn og Fjordane ;46;Vestland;46 Vestland
15 Møre og Romsdal;15;15 Møre og Romsdal;Møre og Romsdal;Møre og Romsdal;Møre og Romsdal;15;Møre og Romsdal;15 Møre og Romsdal
50 Trøndelag - Trööndelage;50;50 Trøndelag;Trøndelag - Trööndelage;Trøndelag - Trööndelage;Trøndelag;50;Trøndelag;50 Trøndelag
16 Sør-Trøndelag (-2017);16;16 Sør-Trøndelag ;Sør-Trøndelag (-2017);Sør-Trøndelag ;Sør-Trøndelag ;50;Trøndelag;50 Trøndelag
17 Nord-Trøndelag (-2017);17;17 Nord-Trøndelag ;Nord-Trøndelag (-2017);Nord-Trøndelag ;Nord-Trøndelag ;50;Trøndelag;50 Trøndelag
18 Nordland - Nordlánnda;18;18 Nordland;Nordland - Nordlánnda;Nordland - Nordlánnda;Nordland;18;Nordland;18 Nordland
54 Troms og Finnmark - Romsa ja Finnmárku;54;54 Troms og Finnmark;Troms og Finnmark - Romsa ja Finnmárku;Troms og Finnmark - Romsa ja Finnmárku;Troms og Finnmark;54;Troms og Finnmark;54 Troms og Finnmark
19 Troms - Romsa (-2019);19;19 Troms;Troms - Romsa (-2019);Troms - Romsa ;Troms;54;Troms og Finnmark;54 Troms og Finnmark
20 Finnmark - Finnmárku (-2019);20;20 Finnmark;Finnmark - Finnmárku (-2019);Finnmark - Finnmárku ;Finnmark;54;Troms og Finnmark;54 Troms og Finnmark
21 Svalbard;21;21 Svalbard;Svalbard;Svalbard;Svalbard;21;Svalbard;21 Svalbard
