Alle kommuner;Alle kommunenummer;Navn 1 alle kommuner;Navn 2alle kommuner uten parentes;Kommuner 2020;Kommunenummer 2020;Kommunenavn 2020;Region;Region rekkefølge;Fylke
00 Hele landet;0;Hele landet;Hele landet;Hele landet;0;Hele landet;Hele landet;0;Hele landet
38 Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
07 Vestfold;7;Vestfold;Vestfold;Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
08 Telemark;8;Telemark;Telemark;Vestfold og Telemark;;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
0719 Andebu;719;Andebu;Andebu;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0814 Bamble;814;Bamble;Bamble;K-3813 Bamble;3813;Bamble;Grenland;6;Telemark
0717 Borre;717;Borre;Borre;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0726 Brunlanes;726;Brunlanes;Brunlanes;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0821 Bø (Telemark);821;Bø (Telemark);Bø;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0817 Drangedal;817;Drangedal;Drangedal;K-3815 Drangedal;3815;Drangedal;Grenland;6;Telemark
0831 Fyresdal;831;Fyresdal;Fyresdal;K-3823 Fyresdal;3823;Fyresdal;Vest-Telemark;9;Telemark
0729 Færder;729;Færder;Færder;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0827 Hjartdal;827;Hjartdal;Hjartdal;K-3819 Hjartdal;3819;Hjartdal;Øst-Telemark;8;Telemark
0714 Hof;714;Hof;Hof;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0702 Holmestrand;702;Holmestrand;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0701 Horten;701;Horten;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0815 Kragerø;815;Kragerø;Kragerø;K-3814 Kragerø;3814;Kragerø;Grenland;6;Telemark
0829 Kviteseid;829;Kviteseid;Kviteseid;K-3821 Kviteseid;3821;Kviteseid;Vest-Telemark;9;Telemark
0728 Lardal;728;Lardal;Lardal;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0707 Larvik;707;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
3817 Midt-Telemark;3817;Midt-Telemark;Midt-Telemark;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0830 Nissedal;830;Nissedal;Nissedal;K-3822 Nissedal;3822;Nissedal;Vest-Telemark;9;Telemark
0819 Nome;819;Nome;Nome;K-3816 Nome;3816;Nome;Nome og Midt-Telemark;7;Telemark
0807 Notodden;807;Notodden;Notodden;K-3808 Notodden;3808;Notodden;Øst-Telemark;8;Telemark
0722 Nøtterøy;722;Nøtterøy;Nøtterøy;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0805 Porsgrunn;805;Porsgrunn;Porsgrunn;K-3806 Porsgrunn;3806;Porsgrunn;Grenland;6;Telemark
0718 Ramnes;718;Ramnes;Ramnes;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0716 Re;716;Re;Re;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0713 Sande (Vestfold);713;Sande (Vestfold);Sande;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0706 Sandefjord;706;Sandefjord;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0822 Sauherad;822;Sauherad;Sauherad;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0828 Seljord;828;Seljord;Seljord;K-3820 Seljord;3820;Seljord;Vest-Telemark;9;Telemark
0721 Sem;721;Sem;Sem;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0811 Siljan;811;Siljan;Siljan;K-3812 Siljan;3812;Siljan;Grenland;6;Telemark
0806 Skien;806;Skien;Skien;K-3807 Skien;3807;Skien;Grenland;6;Telemark
0708 Stavern;708;Stavern;Stavern;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0720 Stokke;720;Stokke;Stokke;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0826 Tinn;826;Tinn;Tinn;K-3818 Tinn;3818;Tinn;Øst-Telemark;8;Telemark
0725 Tjølling;725;Tjølling;Tjølling;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0723 Tjøme;723;Tjøme;Tjøme;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0833 Tokke;833;Tokke;Tokke;K-3824 Tokke;3824;Tokke;Vest-Telemark;9;Telemark
0704 Tønsberg;704;Tønsberg;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0834 Vinje;834;Vinje;Vinje;K-3825 Vinje;3825;Vinje;Vest-Telemark;9;Telemark
