Kommuner 2023;Kommunenr 2023;Kommunenavn 2023;Kommuner 2024;Kommunenr 2024;Kommunenavn 2024;Fylke 2023;Fylkesnr 2023;Fylkesnavn 2023;Fylke 2024;Fylkesnr 2024;Fylkesnavn 2024;Fylkesnr 2019;Alle kommuner;Alle kommunenr;Alle kommunenavn;Alle kommunenavn uten parentes
0000 - Hele landet;0000;Hele landet;0000 - Hele landet;0000;Hele landet;00 - Hele landet;00;Hele landet;00 - Hele landet;00;Hele landet;;;;;
3801 - Horten;3801;Horten;3901 - Horten;3901;Horten;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0701 Horten;0701;Horten;Horten
3801 - Horten;3801;Horten;3901 - Horten;3901;Horten;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0703 Horten;0703;Horten;Horten
3801 - Horten;3801;Horten;3901 - Horten;3901;Horten;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0717 Borre;0717;Borre;Borre
3801 - Horten;3801;Horten;3901 - Horten;3901;Horten;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3801 Horten;3801;Horten;Horten
3801 - Horten;3801;Horten;3901 - Horten;3901;Horten;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3901 Horten;3901;Horten;Horten
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0702 Holmestrand;0702;Holmestrand;Holmestrand
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0713 Sande (Vestfold);0713;Sande (Vestfold);Sande
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0714 Hof;0714;Hof;Hof
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0715 Holmestrand;0715;Holmestrand;Holmestrand
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3802 Holmestrand;3802;Holmestrand;Holmestrand
3802 - Holmestrand;3802;Holmestrand;3903 - Holmestrand;3903;Holmestrand;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3903 Holmestrand;3903;Holmestrand;Holmestrand
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0704 Tønsberg;0704;Tønsberg;Tønsberg
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0705 Tønsberg;0705;Tønsberg;Tønsberg
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0716 Re;0716;Re;Re
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0718 Ramnes;0718;Ramnes;Ramnes
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0721 Sem;0721;Sem;Sem
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3803 Tønsberg;3803;Tønsberg;Tønsberg
3803 - Tønsberg;3803;Tønsberg;3905 - Tønsberg;3905;Tønsberg;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3905 Tønsberg;3905;Tønsberg;Tønsberg
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0706 Sandefjord;0706;Sandefjord;Sandefjord
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0710 Sandefjord;0710;Sandefjord;Sandefjord
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0719 Andebu;0719;Andebu;Andebu
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0720 Stokke;0720;Stokke;Stokke
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3804 Sandefjord;3804;Sandefjord;Sandefjord
3804 - Sandefjord;3804;Sandefjord;3907 - Sandefjord;3907;Sandefjord;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;3907 Sandefjord;3907;Sandefjord;Sandefjord
3805 - Larvik;3805;Larvik;3909 - Larvik;3909;Larvik;38 - Vestfold og Telemark;38;Vestfold og Telemark;39 - Vestfold;39;Vestfold;07;0707 Larvik;0707;Larvik;Larvik
